oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21acbntnr,WISEA J034312.96-224932.7,55.80395,-22.82577,0.2926767351785909,NED,NULL,NULL,NULL,NULL
ZTF21acbnmoc,WISEA J063253.07+462855.3,98.22113,46.48205,2.8679593451167675,NED,NULL,NULL,NULL,NULL
ZTF21acbmbsu,SDSS J030619.94+431607.3,46.5830815247656,43.2686967345362,2.4754355297827844,SDSSDR16,False,0.178945,0.017542,photoz
ZTF21acblyia,SDSS J031859.96+181611.6,49.7498208941586,18.2699138680404,4.469988213869154,SDSSDR16,False,0.141016,0.015001,photoz
ZTF21acblxkw,SDSS J032745.64+183015.5,51.9401786977352,18.5043084288179,0.31581492083797347,SDSSDR16,False,0.21475,0.035569,photoz
ZTF21acblxjr,WISEA J020305.79+345224.6,30.77411,34.87359,1.292302479051528,NED,NULL,NULL,NULL,NULL
ZTF21acblqiw,LAMOST J025152.92+070647.0,42.97053749999999,7.113069444444444,0.39291835387544877,Simbad,False,0.152364,NULL,E
ZTF21acblkoc,WISEA J023119.21-163951.5,37.82979,-16.66411,1.2841474708814602,NED,NULL,NULL,NULL,NULL
ZTF21acbktis,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acbkooz,SDSS J005238.86-021408.1,13.1619130729105,-2.23559770868419,2.088975754727603,SDSSDR16,False,0.277365,0.138388,photoz
ZTF21acbkjvv,SDSS J222042.27+130543.2,335.176143241332,13.0953336930372,5.6209727449943205,SDSSDR16,True,0.1255288,2.41842e-05,specz
ZTF21acbkfms,WISEA J225146.50+343419.7,342.94377,34.57216,0.7464862074706206,NED,NULL,NULL,NULL,NULL
ZTF21acbjxhr,SDSS J235643.52+132059.4,359.181326267452,13.3498352017164,0.3939675506622868,SDSSDR16,False,0.131635,0.051234,photoz
ZTF21acbjwcr,SDSS J225031.93+013454.7,342.633049519111,1.58186428237234,0.6778478682474817,SDSSDR16,False,0.434134,0.086151,photoz
ZTF21acbjvfi,SDSS J232313.86+113512.9,350.807755863215,11.5869199307419,2.5770583883776776,SDSSDR16,False,0.214737,0.031734,photoz
ZTF21acbjrxc,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acbjrhd,WISEA J232325.81-222735.6,350.85754,-22.45991,1.918174981001603,NED,NULL,NULL,NULL,NULL
ZTF21acbhfxj,SDSS J215329.21+153114.3,328.371689613294,15.5206514754851,1.4821475149313215,SDSSDR16,False,0.114882,0.021886,photoz
ZTF21acbhfqb,SDSS J213734.63+155225.8,324.394272555422,15.8738483763599,1.087315763766513,SDSSDR16,False,0.129419,0.027712,photoz
ZTF21acbgzzv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acbfxpz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acbfwfr,GALEXMSC J215903.54+013144.5,329.76476,1.52905,1.730803808899789,NED,NULL,NULL,NULL,NULL
ZTF21acbfuwk,WISEA J210432.39-000251.3,316.13498,-0.04755,1.2742667968303616,NED,True,0.101701,NULL,SPEC
ZTF21acbftaq,SDSS J205754.45+013830.1,314.476871594692,1.64172028577113,5.272774822227303,SDSSDR16,False,0.054643,0.016839,photoz
ZTF21acbfjze,WISEA J170805.55-143549.5,257.02312,-14.59711,0.07099064266843076,NED,False,0.0759,NULL,PHOT
ZTF21acbdroi,SDSS J045742.20+574927.9,74.4258537955026,57.8244309840742,5.634406022051574,SDSSDR16,False,0.133858,0.034567,photoz
ZTF21acbctzk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acayisg,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acaszik,SDSS J223549.79+200432.7,338.957438717282,20.0757624276547,1.671159985850896,SDSSDR16,False,0.056455,0.018868,photoz
ZTF21acanbwt,SDSS J225708.90+210937.5,344.287090484863,21.160423315308,6.3855288608439515,SDSSDR16,False,0.108471,0.033027,photoz
ZTF21acajcyb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21acagtdn,CGCG 280-023,289.8615,52.33197,12.949575952409754,NED,True,0.026618,NULL,
ZTF21acafvhf,SDSS J065504.74+123802.8,103.769732631939,12.6341317125074,0.164881575507089,SDSSDR16,False,0.081303,0.038919,photoz
ZTF21acadghz,M31,10.53705,40.90048,0.5191326625514618,NED,NULL,NULL,NULL,NULL
ZTF21abzfxcx,WISEA J192943.95+473331.6,292.43275,47.55886,0.8212511936205767,NED,False,0.049989,NULL,PHOT
ZTF21abyyhpd,WISEA J222503.11+823709.6,336.26304,82.61931,3.0952929529751336,NED,NULL,NULL,NULL,NULL
ZTF21abyoedm,SDSS J225522.65+042130.7,343.844385516064,4.35852733108746,0.2871650888221589,SDSSDR16,True,0.09621728,1.198137e-05,specz
