oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,index
ZTF21abahyyj,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21abahrdo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21abahpuy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21abahiow,LEDA 1656208,262.145,21.739444444444445,9.613166139082084,Simbad,NULL,NULL,NULL,NULL,,
ZTF21abahgst,SDSS J172035.77+281915.3,260.149043305678,28.3209233955794,1.4481918020924225,SDSSDR16,False,0.134978,0.104335,photoz,,
ZTF21abahdra,SDSS J183536.45+411942.5,278.901883575953,41.3284865095934,1.4822154182331921,SDSSDR16,False,0.055394000000000006,0.020944,photoz,,
ZTF21abahcip,3HSP J195812.7+694325,299.55279166666656,69.72363888888889,0.2313449932421641,Simbad,False,0.28,NULL,E,,
ZTF21abaevsf,SDSS J155929.89+162122.3,239.874535656943,16.356196482341,0.22123084161917494,SDSSDR16,False,0.268268,0.058151,photoz,,
ZTF21abaevgu,SDSS J153609.04+041847.4,234.03766479880198,4.313178763971259,2.895757276931119,SDSSDR16,True,0.06960922,1.226417e-05,specz,,
ZTF21abaeljo,SDSS J132631.42+113308.8,201.630922047562,11.5524639718224,1.4607324968006254,SDSSDR16,False,0.14366400000000001,0.030262,photoz,,
ZTF21abadfmr,SDSS J131145.91+593500.1,197.941275325471,59.5833855431991,0.6147771964078317,SDSSDR16,False,0.119749,0.042018,photoz,,
ZTF21abacpsi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21abaakwd,2MASX J17333799+7258126,263.4077654166667,72.97012944444445,9.397966578530887,Simbad,False,0.04098,NULL,D,,
ZTF21aazzlbs,SDSS J163521.71+191420.4,248.840475688455,19.239020886379897,5.302860593840558,SDSSDR16,False,0.045994,0.013899000000000002,photoz,,
ZTF21aazyiml,SDSS J164954.61+284616.7,252.47752273523,28.771304268827897,1.8377592364765312,SDSSDR16,False,0.10468,0.027119,photoz,,
ZTF21aazyghr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21aazsmfw,NVSS J173117+600227,262.81757083333326,60.03930277777778,1.696677051205294,Simbad,True,0.0292,9.999999747378752e-06,C,,
ZTF21aazshlw,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,
ZTF21aazrfcv,SDSS J152817.81+252419.2,232.074213809515,25.4053356593475,0.45808896037410035,SDSSDR16,False,0.178563,0.04902,photoz,,
ZTF21aazogfv,WISEA J112545.69+704429.9,171.44063,70.74158,15.102067197830307,NED,NULL,NULL,NULL,NULL,0.0,NULL
ZTF21aayrngo,WISEA J184401.15+541911.9,281.00482,54.31999,4.388858931636968,NED,NULL,NULL,NULL,NULL,1.0,0.0
