oid,index,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21abdlamn,46,WISEA J130039.85-255451.8,195.16603999999998,-25.91439,0.6414333282151706,NED,True,0.077931,NULL,NULL
ZTF21abddioh,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abdbciv,48,SDSS J153954.90+380825.5,234.978748188111,38.1404402072108,0.7122710556965255,SDSSDR16,True,0.16755309999999998,3.812278e-05,specz
ZTF21abcwtzd,49,SDSS J150900.20+325621.7,227.250840873243,32.939382440135496,0.3411862354481489,SDSSDR16,False,0.346954,0.103606,photoz
ZTF21abbttva,50,SDSS J223153.50+284443.6,337.97292319131697,28.745459549096303,0.8533249380573593,SDSSDR16,False,0.09279,0.028594,photoz
ZTF21aarjvct,51,UGC 01977,37.68288,50.10608,8.618229522864814,NED,True,0.046981999999999996,NULL,NULL
ZTF21aajhyck,52,WISEA J141849.79-145150.6,214.70729,-14.864020000000002,0.6532248848486887,NED,NULL,NULL,NULL,NULL
ZTF20abqmhmi,53,WISEA J163953.23+253304.4,249.97182999999998,25.55122,1.7553156965105716,NED,True,0.145758,NULL,NULL
ZTF19acqleaf,54,SDSS J210801.92+212539.6,317.007998488363,21.4276844885355,0.4127921512484052,SDSSDR16,False,0.213689,0.039729,photoz
ZTF18aarlolp,55,SDSS J122401.07+082133.7,186.004473525163,8.35938416016778,0.14202941799805427,SDSSDR16,True,0.1398369,6.1935429999999985e-06,specz
ZTF18aaqydat,56,2MFGC 13076,244.24401,27.618440000000003,2.64269126376994,NED,True,0.049797,NULL,NULL
ZTF18aaqlauk,57,SDSS J124920.92+315838.6,192.337152816166,31.9774010635399,0.2067370219898276,SDSSDR16,True,0.2045228,3.46282e-05,specz
