oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21absxxvd,LEDA 2288143,109.05749999999999,46.84730555555556,5.935202653846862,Simbad,True,0.04284,0.00019999999494757503,C
ZTF21absxxew,CGCG 234-056,106.88483,48.90012,8.460187311592694,NED,True,0.020721,NULL,
ZTF21absxtdp,WISEA J064328.76+563630.0,100.86983,56.60836,0.36843026882813423,NED,NULL,NULL,NULL,NULL
ZTF21absxpiv,SDSS J030348.79+193543.8,45.9533014851348,19.595523264536,0.21160218653845506,SDSSDR16,False,0.259711,0.055828,photoz
ZTF21absxone,SDSS J015831.69-031730.6,29.6320539674237,-3.29183819710943,0.3300682681223341,SDSSDR16,False,0.13464,0.049893,photoz
ZTF21absxidf,SDSS J020138.83+262700.5,30.4117949592246,26.450162643385,2.2083489842996276,SDSSDR16,False,0.207428,0.046251,photoz
ZTF21abswnzb,WISEA J021157.68+090121.9,32.99033,9.02283,1.1428457648829604,NED,False,0.126363,NULL,PHOT
ZTF21absvlrr,ESO 540- G 025,11.90808,-20.5195,19.797669710612755,NED,True,0.020888,NULL,
ZTF21absvkbm,SDSS J002610.10+022009.0,6.54208788343828,2.33584521658009,0.112324470427079,SDSSDR16,False,0.193613,0.0299,photoz
ZTF21absvjjq,WISEA J235534.70+394002.9,358.89443,39.66753,0.12176455941104575,NED,NULL,NULL,NULL,NULL
ZTF21absvjel,WISEA J005100.34+263049.6,12.75142,26.51378,0.047928175548667545,NED,True,0.074455,NULL,SPEC
ZTF21absuqvh,WISEA J193230.77+680033.1,293.12829,68.00922,0.32638277811545274,NED,False,0.084835,NULL,PHOT
ZTF21abstsyg,SDSS J221656.79+110516.8,334.236607931972,11.0880042041591,1.982186201942197,SDSSDR16,False,0.134061,0.033998,photoz
ZTF21abstouw,SDSS J230403.41+193805.0,346.014202976323,19.6347245205392,0.9013786469454107,SDSSDR16,False,0.058599,0.014664,photoz
ZTF21abstkhj,WISEA J231226.99+411344.5,348.11249,41.22911,0.8262055121341353,NED,True,0.017916,NULL,
ZTF21absrnhc,SDSS J224925.51+115448.5,342.356280978782,11.9134870787601,0.3460910422330714,SDSSDR16,False,0.095158,0.016252,photoz
ZTF21absrfbe,WISEA J222852.94-145518.3,337.2206,-14.92183,0.21757715022893725,NED,NULL,NULL,NULL,NULL
ZTF21absqsjs,SDSS J222620.28+022421.0,336.584518889481,2.40583867134035,0.1522207156329571,SDSSDR16,False,0.094623,0.018697,photoz
ZTF21abspqma,SDSS J211242.30+210500.3,318.176249537193,21.0834180550681,0.5391571791337841,SDSSDR16,False,0.105443,0.02153,photoz
ZTF21abspqis,SDSS J205631.08+045307.0,314.129486565886,4.88529729882593,1.0959775439215136,SDSSDR16,False,0.116829,0.024747,photoz
ZTF21abspqhd,WISEA J203802.06+003648.2,309.50863,0.6135,0.13998398597673492,NED,True,0.083252,NULL,SPEC
ZTF21abspqgv,SDSS J210039.39+035745.5,315.164138360091,3.96265460739536,1.9949817068288949,SDSSDR16,False,0.102456,0.025685,photoz
ZTF21absmnwn,WISEA J193405.10+482018.1,293.52129,48.33781,2.50824356007161,NED,False,0.091011,NULL,PHOT
ZTF21absmmug,WISEA J202924.98+743825.2,307.35411,74.6403,0.1230301751274741,NED,NULL,NULL,NULL,NULL
ZTF21abslwdx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21absltzp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abskbhi,SDSS J023851.21+264831.2,39.7133805559961,26.8086733166088,0.44955804269124905,SDSSDR16,False,0.122779,0.014968,photoz
ZTF21abrxyli,SDSS J215212.15+251518.9,328.050618430466,25.2552711007836,0.6283821864204285,SDSSDR16,False,0.138038,0.034252,photoz
ZTF21abrslth,SDSS J204506.46+263910.2,311.276931737296,26.6528377619255,1.9850849520204652,SDSSDR16,False,0.127328,0.052729,photoz
ZTF21abbxyny,WISEA J065210.41+543410.9,103.04397,54.56967,2.2848592683160773,NED,NULL,NULL,NULL,NULL
ZTF20actohcw,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF20abphqly,WISEA J224612.01+134835.2,341.5501,13.80977,0.15064035398995676,NED,True,0.09422,NULL,SPEC
