oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF21aaxzczy,WISEA J200756.18+584203.4,301.98408,58.70083,2.857954111719974,NED,NULL,NULL,NULL,NULL,
ZTF21aaxzcir,WISEA J204504.38+102833.4,311.26827,10.47596,0.8214182219550278,NED,NULL,NULL,NULL,NULL,
ZTF21aaxykgp,SDSS J150305.56+165120.0,225.77317199433398,16.8555660388404,0.6736660571550318,SDSSDR16,False,0.33723200000000003,0.11203199999999999,photoz,
ZTF21aaxykdc,SDSS J143958.75+135812.3,219.994778169934,13.970109662839802,2.5435763427527487,SDSSDR16,False,0.140592,0.024587,photoz,
ZTF21aaxyjnp,SDSS J134716.60+414429.6,206.819176938233,41.7415567735812,1.3064403057659804,SDSSDR16,False,0.412778,0.063889,photoz,
ZTF21aaxyiqc,WISEA J143958.88+662125.4,219.99542,66.3572,0.45716157224253373,NED,NULL,NULL,NULL,NULL,
ZTF21aaxyios,SDSS J125811.46+302251.9,194.547744089831,30.381101910653896,1.337037691184954,SDSSDR16,False,0.06211900000000001,0.017376,photoz,
ZTF21aaxyglu,SDSS J140025.84+054832.5,210.107685833583,5.809046132016059,0.4451642740844136,SDSSDR16,False,0.167054,0.051276,photoz,
ZTF21aaxyecj,SDSS J123412.44+423402.7,188.55184632882703,42.5674281716259,3.4602938156666903,SDSSDR16,False,0.123188,0.034869,photoz,
ZTF21aaxyecd,WISEA J125700.90+402604.3,194.25371,40.43453,0.9467854788316131,NED,True,0.061249,NULL,,
ZTF21aaxydav,WISEA J121657.66+301217.1,184.24028,30.20472,1.8984159123552753,NED,True,0.064674,NULL,,
ZTF21aaxxyha,SDSS J105113.02+075305.9,162.804251399605,7.884976678637769,0.30103798428514295,SDSSDR16,True,0.16640320000000003,1.951175e-05,specz,
ZTF21aaxxoei,IC 4396,214.37598,28.80001,8.886553038436242,NED,True,0.034891,NULL,,
ZTF21aaxxmvs,SDSS J112629.31+470742.0,171.62212150557198,47.128352164971,0.5662033692511282,SDSSDR16,False,0.085845,0.043748,photoz,
ZTF21aaxxjen,WISEA J110539.44+192737.1,166.41431,19.46035,0.8308752253466829,NED,True,0.093124,NULL,,
ZTF21aaxxjdr,SDSS J111602.11+211739.3,169.008799423987,21.2942643177028,0.9628684450822967,SDSSDR16,False,0.088875,0.026846,photoz,
ZTF21aaxxihx,SDSS J110303.87+085139.8,165.76613117648301,8.86107266392691,0.19901060024908115,SDSSDR16,False,0.806714,0.238015,photoz,
ZTF21aaxxeyr,SDSS J100423.95+491011.9,151.09979858314,49.1699912559898,0.08422950222749186,SDSSDR16,False,0.128403,0.032044,photoz,
ZTF21aaxxdxh,SDSS J100638.28+370458.7,151.659485136608,37.082976046188,0.6684141401760748,SDSSDR16,False,0.164913,0.026385000000000002,photoz,
ZTF21aaxxdkp,WISEA J072120.64+681708.0,110.33614,68.28557,0.4508407461737982,NED,NULL,NULL,NULL,NULL,
ZTF21aaxxbrl,SDSS J090403.07-021827.8,136.012802006856,-2.30772972170148,5.888118306383247,SDSSDR16,False,0.128554,0.025394,photoz,
ZTF21aaxwyye,WISEA J094023.44-135250.6,145.09758,-13.88075,4.8339153586416,NED,True,0.087704,NULL,,
ZTF21aaxwytv,2MASX J10312956+0614383,157.87342,6.24374,4.560769515482686,NED,True,0.031362,NULL,,
ZTF21aaxwxwy,SDSS J104025.21+045720.0,160.10505725495702,4.955571979154911,0.2463948254349188,SDSSDR16,False,0.413488,0.218439,photoz,
ZTF21aaxwcgj,WISEA J225919.46+142923.7,344.83103,14.49007,0.5064833775850622,NED,True,0.032811,NULL,,
ZTF21aaxvvqq,SDSS J115715.57+313921.6,179.314885639442,31.656021335071397,0.14142757239383055,SDSSDR16,False,0.154325,0.015727,photoz,
ZTF21aaxuner,SDSS J115726.39+295601.3,179.359954137651,29.9337061506557,8.078193015503722,SDSSDR16,True,0.10651279999999999,2.3971260000000003e-05,specz,
