oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF22aaokiwo,WISEA J022323.83+255410.9,35.84979,25.90297,1.4646950001289576,NED,NULL,NULL,NULL,NULL
ZTF22aaokiwd,SDSS J022543.34+245146.0,36.4305682627402,24.8627904006624,2.9410986396801713,SDSSDR16,False,0.032774,0.007433,photoz
ZTF22aaokiud,SDSS J031247.24+414914.5,48.1968184590083,41.8206992584676,2.3894016060643013,SDSSDR16,False,0.039728,0.015968,photoz
ZTF22aaokitb,WISEA J025100.26+371732.6,42.75111,37.29241,3.563490827614963,NED,NULL,NULL,NULL,NULL
ZTF22aaojclr,2MFGC 12508,232.55442,7.76661,8.891201066037091,NED,True,0.035027,NULL,SPEC
ZTF22aaoikag,SDSS J154120.10+162141.4,235.333760015243,16.3615203005506,3.4500641434539956,SDSSDR16,False,0.073963,0.012208,photoz
ZTF22aaohzok,WISEA J160209.28-062603.5,240.53871,-6.43428,1.6670651223793647,NED,True,0.02958,NULL,
ZTF22aaohppx,SDSS J153754.68+381455.0,234.477849245831,38.248624484193,2.420396376396844,SDSSDR16,False,0.22098,0.018447,photoz
ZTF22aaohpmz,WISEA J140951.91+553442.8,212.46634,55.57852,4.154006119273741,NED,True,0.087951,NULL,SPEC
ZTF22aaohorr,SDSS J151559.68+444405.3,228.998661957579,44.7348266935374,1.2575617476939527,SDSSDR16,False,0.143915,0.046084,photoz
ZTF22aaohonv,WISEA J150830.63+425200.2,227.12768,42.8667,2.887357664499236,NED,True,0.040305,NULL,SPEC
ZTF22aaohojc,SDSS J140703.86+283228.3,211.766076271623,28.54121578021,0.1662217224114527,SDSSDR16,False,0.295702,0.084654,photoz
ZTF22aaohmcv,WISEA J153245.37+230509.3,233.18912,23.086,1.5151650494400228,NED,True,0.051562,NULL,SPEC
ZTF22aaohkps,WISEA J150550.86-222708.5,226.46176,-22.45226,1.130047580775692,NED,NULL,NULL,NULL,NULL
ZTF22aaohidu,SDSS J153207.92+563824.0,233.033010925845,56.640001459778,2.408295881784614,SDSSDR16,False,0.101345,0.067241,photoz
ZTF22aaohhqo,SDSS J143822.53+471321.3,219.593868529226,47.2226063969651,1.3913107283028718,SDSSDR16,False,0.163311,0.047676,photoz
ZTF22aaohgkf,WISEA J135858.72+491651.5,209.74468,49.281,6.134246338440186,NED,True,0.151082,NULL,SPEC
ZTF22aaohecw,SDSS J134747.67+233552.1,206.948605851143,23.5978228683541,0.2773532577080099,SDSSDR16,False,0.096548,0.050835,photoz
ZTF22aaogyhz,SDSS J141420.47-192523.1,213.585287731758,-19.4230825774079,2.7251135577573873,SDSSDR16,False,0.090108,0.020395,photoz
ZTF22aaogwme,SDSS J120908.27+574342.7,182.28448,57.72853,0.4519565730634698,NED,NULL,NULL,NULL,NULL
ZTF22aaogvsn,SDSS J120002.68+560640.4,180.01117,56.11122,1.29648381906166,NED,NULL,NULL,NULL,NULL
ZTF22aaogrih,WISEA J124100.10-111516.8,190.25042,-11.25472,1.9574560446313167,NED,True,0.048517,NULL,
ZTF22aaogojr,WISEA J135547.73-140453.5,208.94871,-14.08222,3.6871430858065075,NED,False,0.084905,NULL,PHOT
ZTF22aaoglxd,WISEA J133434.31-203607.8,203.64283,-20.60245,1.4852098524225608,NED,NULL,NULL,NULL,NULL
ZTF22aaoelte,WISEA J135449.68+203611.6,208.70709,20.60318,9.248380204873506,NED,True,0.070123,NULL,SPEC
ZTF22aaodelu,SDSS J134243.30+020756.4,205.680420487734,2.13233795608772,0.3328519686311314,SDSSDR16,True,0.07923813,1.781974e-05,specz
