oid,host_id,z
ZTF20acwfgrm,WISEA J151753.82+144753.1,0.119547
ZTF20acwqruh,WISEA J144709.12-035906.4,0.0627
ZTF20acwfcfs,WISEA J143212.30+001323.2,0.035546
ZTF20acvsxob,2MASX J06420810-2721290,
ZTF20acwjhvd,WISEA J041849.22-125114.3,
ZTF20acwjgzx,SDSS J035030.87+053743.0,0.126
ZTF20acwhylt,WISEA J031246.94-151904.2,
ZTF20acwijiy,WISEA J043149.29-201856.3,
ZTF20acwqmew,WISEA J143024.97+144225.5,0.095424
ZTF20acwidws,WISEA J025959.45+111038.1,
ZTF20acwqtfy,SDSS J150127.59+112931.2,0.137
ZTF20acvfcef,WISEA J144801.20+124232.2,0.082899
ZTF20acwqqyi,SDSS J142954.99+385148.2,0.182
ZTF20acwqlms,WISEA J144455.69+642123.5,
ZTF20acwqkfx,WISEA J131321.77+374849.9,
ZTF20acwofly,WISEA J105435.47+563355.0,0.109904
ZTF20acveyal,SDSS J074637.67+253054.0,0.081
ZTF20acvebyv,WISEA J082008.95+391121.5,0.089897
ZTF20acwpaiw,SDSS J105325.57+302312.0,0.104
ZTF20acwpbgv,2MASX J08462107-1239117,
ZTF20acwopmt,WISEA J082625.16-133205.6,
ZTF20acvjvly,WISEA J041005.22-132352.9,
ZTF20acvcxib,WISEA J050315.72-262532.8,
ZTF20acwgvas,SDSS J012400.19+140502.0,0.208
ZTF20acwhwax,SDSS J004606.16-071944.2,0.075
ZTF20acvagvn,SDSS J112230.40+041445.0,0.034
ZTF20acuzoei,SDSS J050311.05-031616.6,0.073
ZTF20acuqyea,WISEA J044401.43-180923.4,
ZTF20acvgtgj,SDSS J022805.69+025702.9,0.138
