oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF22abbzjam,2MASS J07134236+1603136,108.4265,16.0538,4.300765123548975,0.4532015993824836,3.905376845189913,NED,False,NULL,NULL,NULL
ZTF22abbzibb,SDSS J072404.97+152040.5,111.020711168251,15.3446057888947,0.34529999003250567,0.1833010021661205,0.18588095470362834,SDSSDR16,False,0.046724,0.033969,photoz
ZTF22abbxhav,SDSS J013021.02+112949.9,22.5875661837119,11.4972137368095,2.2728865839104433,0.48436291039744805,2.1701086620221104,SDSSDR16,False,0.213068,0.041627,photoz
ZTF22abbxgmy,SDSS J014727.16-003006.9,26.8631836329669,-0.501915646555338,2.1033452512472777,0.39093381502603775,1.8450228423574513,SDSSDR16,True,0.08257177,8.330274e-06,specz
ZTF22abbxebi,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22abbwvgv,SDSS J001647.52-053732.2,4.19800747612696,-5.62561144473619,6.996582254324437,0.1521566064004596,7.094224697645156,SDSSDR16,False,NULL,NULL,photoz
ZTF22abbwmbl,SDSS J233450.54-011217.6,353.710588017094,-1.20488903049753,4.391210029863148,0.37364050599412363,4.712892721558877,SDSSDR16,True,0.05739004,1.035408e-05,specz
ZTF22abbvubd,SDSS J225016.97+123640.7,342.570711918638,12.6113142400392,2.3487279925819116,0.10842589029312398,2.385581636677448,SDSSDR16,False,0.409133,0.077101,photoz
ZTF22abbvtaz,WISEA J230639.30-110738.7,346.66357,-11.12737,0.9709304844819863,0.24487347310793436,1.1407632680365551,NED,False,NULL,NULL,NULL
ZTF22abbvmsz,WISEA J223814.14-154625.1,339.55929,-15.77389,3.0919939742082905,1.1404370967916024,2.9903420478199703,NED,False,NULL,NULL,NULL
ZTF22abbuumk,SDSS J234611.16+233804.9,356.546501698829,23.6347194364137,1.4131291493005358,2.9105341734749537,3.293544949868175,SDSSDR16,False,0.26516,0.143459,photoz
ZTF22abbufpl,SDSS J230109.16+143351.5,345.288178725989,14.5643092273307,2.040361932061523,0.30606887773198865,2.3453732947379073,SDSSDR16,False,0.104272,0.027379,photoz
ZTF22abbtunb,SDSS J230508.39+161201.2,346.284942166638,16.2003560744886,1.4875722844680583,0.5686469357019689,1.511971775190014,SDSSDR16,False,0.093393,0.013926,photoz
ZTF22abbtmdv,SDSS J221030.60+000210.5,332.62750650322,0.0362557595617383,3.160428363539708,0.4776495505085123,3.457303623268104,SDSSDR16,False,0.099243,0.040654,photoz
ZTF22abbtjmz,WISEA J215946.14-183733.6,329.94208,-18.62608,3.8978732758779002,0.8348128103703041,3.115661483003817,NED,True,0.0794,NULL,
ZTF22abbtime,SDSS J224403.16+284955.3,341.013150766899,28.8320315826037,5.974580397538728,0.6072400595387544,6.472964741941322,SDSSDR16,True,0.1660869,2.521156e-05,specz
ZTF22abbtfzc,WISEA J014117.97+851040.9,25.32582,85.17799,1.8921902518764937,0.566432116958856,2.2478313924558018,NED,False,NULL,NULL,NULL
ZTF22abbryos,WISEA J162328.00+682756.3,245.86662,68.46564,2.098285478953787,0.2773305045239659,2.262171212537151,NED,False,0.114674,NULL,PHOT
ZTF22abbrvxu,SDSS J153231.95+452015.1,233.133117694411,45.3375270444648,1.097138700865517,0.6303838629247976,1.1921917765689314,SDSSDR16,False,0.312542,0.098427,photoz
ZTF22abbrrxc,WISEA J173620.93+172418.1,264.08716,17.40511,3.498673423778656,0.006915998498330502,3.5053711661448865,NED,False,NULL,NULL,NULL
ZTF22abbrmri,SDSS J174342.99+500010.0,265.929110372478,50.00280404296,2.0845771340840606,0.19616214455843342,1.9002402576269635,SDSSDR16,False,0.167591,0.018397,photoz
ZTF22abbqgwf,SDSS J163916.80+345945.8,249.820010309878,34.9960779748458,0.06301868349432707,0.1970177271232707,0.1559162002721382,SDSSDR16,False,0.161187,0.013429,photoz
