oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aajozkk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aakcszy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL
ZTF23aakceva,WISEA J190906.85+275114.3,287.27859,27.85402,2.718938546372176,NED,False,NULL,NULL,NULL,1.0,0.4620316486241582,2.299621830005069
ZTF23aakbobk,SDSS J134458.10+380642.0,206.242094163079,38.1116821455519,0.0771077256881565,SDSSDR16,False,0.340916,0.111428,photoz,2.0,0.0362857613552889,0.0908366586085279
ZTF23aakbjqx,2MASX J13531615+0510386,208.31745166666664,5.177534722222222,1.3258342865149944,Simbad,True,0.075212,0.0003039999864995,D,3.0,0.3810807882344362,1.2983221136485987
ZTF23aakbjfr,SDSS J132103.13+032602.9,200.263044451059,3.43415529452435,3.416860891839496,SDSSDR16,False,0.113827,0.030378,photoz,4.0,0.2675882115098337,3.3776600173864706
ZTF23aakaqht,SDSS J124943.15+133053.7,192.42979875,13.515002222222222,1.3169898110119302,Simbad,True,0.05581,9.999999747378752e-06,C,5.0,0.0846667170092233,1.289733725122776
ZTF23aajqegz,SDSS J095700.83+000341.2,149.253447081872,0.0614549072238696,0.5005273011477983,SDSSDR16,False,0.193289,0.045072,photoz,6.0,0.3125897189366641,0.2591837807701538
ZTF23aajpstn,SDSS J215904.34+310023.1,329.768062929071,31.0064284317675,9.603643774707209,SDSSDR16,False,0.09204,0.024785,photoz,7.0,0.9506255047573476,9.546776374528148
ZTF23aajpssy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8.0,NULL,NULL
ZTF23aajkdvl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,NULL
ZTF23aajibxa,SDSS J122450.80+184419.9,186.211673221651,18.738885460991,1.8141903344743648,SDSSDR16,False,0.145884,0.029277,photoz,11.0,0.3000668600088227,1.8962453174739888
ZTF23aajiazu,SDSS J111826.61+320852.3,169.61087407231,32.1478653506288,0.7737190427121483,SDSSDR16,False,0.129696,0.029111,photoz,12.0,0.2539747667990722,0.6219026620519491
ZTF23aajhwzl,SDSS J124401.04-083034.5,191.004327845926,-8.50958322570957,0.4831132096608215,SDSSDR16,False,0.154998,0.079823,photoz,13.0,0.2953379941148127,0.2384618840462876
ZTF23aajfoed,WISEA J194324.03+513228.6,295.85015,51.54129,2.4906589345588848,NED,False,NULL,NULL,NULL,14.0,2.0264185227452973,0.9128360682059584
ZTF23aajestr,SDSS J142006.82+015342.8,215.028410328223,1.89523504405219,2.276866033860342,SDSSDR16,False,0.07941,0.0452,photoz,15.0,1.2224509302132474,3.356943065419836
ZTF18aawwjzq,SDSS J093932.98+300021.4,144.887435597026,30.0059547986063,0.2259194964382238,SDSSDR16,True,0.1163597,2.138093e-05,specz,16.0,0.2130903052023161,0.0294756923802634
