oid,host_id,z
ZTF20acxtfqs,SDSS J153528.63+080042.8,0.170
ZTF20acxtgek,LCRS B150922.5-024726,0.021595
ZTF20acxtgxr,UGC 09829,0.028236
ZTF20acxtfdw,WISEA J132750.09+210808.2,0.170705
ZTF20acxteqx,SDSS J132321.96+073721.7,0.127
ZTF20acxtdrk,SDSS J144037.45+291859.3,
ZTF20acxtdst,WISEA J144919.11+281607.4,0.131219
ZTF18aakexmp,SDSS J120124.74+295931.3,0.098
ZTF20acxtdcm,WISEA J121413.98+094747.2,
ZTF20acxtdap,SDSS J121851.49+075417.9,0.091
ZTF20acxszkf,WISEA J110513.94+354942.0,0.099491
ZTF20acxsxbc,2MASX J13521306+1348055,0.06297
ZTF20acxswak,WISEA J115001.77+292734.0,0.125871
ZTF20acxtayx,WISEA J095931.99+155050.3,
ZTF18aahfbqp,CGCG 124-021,0.041362
ZTF20acxtdlw,SDSS J133919.78+580751.9,0.145
ZTF20acxqxyw,WISE J092235.65+305937.5,0.04703
ZTF18acrxody,GALEXASC J080211.23-050539.1,
ZTF20acxrrqt,WISEA J075913.56-140453.2,
ZTF20acxqpyj,SDSS J081556.22+025238.0,0.103
ZTF20acxqcda,WISEA J074612.21+350337.4,0.095247
ZTF20acxgqrz,WISEA J074456.12+380338.0,0.115509
ZTF20acxqaof,SDSS J053917.06+633832.0,0.038
ZTF20acxpurh,GALEXASC J055752.53-213306.8,
ZTF20acxptgk,WISEA J041453.29+370702.8,
