oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF25acfgosr,LEDA 1520763,224.0953208333333,16.942258333333335,7.648401177583558,0.7069751350596035,7.13018803163953,Simbad,True,0.07256,9.999999747378752e-06,C
ZTF25acfgool,SDSS J142733.56+042736.2,216.889815694176,4.46007419107367,4.253974505838944,0.454700771144768,4.0786261203831975,SDSSDR16,True,0.05619037,6.844137e-06,specz
ZTF25acfgonu,SDSS J145424.67+182804.7,223.602779169533,18.4679977230822,2.897854077229802,0.10930359358225661,2.7893463373298317,SDSSDR16,True,0.06003323,1.420572e-05,specz
ZTF25acfgoko,SDSS J145919.20+160127.6,224.83002874999997,16.024349722222222,4.444625912253928,0.4653537499390582,4.435983171722695,Simbad,True,0.04673,9.999999747378752e-06,C
ZTF25acfgmld,WISEA J115312.61-183546.2,178.30258,-18.59619,5.058740458633359,0.20201642184188104,5.219125466982265,NED,False,NULL,NULL,NULL
ZTF25acfglft,SDSS J131112.52+130906.6,197.80218490048,13.151839837687,0.3884183272480812,0.27032440908394106,0.21929412768902243,SDSSDR16,False,0.143961,0.042423,photoz
ZTF25acfgklv,LEDA 1305545,189.80995249999998,6.684589444444445,2.7132214266621237,0.30556799437200105,2.8426400533659497,Simbad,True,0.08177,9.999999747378752e-06,C
ZTF25acfgjhg,SDSS J133816.90+482229.2,204.57042916666663,48.37479722222222,1.880074836803722,0.8610674201045416,1.0671910582731736,Simbad,True,0.18843,1.9999999494757503e-05,C
ZTF25acfghbu,GALEXASC J140619.32+714524.1,211.58054,71.75671,4.671126298716215,1.538116842778633,3.478486002203241,NED,False,NULL,NULL,NULL
ZTF25acfgfjv,SDSS J123142.38+335326.5,187.92659624546,33.8907168057567,3.860339268274884,0.11574142321773201,3.7506689499205645,SDSSDR16,False,0.10812,0.028309,photoz
ZTF25acffthv,SDSS J082724.39+315553.7,126.851617818896,31.9316085713938,2.2776757516475272,1.3111199124635888,3.451233303914083,SDSSDR16,False,0.160259,0.04039,photoz
ZTF25acernhd,SDSS J020904.41-052402.8,32.2683827828521,-5.40078282703324,0.42243151969668863,0.2678463384294652,0.2167951940723287,SDSSDR16,False,0.17842,0.05023,photoz
ZTF25acepomm,SDSS J082236.48+310841.7,125.651987885148,31.1449390649936,0.368057748412624,0.07060548288389294,0.2976638603293859,SDSSDR16,False,0.151536,0.017495,photoz
ZTF25acegkaj,SDSS J121048.30+075054.1,182.70126509235,7.84837355771243,0.4045755471662404,0.37293022688315236,0.038266419913676825,SDSSDR16,False,0.181496,0.029652,photoz
