oid,host_id,z
ZTF21aagsiyk,WISEA J124558.84+190956.0,
ZTF21aagsigt,WISEA J113016.85+254700.5,
ZTF21aagqcfs,ARK 321,0.023373
ZTF21aagsfjy,WISEA J115855.94+141435.8,0.10248
ZTF21aagsgqk,WISEA J114752.49+051456.9,0.075199
ZTF21aagsfzc,WISEA J121435.10-072327.7,
ZTF21aagskpt,WISEA J112406.01+490516.3,0.11118
ZTF21aagslfl,WISEA J121530.17+751427.0,
ZTF21aagrhot,WISEA J101010.09+064505.2,
ZTF21aagrimf,WISEA J100857.82+074910.2,0.062878
ZTF21aagrjag,WISEA J095801.30+034838.6,0.078866
ZTF21aagmzio,WISEA J080432.40-093707.4,
ZTF21aagocor,WISEA J085929.56-025537.2,
ZTF21aagocxm,WISEA J090252.59-025152.3,
ZTF21aagoqez,WISEA J095324.85-005418.0,0.137546
ZTF21aagrhhc,2MASX J09495768-0018589,0.06362
ZTF21aagnwkk,WISEA J092757.08+124728.3,
ZTF21aagolmt,WISEA J101413.97+430444.3,
ZTF21aagsmgh,WISEA J102410.56+612355.7,
ZTF21aagojfe,CGCG 181-051,0.026872
ZTF21aagojoi,WISEA J092615.87+342437.7,0.061428
ZTF21aagoeyx,WISEA J095815.83-063626.9,
ZTF21aagqkwo,WISEA J091340.70-093514.8,
ZTF21aagqjph,WISEA J082945.99-215248.3,
ZTF21aagnzjy,NGC 2959,0.014774
ZTF21aafylvb,WISEA J084015.63+584700.2,
ZTF21aagltxy,WISEA J082947.22+172838.5,
ZTF20aalgshp,WISEA J082302.19+191329.3,
ZTF21aagmskf,WISEA J083702.84+345825.9,
ZTF21aagmuoz,WISEA J071132.07+370041.0,
ZTF21aagmttf,WISEA J070548.26+355245.9,
ZTF21aagmudi,WISEA J070826.70+345500.1,
ZTF21aagmqic,WISEA J062607.76+864121.3,
ZTF21aagmqio,WISEA J065850.15+811543.3,
ZTF21aagmogi,WISEA J041110.81-015206.8,
ZTF21aagmojt,WISEA J041352.08+002921.6,
ZTF21aagmoim,WISEA J042922.87-035452.7,
ZTF21aagmira,WISEA J025302.46+212201.3,
ZTF21aagmgoy,WISEA J034026.76-250924.6,
ZTF21aagmihe,WISEA J025418.93-153244.6,
ZTF21aaglrfh,WISEA J061232.74-210711.5,
ZTF21aaglret,WISEA J061116.99-233335.2,
ZTF21aaglmln,WISEA J025135.31+115749.2,
ZTF21aagkhca,WISEA J025713.52+132620.3,0.076873
ZTF21aaglcat,WISEA J014421.28+020559.0,
ZTF21aaglamm,CGCG 458-021,0.054681
ZTF21aagkzxe,WISEA J012302.73+325026.7,
ZTF21aagkznl,WISEA J235603.22+483030.4,
ZTF21aagkzkc,WISEA J235719.05+375747.9,
ZTF21aagkysp,2MASX J00361719+4157302,
ZTF21aagkzhd,WISEA J011653.07+505648.4,
ZTF21aagkxji,WISEA J013738.09+181457.2,
ZTF21aagkxnb,WISEA J021234.26+194852.2,
ZTF21aaglmni,WISEA J021648.59+112040.5,
ZTF21aagkvka,WISEA J002058.19+211348.1,
ZTF21aagkvqa,WISEA J004907.14+181529.8,
ZTF21aagkzmc,M31,
