oid,host_id,z
ZTF21aahgqzl,SDSS J030727.82+063540.4,
ZTF21aahgrmw,SDSS J030729.91+020611.7,
ZTF21aahgvie,WISEA J033635.47+322713.6,
ZTF21aahaksd,WISEA J050420.95-202503.3,0.031939
ZTF21aagmqux,WISEA J070800.37+584321.2,
ZTF21aahiuja,WISEA J043334.89-072836.8,
ZTF21aagmqwk,WISEA J063003.84+730352.7,
ZTF21aafztzo,WISEA J075206.70+482129.0,0.154091
ZTF21aahkbvt,WISEA J072914.92+582634.7,
ZTF21aagofnn,WISEA J074533.73-033251.7,
ZTF21aahbatg,SDSS J082631.75+482259.2,
ZTF21aagoaci,WISEA J081000.46+401844.0,0.123303
ZTF21aagmqwj,WISEA J062529.93+731255.5,
ZTF21aahjmry,WISEA J090325.83+355141.0,0.190213
ZTF21aagmrvn,SDSS J085120.59+453126.9,
ZTF21aahhejm,WISEA J034339.26+264804.0,
ZTF21aagmhjg,WISEA J041823.63-173450.8,
ZTF21aahicrr,SDSS J025213.21+020520.2,
ZTF21aahjdxo,SDSS J083439.81+223507.9,
ZTF21aagofwb,WISEA J083132.58-171212.6,
ZTF21aahhmev,WISEA J050647.31+034513.2,
ZTF21aahfgzw,SDSS J144403.82+022030.4,
ZTF21aahhkyb,SDSS J051012.62-014741.3,
ZTF21aahlqlk,GALEXASC J071712.27+233331.7,
ZTF21aahbuvs,SDSS J071413.41+301929.8,
ZTF21aahkgvo,WISEA J065637.24+222348.2,
ZTF21aagmrvg,WISEA J070526.56+491529.2,
ZTF21aahjkus,WISEA J082128.98-205249.0,
ZTF21aahhiob,WISEA J070101.33+592808.1,
ZTF21aagmgds,SDSS J034104.57-000221.8,
ZTF21aahhibj,SDSS J060603.21+624906.4,
ZTF21aahjzav,SDSS J082026.94+374630.9,
ZTF21aahiljg,SDSS J053508.02-021350.9,
ZTF21aagnkvw,SDSS J075519.34+503052.4,
ZTF21aahgzom,WISEA J055836.34-074001.6,
ZTF21aagmrym,SDSS J085508.13+434659.7,
ZTF21aahapgi,WISEA J071959.88+570945.2,
ZTF21aagnlqq,SDSS J084505.74+374015.5,
ZTF21aaguogc,SDSS J023126.79+071358.3,
ZTF21aagupry,V Zw 356,0.0482
