oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF22aaijubt,WISEA J192908.34+505243.3,292.28484,50.87865,2.1273993154009476,NED,NULL,NULL,NULL,NULL
ZTF22aaijtlk,WISEA J203520.24+191117.1,308.83419,19.18862,2.208143391991626,NED,NULL,NULL,NULL,NULL
ZTF22aaijrcl,WISEA J211346.68-054901.1,318.44445,-5.81706,5.67385127562903,NED,True,0.049088,NULL,SPEC
ZTF22aaijrci,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aaijqlz,SDSS J210453.13-041111.4,316.221366560113,-4.18650213828515,0.7615580131768754,SDSSDR16,False,0.061679,0.022893,photoz
ZTF22aaijqeb,SDSS J214108.43+065345.9,325.285124639424,6.89610209167039,0.1485804488919305,SDSSDR16,False,0.114341,0.015439,photoz
ZTF22aaijnqy,SDSS J174731.56+451817.0,266.881499492502,45.3047259239693,2.928585292103209,SDSSDR16,False,0.125467,0.08185,photoz
ZTF22aaijniw,WISEA J160959.17+655651.2,242.49658,65.94761,1.497648566747699,NED,False,0.075955,NULL,PHOT
ZTF22aaijkan,WISEA J182047.01+325350.1,275.1961,32.89731,0.9819746590489642,NED,NULL,NULL,NULL,NULL
ZTF22aaijjhx,SDSS J174822.61+445021.3,267.094218572359,44.8392554220742,0.4418747215031121,SDSSDR16,False,0.153993,0.034803,photoz
ZTF22aaijjdc,SDSS J171112.10+392831.0,257.800432151873,39.4752881694032,2.841805968271499,SDSSDR16,False,0.137956,0.031627,photoz
ZTF22aaiivdq,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aahzbks,SDSS J143502.98+431541.9,218.762422538782,43.261660367916,2.4281233314842794,SDSSDR16,False,0.090141,0.025809,photoz
ZTF22aahxaiv,2MASX J13511979+5854365,207.83221,58.91019,2.3010119161376474,NED,True,0.072267,NULL,SPEC
ZTF22aahngix,SDSS J142117.64+555228.0,215.323503693771,55.8744514890802,0.8124244644112117,SDSSDR16,False,0.126952,0.066657,photoz
ZTF18aatrvrn,SDSS J173541.12+504516.0,263.921339350082,50.7544487316493,1.9965239193225106,SDSSDR16,False,0.125266,0.018,photoz
