oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF23aaolssg,WISEA J181108.94+354922.7,272.7873,35.82327,4.034168592436569,1.2431817881234988,2.8655764039632388,NED,False,NULL,NULL,NULL
ZTF23aaokzrb,SDSS J152840.02+212202.2,232.166750463524,21.3672814779629,0.7988148090342523,1.2408518504135198,2.0361887694158565,SDSSDR16,False,0.237605,0.103532,photoz
ZTF23aaokeqj,SDSS J170612.53+194839.4,256.552215944898,19.8109519976069,6.731187488524363,1.150999963869746,7.472849314186763,SDSSDR16,True,0.0658464,9.465031e-06,specz
ZTF23aaojwkb,SDSS J151654.42+281824.6,229.22677916666666,28.306833333333334,3.668281054460421,0.7072979971789789,3.914440134944988,Simbad,True,0.07551,9.999999747378752e-06,C
ZTF23aaoarhb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aaoaqeg,SDSS J222050.81+115436.0,335.211710265513,11.9100246461637,1.612756307710216,0.39251350227148046,1.887025332934318,SDSSDR16,False,0.087047,0.034785,photoz
ZTF23aaoanrl,SDSS J210537.45+083019.2,316.406038049359,8.50534234415757,4.957060630439668,0.5090136788467154,4.6470417597839395,SDSSDR16,False,0.075947,0.030355,photoz
ZTF23aanzocp,GALEXASC J180453.08+333011.0,271.2212,33.50306,1.254719066121184,2.2043763661095452,0.9942445678935299,NED,False,NULL,NULL,NULL
ZTF23aanzmxr,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aanzmoz,WISEA J191644.42-173033.6,289.18517,-17.50939,7.0887310145914055,1.1543590370819656,7.014946154479859,NED,False,0.029877,NULL,SLS
ZTF23aanzbtf,WISEA J180650.00+272916.8,271.70875,27.48789,3.8942153186478503,0.4134620484546353,3.544614490449101,NED,False,0.075277,NULL,PUN
ZTF23aanyydk,SDSS J171045.73+210037.6,257.690534228017,21.0104661029257,1.2092300997934948,0.8126394579041827,0.7186959596551299,SDSSDR16,False,0.095414,0.03872,photoz
ZTF23aanyibw,SDSS J173143.25+303912.0,262.93020577572,30.6533339680692,2.9053545525568105,0.6920389127050794,2.342851778922147,SDSSDR16,False,0.122358,0.036671,photoz
ZTF23aansdng,SDSS J145517.61+222218.4,223.823367919011,22.3717946473055,0.3166791459008219,0.24780453127649082,0.5576500138785325,SDSSDR16,False,0.138914,0.035206,photoz
