oid,host_id,z
ZTF21aamayom,2MASX J04532294-1331406,0.03896
ZTF21aamucom,WISEA J103518.80-130018.9,
ZTF21aamtjxe,WISEA J100549.62+313414.2,0.101944
ZTF21aamttit,UGC 06461,0.040571
ZTF21aamwupi,WISEA J182351.25+302252.2,
ZTF21aamxmjq,WISEA J160505.21+380838.2,0.070059
ZTF21aamxwjy,WISEA J173727.18+165058.5,
ZTF21aamwyql,WISEA J175503.37+125343.9,
ZTF21aamcznl,KUG 1020+344,0.059869
ZTF21aamtcbk,NVSS J105111-021317,0.211
ZTF21aamwqim,WISEA J122443.66-044558.3,0.025878
ZTF21aamxlrg,WISEA J161543.52+233254.3,0.051885
ZTF21aamxkth,WISEA J152552.34+120146.0,0.112863
ZTF21aalywah,SDSS J163701.55+370531.4,
ZTF21aamxfcx,SDSS J133623.83+161203.0,
ZTF21aamgrtx,SDSS J154048.79+175306.3,
ZTF21aamjgfp,WISEA J100956.10-192026.2,0.065589
ZTF21aamxdve,SDSS J143414.08+142036.7,
ZTF21aamximg,SDSS J140320.01+484156.9,
ZTF21aamseve,SDSS J051110.04-031038.2,
ZTF21aamxhxe,SDSS J131901.57+524550.7,
ZTF21aamwtao,SDSS J171654.15+664023.5,
ZTF21aamxdmn,SDSS J141853.93+064728.8,
ZTF21aalswkm,SDSS J082247.72+115928.2,
ZTF21aalxwdg,SDSS J171105.33+713144.6,
ZTF21aamwvat,WISEA J172828.85+162022.9,
ZTF21aamvfpd,WISEA J131754.90+413931.6,
ZTF21aalzafj,SDSS J161609.36+232545.0,
ZTF21aalrpib,SDSS J085139.38+450856.9,
ZTF21aamwzfi,WISEA J165028.11+581436.5,
ZTF21aalxurx,WISEA J134404.10+430426.4,0.027282
ZTF21aaltwgl,WISEA J094320.33-041848.3,
ZTF21aamxhxh,SDSS J135138.14+470208.0,
ZTF21aamvgen,SDSS J125745.94+400401.7,
ZTF21aamwvhr,SDSS J160638.70+161405.5,
