oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aaqqmsx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aaqzhwm,SDSS J001001.91+245840.0,2.50794737001377,24.9777955633336,2.852796337612759,SDSSDR16,False,0.07523,0.016557,photoz,0.0,0.3249365841374101,3.1696549118781063
ZTF23aaqzbar,WISEA J213137.72-240215.2,322.90707,-24.03747,2.333411781215835,NED,False,NULL,NULL,NULL,1.0,0.221298669566777,2.4663751309638524
ZTF23aaqymhe,WISEA J211347.07+242638.0,318.44621,24.44386,8.655823380094661,NED,False,0.060486,NULL,PUN,2.0,1.0341322572648808,8.64796271754487
ZTF23aaqxths,WISEA J214814.45+445758.4,327.06041,44.9663,3.790166670342204,NED,False,NULL,NULL,NULL,3.0,1.5462170019632837,2.2448697288713086
ZTF23aaqxfro,WISEA J184727.46+441447.6,281.86378,44.24643,7.424605611206005,NED,False,NULL,NULL,NULL,4.0,1.6137918514255862,5.890734432919095
ZTF23aaqxcbb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0,NULL,NULL
ZTF23aaqwqsz,WISEA J172141.84+041914.4,260.42425,4.32069,7.608232214666857,NED,False,0.080927,NULL,PUN,6.0,0.3396086723589246,7.26909359773025
ZTF23aaqwoax,SDSS J135102.94+600614.8,207.762251578244,60.104131020749,1.0011163001790178,SDSSDR16,False,0.090527,0.022724,photoz,7.0,0.7374779142476621,0.267824366966206
ZTF23aaqwnvt,SDSS J132242.11+450235.9,200.675460280934,45.0433095398655,2.208719222553789,SDSSDR16,False,0.110443,0.036762,photoz,8.0,0.2823485220569122,2.158223954880641
ZTF23aaqwnfd,SDSS J134022.56+194756.0,205.094011311655,19.7989020598922,4.565235574063286,SDSSDR16,True,0.1168704,1.200852e-05,specz,9.0,0.6848304152636101,5.0100718301601
ZTF23aaqthcd,SDSS J163500.38+164001.4,248.75158913304,16.6670672709305,1.4242543485200765,SDSSDR16,True,0.1436752,3.724941e-05,specz,10.0,0.3172773110756627,1.7403622033775905
ZTF23aaqtgzf,SDSS J161944.17+155850.0,244.934039258989,15.9805816943406,2.61536448471919,SDSSDR16,False,0.141715,0.064304,photoz,11.0,0.476425774774959,2.15201695220717
ZTF23aaqpawb,WISEA J191827.21+555408.4,289.6139,55.90194,1.35942064156582,NED,False,NULL,NULL,NULL,13.0,1.9019581200956572,2.909190788665536
ZTF23aaqnyds,SDSS J163437.63+223953.2,248.656794413681,22.6647895116606,2.9500299193831108,SDSSDR16,True,0.09420501,1.398583e-05,specz,14.0,0.4997912760051939,3.419802131270417
ZTF23aaqnilh,SDSS J170913.69+263742.3,257.307046972561,26.628432376349,2.244621703215724,SDSSDR16,False,0.047517,0.009399,photoz,15.0,0.3433041254753717,1.9094946724360504
ZTF23aaqmihu,WISEA J135743.48+774337.2,209.43163,77.72668,1.9727217580593044,NED,False,NULL,NULL,NULL,16.0,1.3318755168797438,1.1354356950751587
