oid,level_0,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aafzcxx,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aafhuob,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aageebd,2,2MASX J15504211-0900512,237.6753620833333,-9.014270833333333,6.201004846616483,Simbad,True,0.0594,NULL,D,0.0,2.367662507171989,6.019904283918579
ZTF23aagdebl,3,2MASX J15121471+0347171,228.0613858333333,3.788096388888889,3.977472939521785,Simbad,True,0.07972,1.9999999494757503e-05,C,1.0,0.4015579680634796,4.23597281857075
ZTF23aagddli,4,SDSS J155032.59+112720.0,237.63577542908,11.455573048914,1.8114423663834045,SDSSDR16,False,0.195913,0.055688,photoz,2.0,0.258330766920808,1.6519296951612596
ZTF23aagdbts,5,SDSS J161844.23+030253.9,244.684275948956,3.04832558842768,15.68062452348143,SDSSDR16,False,0.14851,0.031083,photoz,3.0,0.4259252482677929,15.455256363178137
ZTF23aagdamr,6,2MASX J18260960+6025347,276.54021,60.42625,3.352807507116146,NED,False,0.044537,NULL,PUN,4.0,0.3351854737473579,3.687958025823997
ZTF23aagahpr,7,SDSS J105223.84+380357.8,163.09935293016,38.0660609959332,4.87753995007238,SDSSDR16,True,0.1561954,2.979076e-05,specz,5.0,0.2457275879007855,4.867428782592805
ZTF23aagaabw,8,WISEA J094916.42-203117.9,147.31886,-20.52171,3.0297097304218754,NED,False,NULL,NULL,NULL,6.0,1.6737036867720845,1.881304124671802
ZTF23aafzqih,9,SDSS J081831.37+225612.2,124.630724754507,22.9367468794831,1.6615878150652654,SDSSDR16,False,0.10886,0.042929,photoz,7.0,0.2059314004193616,1.8611279540692167
ZTF23aafxhbo,10,SDSS J220158.61+221428.0,330.494216415941,22.2411181503677,0.5226088050412052,SDSSDR16,False,0.103281,0.036311,photoz,9.0,0.5261940763616235,0.0248955074020432
ZTF23aafxbvj,11,SDSS J155254.23+513210.6,238.22598,51.53628,1.6700647202239214,NED,False,NULL,NULL,NULL,10.0,0.2084203262750887,1.461693937686254
ZTF23aafrhew,12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11.0,NULL,NULL
ZTF23aafmrjt,13,WISEA J135709.60-143700.0,209.29002,-14.61668,2.3821812731354264,NED,False,NULL,NULL,NULL,12.0,0.8195833640327098,1.6282171034560409
ZTF23aafhdte,14,SDSS J154058.06+555729.4,235.241907703143,55.9581870740712,1.4574309927200106,SDSSDR16,True,0.06452116,7.78427e-06,specz,14.0,0.4752318858190694,0.9829173668438468
ZTF23aafgvya,15,SDSS J145745.96+264615.5,224.44149513052,26.7709980070743,3.901107558711108,SDSSDR16,False,0.105775,0.033921,photoz,15.0,0.6081963676402474,4.016640512281001
ZTF23aafgbry,16,SDSS J121242.14+220236.3,183.175571063978,22.0434419389482,1.5159570743666118,SDSSDR16,True,0.1098909,2.266757e-05,specz,16.0,0.1862783630119493,1.637915746053498
ZTF23aafgazi,17,SDSS J122145.60+103544.2,185.439984056828,10.5956147741953,32.768097779151745,SDSSDR16,True,0.02646732,1.024472e-05,specz,17.0,1.8787184579619165,34.476730628755234
ZTF23aaewkvw,18,WISEA J062932.75+622611.4,97.3876,62.43636,6.233885790017962,NED,False,NULL,NULL,NULL,18.0,2.1043792863328794,4.181478288838101
