oid,host_id,z
ZTF20acfnuee,SDSS J223136.56+023006.3,0.061
ZTF20abwilhb,UGC 03820,0.008439
ZTF20acfqpis,WISEA J074910.83+460523.1,0.15305
ZTF20acfkzcg,KUG 0739+504,0.018713
ZTF20acfaonm,2MFGC 06295,0.073618
ZTF20accxwrk,WISEA J073134.20+571628.9,
ZTF20accxsoz,SDSS J080034.78+511802.7,0.137
ZTF20accxugd,SDSS J073515.68+405007.3,0.197
ZTF20acfqifi,WISEA J071637.78+171138.7,
ZTF20acaapwk,SDSS J071559.21+145415.1,0.085
ZTF20acfrxil,WISEA J065507.44+074855.6,
ZTF20acfqcoz,SDSS-II SN 11464,0.017505
ZTF20acfrobh,WISEA J052352.68+453202.0,
ZTF20acezxxw,SDSS J073210.52+401014.3,0.131
ZTF20acfsehf,WISEA J060319.68+120042.0,
ZTF20acfrnyx,WISEA J071357.80+775536.1,
ZTF20acfqrlz,SDSS J041948.53+005503.0,0.067
ZTF20accxrgh,WISEA J071420.84+622532.8,
ZTF20acflhqc,WISEA J061243.06-200916.5,
