oid,host_id,z
ZTF20abchoar,SDSS J222848.58+142848.7,0.117
ZTF20abchjdk,SDSS J224048.92+245632.7,0.087
ZTF20abchhqk,WISEA J235310.74+370050.8,
ZTF20abchhrr,SDSS J233445.85+325941.0,0.107
ZTF20abchhuw,SDSS J234818.47+330853.4,0.025
ZTF20abchgol,WISEA J225228.56+255120.9,0.095158
ZTF20abcgkoe,WISEA J213817.08-002840.1,0.088865
ZTF20abcgjvq,WISEA J204343.39-011419.8,0.056079
ZTF20abcgkom,WISEA J210129.10-001703.6,0.054569
ZTF18aawudwn,WISEA J181457.14+502058.4,
ZTF20abcdzod,WISEA J160155.52+465920.2,0.042915
ZTF20abceeqp,SDSS J185233.12+793952.0,0.051
ZTF20abccixp,SDSS J162656.94+201447.8,0.037
ZTF20abcbfnw,2MASX J10333269+1152328,0.03389
ZTF20abbzpry,WISEA J093920.86+292700.8,0.125934
ZTF20abbzolz,WISEA J104503.91+081910.1,0.050638
ZTF20abbzosa,SDSS J103645.49+123737.2,0.072
ZTF20abbzodq,WISEA J104444.60-020215.5,0.0375
ZTF20abbzmue,WISEA J112026.78-052722.1,0.039193
ZTF20abbzjrc,WISEA J095150.49+054655.5,0.090205
ZTF20abchxtq,SDSS J213718.35-040846.8,0.153
