oid,host_id,z
ZTF21aabytaz,SDSS J133849.92+364109.9,0.192
ZTF21aabyrww,WISEA J170312.79+555154.6,
ZTF21aabyovm,SDSS J124029.24+210557.4,0.121
ZTF21aabyoax,SDSS J102711.87+161945.4,0.455
ZTF21aabyifm,VCC 1206,0.024514
ZTF21aabyorv,SDSS J115553.77+003630.1,0.127
ZTF21aabygea,CGCG 041-027,0.019323
ZTF18aajgjpx,SDSS J111041.06+281018.5,0.138
ZTF21aabxjqr,CGCG 265-032,0.033146
ZTF21aabuzkx,SDSS J064537.58+662853.1,0.194
ZTF21aabvand,WISEA J061744.72+392226.9,
ZTF21aabuybz,WISEA J062823.50+233729.1,0.036522
ZTF21aabsthu,WISEA J061151.07+463515.1,
ZTF21aabsspp,SDSS J061223.61+443331.4,0.028
ZTF21aabgpjz,WISEA J173103.08+733021.3,
ZTF21aabyqmy,WISEA J142413.46+161050.6,0.114133
ZTF21aabyhlz,SDSS J111006.13+182958.0,0.128
ZTF21aabgdda,WISEA J125725.49+554027.5,0.095627
ZTF21aabyphk,WISEA J144711.35+702930.7,
ZTF21aabymcc,SDSS J122809.06+271111.8,0.142
ZTF21aabynhv,SDSS J104332.33+010935.2,0.143
ZTF21aabvqmu,SDSS J091528.12+314825.0,0.113
ZTF21aabvqed,SDSS J094112.40+300148.9,0.104
ZTF21aabybpm,SDSS J095251.18+373734.0,0.146
ZTF21aabvkkk,SDSS J082410.16+150508.6,0.245
ZTF21aabuuoi,WISEA J070720.12+225123.2,
ZTF21aabcyvd,WISEA J052232.14+054016.4,0.028143
ZTF21aabdbez,WISEA J055002.15+164118.2,
ZTF21aabatzn,SDSS J034607.18+111528.2,0.033
ZTF21aabqtsd,UGC 12558,0.029837
ZTF21aabyrhy,SDSS J154003.11+184644.6,0.176
ZTF21aaaybsh,WISEA J151020.21+282639.0,0.111909
ZTF21aabyqkf,SDSS J135951.65+354522.9,0.097
ZTF21aabyqok,WISEA J140637.68+093704.7,0.11346
ZTF21aaaxtxr,SDSS J140145.26+275605.7,0.569
ZTF21aabvtqd,WISEA J085526.55+533012.0,0.129435
ZTF21aablfne,SDSS J084128.51+133020.3,0.172
ZTF21aabdmcw,SDSS J090844.80+613034.8,0.281
ZTF21aaahzpr,SDSS J114911.57-021711.5,0.246
ZTF21aabygbs,SDSS J120422.40+035546.9,0.208
ZTF21aabyqvl,SDSS J124615.78-001319.6,0.145
ZTF21aabyshf,SDSS J142110.65+371424.4,0.359
