oid,host_id,z
ZTF20aattbba,WISEA J152309.86+310339.0,0.1139
ZTF20aattqnm,SDSS J151707.46+142801.3,0.166
ZTF20aattqcx,WISEA J151023.56+084724.2,0.080377
ZTF20aattqfc,CGCG 077-034,0.045111
ZTF20aattpyw,SDSS J150306.54+092045.6,0.147
ZTF20aatuety,2MASS J15231132+3144420,0.37019
ZTF20aattreg,SDSS J150508.32+044953.1,0.152
ZTF20aattpqy,WISEA J154312.21+051400.6,0.080714
ZTF20aattpda,WISEA J160720.35+054157.8,0.061823
ZTF20aattnyq,WISEA J140954.76+085055.4,0.108222
ZTF20aattoch,KUG 1421+124,0.026235
ZTF20aattnyf,SDSS J141356.21+175433.8,0.110
ZTF20aattnyx,WISEA J141231.27+200855.2,0.082837
ZTF20aatruwg,WISEA J145337.29+573508.0,0.075192
ZTF20aatrtcy,SDSS J145622.44+531602.4,0.159
ZTF20aattotq,NGC 5635,0.014397
ZTF20aatpwrv,SDSS J141353.41+302614.6,0.149
ZTF20aatpwxg,WISEA J140537.85+360149.4,0.06508
ZTF20aatsjys,WISEA J151211.60+483629.8,0.091587
ZTF20aatrzep,SDSS J145319.69+451430.5,0.165
ZTF20aattbmp,SDSS J151415.93+440225.7,0.148
ZTF20aattayw,WISEA J151544.93+382654.6,0.062978
ZTF20aattbgm,SDSS J152511.80+313646.3,0.099
ZTF20aatqizg,WISEA J125239.75+103914.4,0.136637
ZTF20aatqicp,UM 551,0.033216
ZTF20aatqiqf,SDSS J131050.76+065451.1,
ZTF20aatqhio,SDSS J132211.64+093908.1,0.114
ZTF20aatqbmw,WISEA J133049.71+155638.8,0.090398
ZTF20aatqiao,KUG 1337+196,0.072746
ZTF20aatpxkq,2MASX J13060377+2403147,0.0989
ZTF20aatpxro,WISEA J125835.51+232143.0,0.122368
ZTF20aatqgsf,SDSS J134220.69+184402.1,0.121
ZTF20aatpwxy,SDSS J132816.75+225430.7,0.259
ZTF20aatpspm,SDSS J123415.21+551309.5,0.093
ZTF20aatqesi,WISEA J144709.05+724415.5,
ZTF20aatpvvp,WISEA J131808.89+382121.4,0.095182
ZTF18aazhjzt,SDSS J130143.32+314642.1,0.166
ZTF20aatvdpj,SDSS J142452.84+015643.3,0.212
ZTF20aatpzoo,SDSS J112241.35+212657.1,0.250
ZTF20aatpxda,SDSS J122344.00+354557.2,0.119
ZTF20aatpxhj,WISEA J122234.35+310829.3,0.110131
ZTF20aatpoos,SDSS J122602.87+554208.5,0.070
ZTF20aatponi,SDSS J122511.93+561316.1,0.170
ZTF20aatpsyb,WISEA J113850.81+584033.6,0.107235
ZTF20aatpszk,SDSS J114644.06+585640.9,0.135
ZTF20aatpsgc,2MASX J12483377+6227391,0.077525
ZTF20aatprua,LEDA 2581484,0.06567
ZTF20aatpnhr,SDSS J111627.77+395922.9,0.388
ZTF20aatpntn,SDSS J105316.10+401435.2,0.189
ZTF20aatpldg,WISEA J103309.33+522315.8,0.076317
ZTF20aatplhd,SDSS J102132.10+513013.0,0.149
ZTF20aatplsh,WISEA J101655.75+501836.4,0.13231
ZTF20aatplfb,WISEA J101417.44+511440.6,0.137809
ZTF20aattqnu,WISEA J160638.07+191924.2,0.073561
ZTF20aatpgiw,SDSS J102237.12+193039.6,0.283
ZTF20aatpisf,WISEA J094109.69+255040.7,0.117369
ZTF20aatpjeo,WISEA J101206.23+334051.5,0.131147
ZTF20aatpjgv,SDSS J094005.65+302352.8,
ZTF20aatpjox,SDSS J092734.74+342413.1,0.227
ZTF20aatpjjf,SDSS J094028.64+431039.6,0.159
ZTF20aatrkqc,NGC 4774 NED02,0.027929
ZTF20aatqlqk,SDSS J121033.59+074413.9,0.106
ZTF20aatqdes,SDSS J132625.43+522850.0,0.426
ZTF18aaujwnu,SDSS J111807.73+303113.1,0.093
ZTF20aatqais,SDSS J121327.67+222103.4,0.142
ZTF20aasohbn,2MFGC 11965,0.064541
