oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,index
ZTF21ababatx,SDSS J005824.95+452134.2,14.603960103575199,45.3595081158923,0.6507184549945665,SDSSDR16,False,0.085507,0.018465000000000002,photoz,,
ZTF21abaaylz,SDSS J233906.89+163013.8,354.778697346102,16.5038346943524,7.612825911279559,SDSSDR16,False,0.082454,0.023941,photoz,,
ZTF21abaaunw,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL
ZTF21abaatcn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.0,NULL
ZTF21abaasbj,SDSS J192626.12-073634.4,291.608850962233,-7.6095761732985,0.4683258601217261,SDSSDR16,False,0.109157,0.03035,photoz,2.0,NULL
ZTF21abaarog,WISEA J203702.64-071407.6,309.26092,-7.235410000000001,0.3774394508546535,NED,NULL,NULL,NULL,NULL,3.0,NULL
ZTF21abaaoyf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.0,NULL
ZTF21abaajim,SDSS J215009.87+111424.9,327.54113083076,11.2402729824268,2.257715402704687,SDSSDR16,False,0.11147,0.039778,photoz,5.0,NULL
ZTF21abaaipx,SDSS J210916.51+054926.2,317.318802413194,5.8239562921694015,8.380437285999392,SDSSDR16,False,0.094365,0.030777,photoz,6.0,NULL
ZTF21abaaign,SDSS J213036.08+261710.1,322.65033073698396,26.2861512681807,0.14841575727178674,SDSSDR16,False,0.493097,0.159447,photoz,7.0,NULL
ZTF21abaaiar,WISEA J212600.46+224851.3,321.50192000000004,22.81431,1.4821239948915783,NED,NULL,NULL,NULL,NULL,8.0,NULL
ZTF21abaahfd,SDSS J205755.27-013625.1,314.480309009586,-1.60699426762344,0.3138090623749966,SDSSDR16,False,0.183965,0.029135,photoz,9.0,NULL
ZTF21abaahdj,SDSS J212445.51-052816.2,321.18961079167,-5.471186859742678,5.679167348719558,SDSSDR16,False,0.134502,0.012036,photoz,10.0,NULL
ZTF21abaagxi,SDSS J211013.59-015021.3,317.556637527999,-1.839265211669,0.12268671897372126,SDSSDR16,False,0.228805,0.071778,photoz,11.0,NULL
ZTF21abaagpj,WISEA J205408.96-071344.4,313.53732,-7.22899,5.940331850970807,NED,True,0.066459,NULL,NULL,12.0,NULL
ZTF21abaagct,WISEA J202301.83-062508.5,305.75764,-6.41903,0.5731341087793924,NED,NULL,NULL,NULL,NULL,13.0,NULL
ZTF21abaagah,WISEA J201259.17+000015.9,303.24655,0.00447,0.6282066127336612,NED,NULL,NULL,NULL,NULL,14.0,NULL
ZTF21abaafie,SDSS J202618.76-005221.0,306.57818577935,-0.8725206058405659,0.5848490824304975,SDSSDR16,False,0.124713,0.035353,photoz,15.0,NULL
ZTF21abaaffu,WISEA J202235.33-045838.8,305.64721000000003,-4.9774199999999995,0.30311847096745537,NED,True,0.079181,NULL,NULL,16.0,NULL
ZTF21abaaerd,WISEA J200854.15-091148.8,302.22575,-9.19703,0.32740975751274665,NED,NULL,NULL,NULL,NULL,17.0,NULL
