oid,index,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF22aaedsmb,0,WISEA J165239.30+194253.4,253.16376,19.7148,1.7452672218294136,NED,True,0.115726,NULL,SPEC
ZTF22aaedrzw,1,2MASX J15521072+0617067,238.04464,6.28514,2.011477342469634,NED,True,0.069441,NULL,SPEC
ZTF22aaedrqo,2,WISEA J155322.10-073437.8,238.3421,-7.57718,2.610842851853139,NED,NULL,NULL,NULL,NULL
ZTF22aaedrda,3,WISEA J154548.81-060714.7,236.45323,-6.12076,5.10954734933356,NED,NULL,NULL,NULL,NULL
ZTF22aaedqkt,4,WISEA J144307.38-224011.0,220.78062,-22.66981,0.6016759331669755,NED,False,0.047213,NULL,PHOT
ZTF22aaedprs,5,SDSS J152756.81+213914.2,231.98672,21.65397,0.9512102015677856,NED,NULL,NULL,NULL,NULL
ZTF22aaedppy,6,SDSS J153227.44+313619.2,233.114347322178,31.6053416407064,0.1728445045680051,SDSSDR16,False,0.230677,0.022781,photoz
ZTF22aaedpjk,7,WISEA J191826.28+743402.3,289.60954,74.56731,0.6037668526993832,NED,NULL,NULL,NULL,NULL
ZTF22aaedphd,8,WISEA J190800.88+572553.8,287.00253,57.43138,2.8744200112657925,NED,NULL,NULL,NULL,NULL
ZTF22aaedpgf,9,WISEA J190831.52+544247.1,287.13137,54.71311,1.06279080203788,NED,NULL,NULL,NULL,NULL
ZTF22aaedoyk,10,SDSS J174955.73+613712.6,267.482206416413,61.6201895387797,5.03500436899188,SDSSDR16,False,0.083965,0.027564,photoz
ZTF22aaedoxt,11,SDSS J163145.61+553810.2,247.940025787302,55.6361688510815,0.4442917048163187,SDSSDR16,False,0.15054,0.043449,photoz
ZTF22aaedoto,12,SDSS J151806.41+374349.4,229.526724956412,37.7303964010249,0.6102155072096214,SDSSDR16,False,0.225594,0.025461,photoz
ZTF22aaedlye,13,WISEA J135451.39-222601.7,208.71414,-22.43382,1.4861227328035795,NED,NULL,NULL,NULL,NULL
ZTF22aaedlap,14,WISEA J142540.99-084517.3,216.42087,-8.75483,9.001614824956151,NED,True,0.069755,NULL,NULL
ZTF22aaedkpc,15,2MASX J13464461-2404153,206.686,-24.07086,2.776879650780689,NED,NULL,NULL,NULL,NULL
ZTF22aaedgra,16,WISEA J142459.67-103653.4,216.24871,-10.61483,0.3873130413678044,NED,False,0.114227,NULL,PHOT
ZTF22aaedgbt,17,WISEA J153559.77+032539.2,233.99911,3.42738,2.678228070901391,NED,NULL,NULL,NULL,NULL
ZTF22aaedfkx,18,WISEA J152746.42+302200.7,231.94339,30.36687,5.82293217182142,NED,True,0.082209,NULL,SPEC
ZTF22aaedezx,19,SDSS J145857.56+434152.8,224.739828884559,43.6980254954493,0.3119266845813864,SDSSDR16,False,0.26732,0.130154,photoz
ZTF22aaedebi,20,UGC 11377,283.10029,73.19203,6.348948851168436,NED,True,0.024874,NULL,NULL
ZTF22aaecsvn,21,WISEA J130147.34-240059.2,195.44733,-24.0165,0.7682177925001995,NED,True,0.044164,NULL,NULL
ZTF22aaeckap,22,SDSS J173408.23+690918.2,263.534310313675,69.1550597749765,1.0309310577031083,SDSSDR16,False,0.181083,0.022368,photoz
ZTF22aaecjxe,23,WISEA J162445.27+691252.4,246.18863,69.21456,1.4043430156490109,NED,NULL,NULL,NULL,NULL
ZTF22aaecjuw,24,SDSS J170605.94+731541.9,256.524764968064,73.2616582877452,0.6076229405485785,SDSSDR16,False,0.127374,0.014339,photoz
ZTF22aaecenq,25,2MASX J13415054-1736239,205.46057291666665,-17.606589722222225,8.367368777851063,Simbad,True,0.055018,2.300000051036477e-05,D
ZTF22aaecdin,26,SDSS J124802.14-112537.1,192.008919043311,-11.426985094025,1.5788841347905915,SDSSDR16,False,0.039867,0.008446,photoz
ZTF22aadqmom,27,WISEA J152557.56+093737.4,231.48985,9.62709,1.4392625129034793,NED,True,0.081999,NULL,SPEC
ZTF22aadqlty,28,SDSS J151900.52+070527.7,229.75218,7.09104,3.833152645666137,NED,True,0.103692,NULL,SPEC
ZTF22aadqlbb,29,WISEA J152212.07+130853.7,230.55024,13.14826,0.2491384738889584,NED,True,0.073886,NULL,SPEC
ZTF22aadqelc,30,SDSS J145541.61+430442.2,223.923390285484,43.0783994840503,0.0966868559778798,SDSSDR16,False,0.366282,0.090576,photoz
ZTF22aadolze,31,UGC 11054,268.3988916666666,71.54831916666666,12.548433735758758,Simbad,False,0.05423,NULL,D
ZTF22aadolby,32,MCG +11-22-020,270.03433,68.59208,19.36179172874081,NED,False,0.029528,NULL,PHOT
ZTF22aadhchf,33,SDSS J170601.21+434159.9,256.505042409666,43.6999798632999,2.0450607411273407,SDSSDR16,False,0.107106,0.025182,photoz
ZTF22aadgxkg,34,WISEA J163546.38+153117.1,248.943,15.52131,0.6035796634055677,NED,True,0.140471,NULL,SPEC
ZTF22aadghdv,35,SDSS J164704.23+162800.7,251.767622869725,16.466863857939,5.669404528098752,SDSSDR16,False,0.053035,0.01288,photoz
ZTF22aadggnb,36,WISEA J173156.70+170819.5,262.98621,17.13875,2.707900136448785,NED,False,0.079688,NULL,PHOT
ZTF22aadgbfu,37,SDSS J164115.35+642539.7,250.313954834991,64.4277024990165,0.9860250895782726,SDSSDR16,False,0.08503,0.019015,photoz
ZTF22aadfstk,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22aadfgqg,39,SDSS J153924.82+233122.4,234.85340655712,23.5228887713214,1.1101337744921045,SDSSDR16,False,0.168325,0.012445,photoz
ZTF22aadfgpu,40,WISEA J164909.60+271244.2,252.29006,27.21228,3.152690536986147,NED,True,0.066689,NULL,SPEC
ZTF22aadfesb,41,SDSS J163715.84+624134.8,249.315988996784,62.6930045826655,0.2787913322811073,SDSSDR16,False,0.117828,0.019539,photoz
ZTF22aadfduv,42,SDSS J153339.93+532114.9,233.416354760352,53.3541450440183,1.908425951920927,SDSSDR16,False,0.085723,0.026155,photoz
ZTF22aadezer,43,WISEA J141057.20-001210.3,212.7383,-0.20282,0.6270895455253285,NED,True,0.183,NULL,NULL
ZTF22aadeycb,44,SDSS J155926.40+005553.3,239.859993558924,0.931484765752236,3.6062151295738607,SDSSDR16,False,0.161562,0.039812,photoz
ZTF22aadexza,45,SDSS J161046.40+122135.4,242.693342276358,12.3598378636957,4.120406008149996,SDSSDR16,False,0.098141,0.029168,photoz
ZTF22aadexro,46,SDSS J154831.38+112728.5,237.130747062891,11.4579377329664,3.3159599089174803,SDSSDR16,False,0.085678,0.014609,photoz
ZTF22aadexnj,47,SDSS J160042.65+164703.4,240.177695065395,16.7842848732192,0.3385891144590516,SDSSDR16,False,0.114474,0.053422,photoz
ZTF22aadexkm,48,SDSS J161728.02+141303.5,244.366760566428,14.2176537843394,0.3000257306102738,SDSSDR16,False,0.142628,0.037111,photoz
