oid,host_id,z
ZTF20acshbzn,SDSS J230234.29+110349.0,0.191
ZTF20acsgicv,LCSB S2410P,
ZTF20acrskxf,SDSS J224716.58+162706.0,0.214
ZTF20acrlvea,WISEA J211359.39+384430.4,
ZTF20acshcnz,SDSS J231332.96+101549.8,0.138
ZTF20acrbrni,WISEA J072511.65+590929.0,
ZTF20acrerzb,KUG 0319-039,
ZTF20acrnjvz,WISEA J030433.41+320152.2,
ZTF20acrtzgt,SDSS J000050.04-192125.7,0.116
ZTF20acrrrwi,WISEA J103728.94+195148.1,0.131013
ZTF20acqwzxr,WISEA J002915.71+131003.1,0.1455
ZTF20acshkqo,SDSS J013159.94+070131.3,0.070
