oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF23aajtufz,SDSS J200907.99-112337.1,302.283285761103,-11.3936598929783,1.9219726205210999,0.5879160310051309,2.0523817051528437,SDSSDR16,False,0.21348,0.028894,photoz
ZTF23aajtudb,SDSS J205117.04-062440.2,312.820991301019,-6.41117796480724,2.15775163330917,1.0042396065383026,1.3856006321534688,SDSSDR16,False,0.122635,0.063654,photoz
ZTF23aajttjc,WISEA J202613.57-083308.2,306.55667,-8.55236,9.962342151299806,0.3685933360237883,9.593774420942392,NED,False,0.058444,NULL,PUN
ZTF23aajtsnk,SDSS J210254.74-125129.6,315.728080784124,-12.8582434303031,1.5699341056258445,0.5931692772526603,2.142252311692306,SDSSDR16,False,0.317216,0.15533,photoz
ZTF23aajtsia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aajtscd,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aajtqbh,SDSS J205931.85+022807.3,314.882725803236,2.46869639587461,1.1433988060443614,0.7426142802388017,1.8004421578855072,SDSSDR16,False,0.165284,0.026702,photoz
ZTF23aajtpey,WISEA J210942.17+122243.9,317.42595,12.37881,7.398433677633431,1.7298847236259949,6.936619407719859,NED,False,NULL,NULL,NULL
ZTF23aajsorc,SDSS J142137.51+370210.8,215.40629374999995,37.03634527777778,2.1221702599254453,0.4237473645141153,1.9437989805782219,Simbad,True,0.17269,2.9999999242136255e-05,C
ZTF23aajscgu,SDSS J143838.65+451314.6,219.661037517065,45.2207482016669,6.508127380989139,0.2574372506951656,6.705877305809864,SDSSDR16,True,0.09196274,1.26677e-05,specz
ZTF23aajrvwm,WISEA J133108.38-230926.7,202.78471,-23.15745,2.0735797147243855,0.8540967548745519,1.8116262060565531,NED,False,NULL,NULL,NULL
ZTF23aajrmfh,NGC  4568,189.14288333333332,11.238630555555554,65.04826465134656,7.509253016878498,57.56318136882338,Simbad,True,0.00744,9.999999747378752e-05,E
ZTF23aajrbef,SDSS J135542.96-044956.9,208.928994257681,-4.83249712383354,2.709159720781825,1.1186877362742704,2.1802028187135245,SDSSDR16,False,0.100961,0.021706,photoz
ZTF23aajqewm,2MASX J10030747-0420055,150.78095083333332,-4.334874722222222,7.486463787922459,0.3594920183847448,7.277128533801723,Simbad,True,0.07202,NULL,D
ZTF23aajmdar,SDSS J124822.50+013336.9,192.093742552873,1.56025344036344,1.7372330553782878,0.37171603552392546,1.7465291429787713,SDSSDR16,False,0.165858,0.044496,photoz
ZTF23aajjaau,2dFGRS TGN136Z360,199.96249999999998,-4.731944444444444,3.1806169107353433,0.12368478651372482,3.075955767017214,Simbad,False,0.1088,NULL,D
ZTF23aajimhq,LEDA 2018146,178.61726666666664,32.94235055555555,7.123192548104072,0.29353955201013526,7.366128514956788,Simbad,True,0.07305,9.999999747378752e-06,C
ZTF23aajgwmi,SDSS J093021.85+085414.0,142.591034671999,8.90389394730502,7.131662365350589,0.13068841941798096,7.114683442574964,SDSSDR16,True,0.07693049,1.339937e-05,specz
ZTF23aajfnyf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aajenvh,SDSS J134846.95+060432.6,207.195631703372,6.07574848558987,0.9204718208534873,0.45109503398176587,1.192131319765905,SDSSDR16,False,0.238427,0.125936,photoz
ZTF23aaiysqn,SDSS J140632.33+531547.0,211.634717443257,53.2630555762607,0.5025007124343425,0.12261790008714812,0.6196933937395275,SDSSDR16,True,0.1436728,2.22658e-05,specz
