oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,level_0,index,host_offset_bestguess,bestguess_offset
ZTF23aapiise,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aaphnyz,2MASS J16483604+4136024,252.15017,41.60069,1.9253579538683985,NED,False,NULL,NULL,NULL,0.0,NULL,NULL,NULL
ZTF23aapizjs,WISEA J233853.59+462152.6,354.72332,46.36463,0.0567926306662074,NED,False,NULL,NULL,NULL,1.0,0.0,0.2376877230601349,0.2364822615090081
ZTF23aapivjb,SDSS J204317.46+092827.7,310.822768104916,9.47436383559295,1.338318641312265,SDSSDR16,False,0.379491,0.106853,photoz,2.0,1.0,0.581571661316248,0.9232409420243493
ZTF23aapihmw,SDSS J174739.73+051255.4,266.915536431118,5.21541060272391,3.133176915135562,SDSSDR16,False,0.207466,0.067242,photoz,4.0,3.0,1.007843702652656,3.5499297474466607
ZTF23aaphvnc,2MASX J15005129+5250249,225.2135345833333,52.84020111111112,4.769246027943791,Simbad,True,0.07625,0.0001500000071246,C,5.0,4.0,0.3822042606584978,5.140099490886638
ZTF23aaphpnz,SDSS J134733.53+444908.5,206.8897283333333,44.81903722222223,5.113695713851585,Simbad,True,0.12499,1.9999999494757503e-05,C,6.0,5.0,0.9412697271739628,4.1768567807022405
ZTF23aapbrrq,SDSS J142555.98+343125.5,216.483265399145,34.5237584412304,6.03294295375347,SDSSDR16,False,0.058783,0.037371,photoz,7.0,7.0,1.0148859638741587,7.008386513540936
ZTF23aaoxqxb,SDSS J174328.77+244315.9,265.869876701786,24.7210859318341,3.380029051935276,SDSSDR16,False,0.368749,0.089378,photoz,8.0,8.0,2.3771191017367017,1.1147160533359728
ZTF23aaodxuj,SDSS J160247.48+432147.6,240.697822417869,43.3632478611818,0.2074888775838693,SDSSDR16,False,0.07728,0.019467,photoz,9.0,9.0,0.0250254547024771,0.1825084882802184
