oid,host_id,z
ZTF20aamuqwn,NGC 1613,0.015007
ZTF20aanbljg,WISEA J044249.89+012227.3,
ZTF20aanavhu,WISEA J041128.39+294259.3,
ZTF20aanbhbe,WISEA J033406.37+200805.2,
ZTF20aanfxxr,SDSS J095345.97+321302.8,0.153
ZTF20aamqmhj,SDSS J110054.35+574632.7,0.048
ZTF20aandhcn,WISEA J111641.26+680921.4,
ZTF20aandnyk,SDSS J092736.62+303035.2,0.169
ZTF20aanfdez,WISEA J084608.96+275243.2,0.084493
ZTF20aanhenj,WISEA J130601.95+594651.4,0.194432
ZTF20aanhmnw,WISEA J104500.14+430849.7,0.104526
ZTF20aankjae,WISEA J152331.31+303742.0,0.111534
ZTF20aanlauv,WISEA J183607.46+682931.8,
ZTF20aamzizz,SDSS J135122.00+305513.1,0.168
