oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21abhuepa,SDSS J223709.74+141718.0,339.29059,14.28836,0.39622657358145447,NED,NULL,NULL,NULL,NULL
ZTF21abhtvxz,SDSS J182853.03+632439.2,277.220948342563,63.410890667646896,1.9708488146073637,SDSSDR16,False,0.067664,0.012154,photoz
ZTF21abhttwp,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abhttll,WISEA J220705.37+121852.7,331.77237,12.31461,5.168825713452933,NED,True,0.079194,NULL,
ZTF21abhtqdw,WISEA J190243.64+421348.6,285.68184,42.23018,1.9210067395354031,NED,NULL,NULL,NULL,NULL
ZTF21abhtjly,WISEA J234958.60+723432.7,357.49437,72.57569,0.3827571391860183,NED,NULL,NULL,NULL,NULL
ZTF21abhtirt,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abhthvj,LEDA  978545,323.05125,-10.410555555555556,0.9133718518941777,Simbad,NULL,NULL,NULL,NULL
ZTF21abhthlm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abhtaiv,SDSS J174158.31+470616.4,265.492944756092,47.1045562062388,0.24097268348230053,SDSSDR16,False,0.10709400000000001,0.031494,photoz
ZTF21abhspta,WISEA J181433.65+490037.5,273.64021,49.01044,5.273495141639889,NED,NULL,NULL,NULL,NULL
ZTF21abhshft,SDSS J111542.28+553901.8,168.926172701283,55.6505250623052,0.49431580313745166,SDSSDR16,False,0.141013,0.036118,photoz
ZTF21abhrqfc,LBQS 2357+0121,359.93393,1.63875,0.7432070853613411,NED,True,0.09,NULL,
ZTF21abhrmrv,SDSS J232345.41+254858.4,350.939213348579,25.8162466703236,2.1188517383933516,SDSSDR16,False,0.088836,0.033623,photoz
ZTF21abhrepm,2MASS J21355193+4734247,323.96638,47.57353,7.469216061969202,NED,NULL,NULL,NULL,NULL
ZTF21abhrchb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abhqkam,SDSS J115808.92+562538.8,179.53717920531398,56.4274446457735,0.1044933984843147,SDSSDR16,False,0.08608099999999999,0.027469999999999998,photoz
ZTF21abhqhqb,SDSS J130748.01+420548.7,196.9501,42.09689,0.8293547506578152,NED,True,0.051738,NULL,
ZTF21abhpdgd,WISEA J020304.95+251344.5,30.77062,25.22903,1.435878771885482,NED,True,0.174113,NULL,SPEC
ZTF21abhowep,SDSS J020854.19+262050.5,32.2257770455359,26.347365268769003,0.43164697401097846,SDSSDR16,False,0.136996,0.009906,photoz
ZTF21abhkeak,LEDA 2126041,0.04249999999999999,38.403888888888886,5.874296986835478,Simbad,NULL,NULL,NULL,NULL
ZTF21abhhari,SDSS J223931.93+323840.1,339.883040822091,32.6444975236794,1.0464533462341872,SDSSDR16,False,0.102628,0.033239,photoz
ZTF21abgzaqm,WISEA J203111.40-120818.0,307.7977,-12.13858,0.49497996998395827,NED,NULL,NULL,NULL,NULL
ZTF21abgtlir,2MASX J23221099+1715526,350.54582208333335,17.264666666666667,0.2861836558895088,Simbad,False,0.044,NULL,D
ZTF21abgkgkk,SDSS J235414.41+113708.8,358.56004839109704,11.619112350908802,2.0524675300954245,SDSSDR16,False,0.056742999999999995,0.022072,photoz
ZTF21abgecmw,GALEXASC J000957.31+383047.6,2.48882,38.51323,0.30642278323638183,NED,NULL,NULL,NULL,NULL
ZTF21abgeclk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21abfxibf,SDSS J234131.75+140727.0,355.382277960966,14.1241802031921,0.14662463263288275,SDSSDR16,True,0.0630438,1.9839620000000004e-05,specz
ZTF21abfxhtv,SDSS J235119.84+102523.0,357.83265346480204,10.4230776814204,2.0208649626105455,SDSSDR16,False,0.077943,0.029835000000000004,photoz
ZTF21abfxhrn,SDSS J233253.65+132130.6,353.22353188806096,13.3585091969419,1.653009369071699,SDSSDR16,False,0.042754,0.012962000000000001,photoz
ZTF18abfdcot,WISEA J185155.88+572157.9,282.98278,57.36611,0.532447714467568,NED,NULL,NULL,NULL,NULL
ZTF18aaigwtf,SDSS J123035.91+371102.3,187.649607291424,37.1839890592992,0.30901572155874557,SDSSDR16,True,0.1175491,2.5774650000000002e-05,specz
