oid,host_id,z
ZTF20abkjozu,SDSS J003132.04+230018.3,0.102
ZTF20abegirf,SDSS J014157.21+182322.8,0.052
ZTF20abkiarz,NGC 7512,0.023536
ZTF20abkiaku,UGC 12574 NOTES01,0.039727
ZTF20abkhtev,ESO 531- G 026,0.017587
ZTF20abkhtbc,ESO 531- G 023,0.030835
ZTF20abkdwzw,WISEA J120337.98+282829.8,0.136727
ZTF20abkembv,SDSS J152939.90+360302.7,0.246
ZTF20abkdsog,LCRS B145248.6-052727,
ZTF20abkdrvk,2MASX J14071109-0312359,0.054911
ZTF18aatokvl,2MASS J16354427+2729127,0.049885
ZTF20abkfkxu,WISEA J182651.87+100916.4,
ZTF20abkdyaq,SDSS J134711.96+050005.6,0.118
ZTF20abkdtvy,SDSS J143926.03+130108.2,0.028872
ZTF20abkdtkk,WISEA J151716.27+193941.0,
ZTF20abkhhoe,WISEA J205838.74-210911.6,
ZTF20abkekcj,SDSS J151758.22+111323.4,0.096
ZTF20abkjniz,SDSS J220124.98+272905.9,0.183
