oid,level_0,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aamgflj,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aamgccv,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aamgeom,2,SDSS J012426.81+334758.1,21.1116930336303,33.7994878434824,13.232643960912862,SDSSDR16,False,0.014474,0.00662,photoz,1.0,0.3125242744736415,13.49457804290956
ZTF23aamgcga,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.0,NULL,NULL
ZTF23aamfdau,4,WISEA J192517.68-264316.8,291.32367,-26.7213,0.4512603799158352,NED,False,NULL,NULL,NULL,4.0,0.2712980436377816,0.3923763321589972
ZTF23aamfbkr,5,WISEA J194223.44-275029.9,295.597,-27.84189,3.203863112632811,NED,False,0.115567,NULL,PUN,5.0,1.1812356128124188,2.999595001754015
ZTF23aameyce,6,WISEA J210934.35+200925.2,317.39314,20.15702,0.507805827967229,NED,False,NULL,NULL,NULL,6.0,0.7687007645540856,0.268659933475055
ZTF23aamexxm,7,WISEA J212019.30-141525.2,320.08046,-14.25728,3.4312680623849103,NED,False,NULL,NULL,NULL,7.0,1.3035026315094105,3.049102751117567
ZTF23aamehed,8,WISEA J193009.09+595312.1,292.53789,59.8867,1.0569873614955945,NED,False,NULL,NULL,NULL,8.0,0.8141762832853479,0.7287910555192852
ZTF23aamedan,9,WISEA J170116.39-020150.9,255.31829,-2.03082,2.395507014651979,NED,False,NULL,NULL,NULL,9.0,0.7289525663941813,2.52160073161907
ZTF23aamdvko,10,2MASX J14051320+1937569,211.305095,19.632666944444445,2.0887969115055367,Simbad,True,0.12717,9.999999747378752e-06,C,10.0,0.2153634851223824,2.283366590370872
ZTF23aamdoac,11,SDSS J164337.91+105453.0,250.90797388045,10.9147467702254,2.331121753335078,SDSSDR16,False,0.109074,0.040065,photoz,11.0,0.6882366298515155,1.688510988512173
ZTF23aamdnfp,12,SDSS J144158.51+190536.9,220.493790742964,19.0935919919941,1.6901022869207896,SDSSDR16,False,0.128893,0.039854,photoz,12.0,0.3538539979825243,2.008550398205053
ZTF23aamdndf,13,SDSS J150449.21+154257.3,226.205058362476,15.7159153720771,0.5211777970415601,SDSSDR16,False,0.169427,0.062661,photoz,13.0,1.4301267643477742,1.2134742366775848
ZTF23aalrwqn,14,WISEA J160213.66+640924.0,240.55695,64.15668,0.533194270987265,NED,False,NULL,NULL,NULL,14.0,0.8086300979096412,1.24645092272763
