oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aaixgvn,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aaixaqp,SDSS J153435.99+303520.1,233.649979075116,30.5889275160724,2.2093356387589016,SDSSDR16,False,0.395892,0.09572,photoz,NULL,NULL,NULL
ZTF23aaiwznb,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aajgnbg,SDSS J001717.99+265803.0,4.32495772355134,26.9675114254468,1.5735303373393428,SDSSDR16,False,0.515035,0.037786,photoz,0.0,0.5042760681799264,1.09552741312562
ZTF23aajglry,WISEA J001324.61+555322.7,3.35275,55.88969,1.871077273031524,NED,False,NULL,NULL,NULL,1.0,1.1611045212556088,1.3578808866781245
ZTF23aajgezm,WISEA J160929.58+804829.1,242.37328,80.80809,2.8267325329663224,NED,False,NULL,NULL,NULL,2.0,2.621280099111984,1.6791895790863174
ZTF23aajgcpv,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.0,NULL,NULL
ZTF23aajfqtn,SDSS J134304.09+194807.3,205.767056640143,19.8020396851378,1.5617500307949177,SDSSDR16,False,0.358665,0.157853,photoz,4.0,0.145869852656608,1.626502994158673
ZTF23aajfqog,SDSS J132616.09+255643.7,201.567047410336,25.9454907845289,0.224055100824882,SDSSDR16,True,0.103565,2.085997e-05,specz,5.0,0.2586755488304257,0.0372189827594862
ZTF23aajfqhx,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.0,NULL,NULL
ZTF23aajfikh,SDSS J174718.29+410632.9,266.826224211756,41.1091511452694,3.030146774312373,SDSSDR16,False,NULL,NULL,photoz,7.0,0.1822617198200288,3.160616750629894
ZTF23aajfere,SDSS J155533.77+064808.5,238.890698852006,6.80237711156209,4.824636177221719,SDSSDR16,False,0.041047,0.018805,photoz,8.0,0.5274461485776377,4.331672000049721
ZTF23aajfedw,SDSS J151644.85+334150.7,229.186863602651,33.6974366968458,3.631432219376967,SDSSDR16,False,0.265173,0.032412,photoz,9.0,0.2925747600688144,3.483744611437459
ZTF23aajfdxf,WISEA J121307.76+790143.6,183.28294,79.02893,4.912113515255638,NED,False,NULL,NULL,NULL,10.0,1.202133472346463,4.124132513009203
ZTF23aajfbyy,SDSS J162549.22+623550.7,246.455094200004,62.597429953339,3.870647214317113,SDSSDR16,False,0.10729,0.006751,photoz,11.0,0.4026503058859786,3.9726569722184673
ZTF23aajfbso,WISEA J180225.67+160627.8,270.60708,16.10766,2.367733049584114,NED,False,NULL,NULL,NULL,12.0,1.012514639644423,2.9289154344906927
ZTF23aajevts,SDSS J144056.13-025609.3,220.233874697989,-2.93591669919676,1.7487404418996706,SDSSDR16,False,0.106531,0.031077,photoz,13.0,0.397595627887347,1.6635194352600329
ZTF23aajevsk,SDSS J142708.04+510605.1,216.783501051812,51.1014154199805,0.0968165242749566,SDSSDR16,False,0.150515,0.032639,photoz,14.0,0.1076449022331248,0.0929736714225019
ZTF23aajeunk,WISEA J141331.89+222955.5,213.3823,22.4984,3.4233951383283947,NED,False,NULL,NULL,NULL,15.0,0.7092907753383875,2.764135399387472
ZTF23aajenaj,SDSS J124852.88+334757.0,192.220347010398,33.7991793482077,2.189106462025869,SDSSDR16,False,0.170434,0.0479,photoz,16.0,0.1778837702409229,2.062892355419903
ZTF23aajduvy,SDSS J111422.99+531206.9,168.595798049991,53.2019427426453,9.447319480058503,SDSSDR16,True,0.03806702,6.181304e-06,specz,17.0,1.5518904174122106,10.988908300811884
ZTF23aajduqu,WISEA J134953.78+692732.7,207.47279,69.45971,3.086716591955084,NED,False,NULL,NULL,NULL,18.0,2.211768186104486,2.107725441429926
ZTF23aajduoq,SDSS J124437.45+674101.5,191.156050363568,67.6837704618403,0.5342435475235979,SDSSDR16,False,0.111191,0.03282,photoz,19.0,0.2420529629065981,0.7675448483922807
ZTF23aajduji,WISEA J142452.12+804243.3,216.21497,80.71151,3.7421626848695375,NED,False,NULL,NULL,NULL,20.0,2.237767080663444,1.6328898527699196
ZTF23aajduhm,LEDA 2686356,217.39374999999995,66.35888888888888,17.070327627647185,Simbad,False,--,NULL,NULL,21.0,2.7012513274864274,18.08294936483161
ZTF23aajdtyv,SDSS J131352.05+484448.4,198.466858136415,48.7467798819345,1.740926556053715,SDSSDR16,True,0.1312697,2.602022e-05,specz,22.0,0.2428132614831812,1.9247845972264208
ZTF23aajdttj,SDSS J123046.15+424832.1,187.692307493477,42.808918808141,5.486689661135869,SDSSDR16,True,0.0744628,8.755712e-06,specz,23.0,4.461195866753153,2.2896480851135697
ZTF23aajdlir,SDSS J141119.25+295058.3,212.830194498343,29.8495365949886,0.8816370353834877,SDSSDR16,False,0.56795,0.095007,photoz,24.0,1.1835537827687792,1.0545445385853156
ZTF23aajbdhj,LEDA  980862,221.2825,-10.223055555555556,5.282672663402646,Simbad,False,--,NULL,NULL,25.0,0.4982851521688889,5.714221135613251
ZTF23aajaraz,SDSS J155034.15+270940.8,237.642283722155,27.1613427121054,3.959929406847362,SDSSDR16,False,0.104482,0.042154,photoz,26.0,0.2637248402442793,4.199428782762978
ZTF23aaizilo,2MASX J13353998-2512028,203.91639583333333,-25.200787777777776,6.265020188392911,Simbad,True,0.034464,9.67337353898703e-05,D,27.0,0.4299786556821412,5.837307217583686
ZTF23aaiywyz,SDSS J150454.54+335401.4,226.227241371864,33.9004000679531,8.851854983430593,SDSSDR16,False,0.051841,0.020641,photoz,28.0,1.0983787592331415,9.88098621771866
