oid,host_id,z
ZTF20actoaoc,SDSS J124554.65+192537.1,0.105
ZTF20actoanj,WISEA J125050.17+182054.0,0.108518
ZTF20acpzmob,SDSS J125154.01+183421.4,0.088
ZTF20actoajm,WISEA J124218.86+135505.5,0.097053
ZTF20actoaia,WISEA J125318.72+040741.1,0.07749
ZTF20actoakx,WISEA J123409.70-061850.4,
ZTF20actoadr,LCRS B115753.1-060907,
ZTF20actnuqv,SDSS J101426.11+495459.0,0.153
ZTF20actnuls,KUG 1035+394,0.030371
ZTF20actnran,WISEA J084828.92-254225.7,
ZTF20actmxkv,WISEA J070829.65+175338.0,
ZTF20actgial,WISEA J072650.27+665416.2,0.092347
ZTF20actiqaf,WISEA J070736.72+574235.4,
ZTF20actmikz,WISEA J042409.16+025652.6,
ZTF20acrxuzp,SDSS J042655.68-040844.3,0.106
ZTF20actezmo,WISEA J044042.28-164537.8,
ZTF18aaqlahr,SDSS J134029.56+384716.8,0.060
ZTF20acpbdvm,LCRS B113647.4-114915,0.073941
ZTF20acpbdvj,WISEA J121605.64+014250.9,0.0823
ZTF20actkuse,WISEA J123035.39+072618.0,0.095132
ZTF20actkulc,WISEA J120912.92+021521.7,0.075748
ZTF20actkusm,WISEA J123038.46+023449.2,0.102474
ZTF20actoank,WISEA J121626.25+203343.2,0.076203
ZTF18aaviaya,SDSS J121855.15+283117.8,0.100043
ZTF20actkuke,KUG 1216+241,0.071268
ZTF20actktct,SDSS J104035.46+125924.7,0.123
ZTF20actkqvr,WISEA J090400.62-082938.4,
ZTF20actlfwu,SDSS J094731.99+122346.4,0.177
ZTF20actkmks,CGCG 064-083,0.028146
ZTF20actobzn,WISEA J115830.90+725732.1,
ZTF20actnrnn,WISEA J094053.96-003252.8,0.129681
ZTF20acsfhcu,WISEA J140830.73+730855.9,
ZTF20acsfegc,WISEA J132203.30+732910.3,
ZTF20acsfdnn,SDSS J112302.35+340907.5,0.112
ZTF20acouofb,LCRS B120214.3-051913,0.026932
ZTF20acsfawd,SDSS J110818.81-152103.9,0.154
ZTF20actobug,SDSS J120749.96+550615.4,0.193
ZTF20actlsch,SDSS J215151.23+090110.4,0.061
ZTF20actmtvt,WISEA J053617.66+641442.3,
ZTF20actlvpy,WISEA J215512.32-111924.7,
