oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF23abazadb,WISEA J231440.28+490744.3,348.6685,49.12844,3.1114656941106875,0.9721039731736176,2.178911746550968,NED,False,0.079809,NULL,PUN
ZTF23abayagw,WISEA J184214.38+805259.8,280.56023,80.88328,4.948056596455216,0.6918362089069505,4.29896065208266,NED,False,NULL,NULL,NULL
ZTF23abaxynh,SDSS J021254.07-044647.5,33.2252905983224,-4.77987780813801,1.4413715484968541,0.23283953495386084,1.5306822514865193,SDSSDR16,False,0.126243,0.007496,photoz
ZTF23abaxtlq,NGC  1086,41.984805833333326,41.24639861111111,5.748828493110452,0.5617715231976081,6.212546943500404,Simbad,True,0.013459,0.0002229999954579398,D
ZTF23abaxkvy,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23abawwbv,SDSS J075842.12+151110.3,119.675503629649,15.1861995921845,0.07853194881878123,0.12835040393848515,0.20012983894749511,SDSSDR16,True,0.08669117,2.243102e-05,specz
ZTF23abawrzb,SDSS J074417.13+362826.1,116.071367529786,36.4739355080551,0.37254212128810765,0.34330418727110673,0.11940821102268678,SDSSDR16,False,0.140628,0.034684,photoz
ZTF23abavewn,SDSS J211936.26+021603.5,319.901099343557,2.26765553682124,0.32169763198695683,0.29914103373404516,0.6204149005673673,SDSSDR16,False,0.092733,0.023125,photoz
ZTF23abauoea,SDSS J220110.16+262140.0,330.292317880232,26.3611112005916,0.17453617531123314,0.36906416448095164,0.19510579513665655,SDSSDR16,False,0.167588,0.062513,photoz
ZTF23abauocu,SDSS J215634.55+281053.8,329.143950791495,28.1816179869481,0.43827723142333,0.5005487076654053,0.07366220375549584,SDSSDR16,False,0.214945,0.043516,photoz
