oid,host_id,z
ZTF20actrbzd,WISEA J091023.21-270614.3,
ZTF20actrbkm,WISEA J092129.68-215925.2,
ZTF20actrcuf,WISEA J091733.50-223820.8,
ZTF20actqvmx,SDSS J135743.78+581751.2,0.514
ZTF20actqvaj,WISEA J141847.82+555543.1,0.076663
ZTF20abrjnut,SDSS J142410.56+535234.8,0.459
ZTF20actquxk,WISEA J141300.59+465011.3,0.06941
ZTF20acqvwzm,NGC 5394,0.011501
ZTF20actquyv,SDSS J130603.94+295515.4,0.076607
ZTF20actqtvc,SDSS J114538.62+000207.3,0.122
ZTF20acryhzw,WISEA J013933.81+344726.0,
ZTF20actpebt,WISEA J014511.23+330356.5,0.124948
ZTF20acrwcjz,WISEA J223249.63-011114.4,0.079803
ZTF20actpatx,SDSS J230226.47+011823.3,0.058
ZTF20actoswy,WISEA J203204.75-115419.9,
ZTF20acrvrel,WISEA J210331.37+151056.7,
ZTF20actqtfk,MCG -01-30-038,0.025704
ZTF20acrwxgr,SDSS J013800.63+055714.0,0.096
ZTF20actobtq,SDSS J120406.68+511907.5,0.135
ZTF20actqskj,WISEA J073301.14+085754.9,
ZTF20acrxavu,SDSS J235924.95+223434.4,0.254
ZTF20acrdadi,SDSS J224405.78-033807.3,0.074
