oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF23aadvjqb,NGC 2613,128.34517,-22.97367,83.20992256726383,NED,True,0.005591,NULL,,NULL,NULL,NULL
ZTF23aadxxrd,WISEA J113328.85-105410.8,173.37033,-10.90333,1.5409740912129437,NED,False,0.050708,NULL,PHOT,0.0,0.7260713484340586,2.10504557542719
ZTF23aadxrid,SDSS J105415.05+275255.2,163.562704669263,27.8820039223667,1.4440845202888029,SDSSDR16,True,0.06413823,7.336973e-06,specz,1.0,0.303039568919092,1.744402938531621
ZTF23aadxqww,SDSS J111135.80+164518.8,167.89919166666664,16.755247222222224,2.796998484526661,Simbad,True,0.08856,9.999999747378752e-06,C,2.0,0.3563278656272997,3.0309615096152185
ZTF23aadxqja,SDSS J104334.24+003944.7,160.892657905826,0.662427079367377,0.1341632127106896,SDSSDR16,False,0.273818,0.075305,photoz,3.0,0.2945386316763768,0.2506122565347974
ZTF23aadxqfw,WISEA J105815.71-161531.1,164.56546,-16.25867,6.231598687761093,NED,False,0.076278,NULL,PHOT,4.0,0.2364492389588504,6.362126947097485
ZTF23aadxgmk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.0,NULL,NULL
ZTF23aadxevy,WISEA J104411.17-113510.4,161.04655,-11.58624,0.7331807946896611,NED,False,NULL,NULL,NULL,6.0,0.562651349893764,0.1732200621052911
ZTF23aadxdwv,WISEA J091134.47-062111.1,137.89396,-6.35319,0.93575508676976,NED,False,NULL,NULL,NULL,7.0,1.4654312347023728,2.376456309223688
ZTF23aadwlhl,IC 2486,142.57236583333332,26.64125444444445,19.18611122766996,Simbad,True,0.0457,9.999999747378752e-06,C,8.0,0.7553333681434303,19.30007312081692
ZTF23aadwlbu,2dFGRS TGN155Z235,152.009,-3.653361111111111,0.698398661364472,Simbad,True,0.1297,3.300000025774352e-05,D,9.0,0.707599882370222,1.1481829069271068
ZTF23aadwjtg,CGCG 036-024,150.74606,2.34306,6.092350479441142,NED,True,0.044167,NULL,NULL,10.0,0.2652399431049682,5.982553981283832
ZTF23aadwiyy,SDSS J104603.02+182820.1,161.512603401364,18.472253542266,0.6332120139577824,SDSSDR16,False,0.110285,0.084477,photoz,11.0,0.4592352409246436,0.3601188552280736
ZTF23aadwitm,SDSS J102125.67+243034.3,155.356970394759,24.5095505462433,2.9185886494875244,SDSSDR16,False,0.093413,0.032575,photoz,12.0,0.1153024511486192,2.949238705059941
ZTF23aadwigb,SDSS J102648.64+314622.9,156.702685123522,31.7730327724037,0.0770514424413364,SDSSDR16,False,0.079042,0.025937,photoz,13.0,0.1163498906407336,0.179342190326195
ZTF23aadwiaf,SDSS J101429.43+293853.7,153.622644709524,29.6482669175729,1.4373783930592203,SDSSDR16,False,0.08965,0.024282,photoz,14.0,0.6049222508577143,1.6483183466043203
ZTF23aadwfyu,SDSS J113213.87+045416.0,173.057797806893,4.90445664320277,1.7420610218035295,SDSSDR16,True,0.1273105,2.167648e-05,specz,15.0,0.402121067848504,1.5171644824424018
ZTF23aadwfqy,SDSS J103337.15+132331.8,158.404774119829,13.3921883519018,2.7009115315940093,SDSSDR16,True,0.06877941,7.133328e-06,specz,16.0,0.106421694319368,2.63726585999139
ZTF23aadwfad,WISEA J104212.81-171623.3,160.5536,-17.27333,0.7018079783637559,NED,False,NULL,NULL,NULL,17.0,1.3487042775107634,1.4835782235640729
ZTF23aadwdve,SDSS J080734.60+450307.4,121.894149004587,45.0520701106176,6.286090076733414,SDSSDR16,True,0.1380119,2.489903e-05,specz,18.0,0.8965709453586643,7.044150940908996
ZTF23aadwaiz,WISEA J092852.03-125348.8,142.21658,-12.89703,7.103833795912241,NED,True,0.04147,NULL,NULL,19.0,1.3524056564018814,8.034790483691022
ZTF23aadvztd,SDSS J090223.48+553204.5,135.59782318278,55.5345862002899,3.87863427703042,SDSSDR16,True,0.06582069,8.252645e-06,specz,20.0,0.5750922611311319,3.9867820146427344
ZTF23aadvulr,SDSS J073843.44+483418.6,114.68100393864,48.5718550562678,11.121399162549446,SDSSDR16,False,0.098481,0.026712,photoz,21.0,0.5345527616073212,11.611818531196286
ZTF23aadvoyh,SDSS J081501.41+053618.3,123.755894168529,5.60509302511556,9.768913720376,SDSSDR16,True,0.05264418,1.691683e-05,specz,22.0,1.9552225174192737,11.557331553878544
ZTF23aadsmjo,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24.0,NULL,NULL
ZTF18aaczmob,WISEA J070204.60+490334.4,105.51925,49.05956,1.2217794845184091,NED,False,0.076591,NULL,PHOT,25.0,0.3451584939714505,1.5541482002750078
