oid,host_id,z
ZTF20acusylb,2MASX J14005146-0011141,0.081828
ZTF20acusthu,SDSS J115446.30+431718.7,0.128
ZTF20acuspji,WISEA J095610.18-092350.6,0.055879
ZTF20acustua,SDSS J142859.86+324252.5,0.129
ZTF20acusqsp,WISEA J093022.57-212710.6,
ZTF20acusecr,WISEA J120506.37+563331.2,0.030884
ZTF20acurome,WISEA J085634.90+481626.8,0.119229
ZTF20acurrzb,SDSS J082459.57-045238.0,0.126
ZTF18aagazmu,WISEA J075913.82+294737.4,0.087239
ZTF18aafzzck,SDSS J082734.21+320910.1,0.074
ZTF20acusjxt,WISEA J093733.57+370637.3,0.091901
ZTF20acumrio,2MFGC 05652,
ZTF20acurfrx,WISEA J055033.47-162557.7,
ZTF20acupibp,PKS 2322-12,0.082991
ZTF20acukwll,WISEA J145957.83+204431.6,0.072523
ZTF20acupdsm,WISEA J130303.31-011614.0,0.117334
ZTF20acugxbm,SDSS J093955.39+160532.0,0.026218
ZTF20acunxkg,SDSS J093055.50+613934.5,0.136
ZTF20acqnthg,WISEA J125925.78-021454.7,0.04747
ZTF20acudrou,SDSS J092731.74+581515.0,0.116
ZTF20acusjxc,SDSS J091627.65+372619.6,0.100
ZTF20acusagr,WISEA J093145.89-121259.0,
ZTF20acumxrh,WISEA J050609.13-111414.6,
