oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index,host_offset_bestguess,bestguess_offset
ZTF22abtzexb,2MASX J05481564+2220390,87.06521,22.34414,1.530354109602479,NED,False,0.052067,NULL,PHOT,NULL,NULL,NULL
ZTF22abtvjsl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF22abuaswn,SDSS J131336.38+021530.8,198.40158148056,2.25856068144721,1.808169407290698,SDSSDR16,False,0.105167,0.039102,photoz,0.0,0.4477901211175552,2.2480810171157457
ZTF22abtzysp,WISEA J101842.36-015355.8,154.67621,-1.89889,2.242408373495916,NED,True,0.0925,NULL,NULL,1.0,0.3497066919878847,2.26603568592076
ZTF22abtzypx,LEDA  113341,155.018625,-12.071583333333333,6.959057713593699,Simbad,True,0.064761,0.0002699999895412,D,2.0,1.364480522945135,8.267009975524411
ZTF22abtzxaz,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.0,NULL,NULL
ZTF22abtzkoz,2MASX J08113849-0219485,122.91032916666668,-2.3300755555555552,6.535573602535783,Simbad,True,0.05182,NULL,D,4.0,0.2665886329315657,6.269491377757307
ZTF22abtybkh,WISEA J070815.11+210422.3,107.063,21.07286,6.209843727590426,NED,False,NULL,NULL,NULL,6.0,0.1323996161073779,6.230415115232663
ZTF22abtwllh,WISEA J001114.56+483109.9,2.81068,48.51943,0.3290509428181176,NED,False,NULL,NULL,NULL,7.0,0.3057164916182899,0.5144666535077558
ZTF22abtvexk,SDSS J002548.69+015039.5,6.45286379766651,1.8443310124948,3.4540889970614668,SDSSDR16,False,0.086624,0.027978,photoz,9.0,0.7218956118789162,4.139356288206483
ZTF22abtuulw,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.0,NULL,NULL
ZTF22abtusoj,SDSS J222644.25+013916.1,336.684357666873,1.65447173728091,1.3690868788957402,SDSSDR16,False,0.41359,0.170506,photoz,11.0,0.5935157111177493,0.7948112994430077
ZTF22abttzvv,WISEA J183216.99+321958.9,278.0708,32.33305,2.124501835725115,NED,False,NULL,NULL,NULL,12.0,0.7848893080290308,2.3041073475083333
ZTF22abttupc,SDSS J213925.17+004916.5,324.85487795481,0.821262589938316,1.266221656775811,SDSSDR16,False,0.277661,0.112263,photoz,13.0,0.2997361319082466,1.5442019010635988
ZTF22abtthsq,2MASX J10244108-1842161,156.171175,-18.704472222222225,3.985908549777234,Simbad,True,0.04843,0.0003399999986868,D,14.0,0.4577979341812224,4.430755568498695
ZTF22abtppew,SDSS J221516.71+243544.8,333.819635887109,24.5957854853822,1.4189136695438602,SDSSDR16,False,NULL,NULL,photoz,15.0,1.0766403281375003,2.21767175513224
ZTF22abtosav,SDSS J115051.12+334755.0,177.713006724058,33.7986273072962,5.152961182437909,SDSSDR16,False,0.150424,0.038584,photoz,16.0,2.7043506225975475,3.881314015517467
ZTF22abtonpn,GALEXASC J121201.50+781624.8,183.00629,78.27358,1.9391330624736245,NED,False,NULL,NULL,NULL,17.0,1.6971694417288143,0.6649000444068456
ZTF22abtnhor,SDSS J011817.54+042416.8,19.5730784307575,4.40467685155519,0.0995776397783436,SDSSDR16,False,0.148204,0.062791,photoz,18.0,0.1813425969260458,0.1954219445656153
ZTF22abtdrqn,WISEA J215424.63+360912.6,328.60263,36.15352,2.7202655691531965,NED,False,NULL,NULL,NULL,19.0,0.1063564097673484,2.728515481580277
ZTF22abtdafo,SDSS J115348.39+580712.3,178.451622844769,58.1201009386748,0.9860840967901812,SDSSDR16,False,0.123175,0.03801,photoz,20.0,0.4292429498806528,0.5831806523015999
ZTF22abszkdm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21.0,NULL,NULL
