oid,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24abuhmgy,0,2dFGRS TGN144Z156,212.6308333333333,-4.08,1.7157099060814898,6.5971620932666575,7.275010921917732,Simbad,False,0.0291,NULL,D
ZTF24abuhlwq,1,LEDA   46613,200.28437624999995,-13.651952777777778,1.90153814210318,0.7529072977323488,2.634571601327341,Simbad,True,0.021808,0.0016680000117048,D
ZTF24abuhlra,2,WISEA J131038.54-175755.9,197.6606,-17.96554,4.310362415311435,0.8068813073387676,4.817082940687256,NED,False,NULL,NULL,NULL
ZTF24abuhlps,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24abuhkxc,4,SDSS J133457.22+021305.5,203.738403886489,2.21819997281479,0.435303660383289,0.3483512730747415,0.0937714373931751,SDSSDR16,False,0.133881,0.048102,photoz
ZTF24abuhgle,5,SDSS J101458.51+092128.3,153.743801886702,9.35786601555509,1.861763492995962,0.3257338112379411,2.133543151725033,SDSSDR16,True,0.1020889,1.013194e-05,specz
ZTF24abuhfmt,6,WISEA J095909.22-063022.5,149.78843,-6.50628,0.577833899469063,0.1268028180677132,0.6994839791124523,NED,False,NULL,NULL,NULL
ZTF24abuhbcr,7,SDSSCGA 1741.2,168.14504166666663,55.52761666666667,1.8663057682636168,0.2095051780782625,1.8815144499308007,Simbad,True,0.13805,7.000000186963007e-05,C
ZTF24abuhaup,8,SDSS J134614.10+570031.5,206.558754499626,57.0087600815992,4.620791923416352,0.1412140001075198,4.657117567030284,SDSSDR16,True,0.1272394,3.030272e-05,specz
ZTF24abugzpf,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24abugxai,10,SDSS J094228.39+051253.6,145.618308060202,5.21490805982694,0.3629455835716595,0.1462359991993937,0.2549178533773319,SDSSDR16,False,0.205151,0.031487,photoz
ZTF24abugvux,11,SDSS J104219.44+061204.3,160.581013252688,6.20121011663186,13.051786865840674,2.7892877841605435,10.307284911238789,SDSSDR16,True,0.02753995,1.360421e-05,specz
ZTF24abugsqh,12,SDSS J083746.85+454348.0,129.445217777948,45.729999964301,0.1687195936876314,0.845121205269408,0.6764691824016263,SDSSDR16,False,0.191684,0.063354,photoz
ZTF24abugkym,13,GALEXASC J130332.22+864418.9,195.88427,86.73861,3.4680149625547707,2.1437374990758222,2.781265129982601,NED,False,NULL,NULL,NULL
ZTF24abuezgh,14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24abuetzf,15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24abubojg,16,SDSS J212442.83-122459.9,321.178463646071,-12.4166514449859,1.1655581323583917,0.0751453698533968,1.2301792266059175,SDSSDR16,False,0.0929,0.022134,photoz
ZTF24abubgdg,17,SDSS J182428.13+641641.6,276.11721666666665,64.27823333333333,4.746347723584076,0.3625018796006888,4.904942077814654,Simbad,True,0.09742,0.0001199999969685,C
ZTF24abtzsno,18,2MASX J08120538+5405498,123.02257541666664,54.09730305555556,4.497560608721666,0.985688057677329,4.692565379860978,Simbad,True,0.08148,1.9999999494757503e-05,C
ZTF24abttris,19,SDSS J102458.96+483258.0,156.245671569065,48.5494554303331,1.098131260425787,0.3420375256111592,0.8683716582651202,SDSSDR16,False,0.184945,0.032193,photoz
ZTF24abtqpdt,20,SDSS J020259.90-064720.4,30.7496011770054,-6.789021266622,1.191186809111379,0.3446631688546451,0.962319448297904,SDSSDR16,False,0.176398,0.036712,photoz
ZTF24abtoaue,21,SDSS J080942.49+383216.4,122.427052791431,38.5378939066601,4.273271809464106,0.3536974731129481,4.2888331499362105,SDSSDR16,False,0.06047,0.032984,photoz
ZTF24abszmtu,22,5MUSES 123,162.524825,56.250035833333335,7.253512419996007,0.3286731265246748,7.382558708697869,Simbad,True,0.11849,0.0001199999969685,C
