oid,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF25abxhgoi,WISEA J005920.03-232411.0,14.83411,-23.40324,4.4960097966043175,0.31529435311975007,4.800373796710711,NED,False,NULL,NULL,NULL
ZTF25abxhdem,SDSS J004634.97+224724.8,11.6457169917916,22.7902229948922,6.835276202544671,0.1155224482203383,6.757632524199538,SDSSDR16,False,0.158331,0.017564,photoz
ZTF25abxhcck,SDSS J000822.52+175109.8,2.09382163951381,17.8527471856208,9.401295004706084,1.9128289702837828,7.488620782047146,SDSSDR16,False,0.060451,0.012863,photoz
ZTF25abxgxsn,SDSS J213812.96+015903.0,324.553988824624,1.98417707622008,1.8010938667629999,0.08903984585586201,1.758261591145259,SDSSDR16,False,0.09066,0.025771,photoz
ZTF25abxgpda,SDSS J220245.17+191440.7,330.688190972015,19.2446465280101,4.85549548380215,0.8860305257515427,3.9861381129601283,SDSSDR16,False,0.084807,0.027069,photoz
ZTF25abxfyis,GALEXMSC J192238.20+441021.3,290.6592,44.17259,2.125285210587465,0.7231036142120737,1.5255308566044583,NED,False,NULL,NULL,NULL
ZTF25abxfwhc,SDSS J165108.47+414126.6,252.785298547646,41.6907316286098,5.598880464444783,0.32948236155549254,5.269607035379938,SDSSDR16,True,0.1439681,2.9118e-05,specz
ZTF25abxfujq,WISEA J195435.92-181704.5,298.64968,-18.28459,3.674453121014242,0.2706098238820923,3.446655598708198,NED,False,NULL,NULL,NULL
ZTF25abwvxin,SDSS J003800.46-035603.3,9.50191021176498,-3.93425181744936,7.059313255066906,1.3192529704001321,7.804646144703479,SDSSDR16,False,0.038892,0.027027,photoz
ZTF25abwpswf,SDSS J015043.88+340310.6,27.6828281879404,34.0529650707469,3.3065051967457504,0.15444470976995653,3.1553634604736973,SDSSDR16,False,0.479364,0.182385,photoz
ZTF25abwnqer,LEDA 2541000,259.5622333333333,56.57217777777778,5.389755327038239,1.3706380945302283,6.695533930138061,Simbad,True,0.11326,9.999999747378752e-06,C
ZTF25abwlocm,Z 333-37,157.81324124999998,72.12638472222221,11.948780105655958,1.7234416881160182,10.51620727015177,Simbad,True,0.022242,9.699999645818025e-05,D
