oid,host_id,z
ZTF20acjutba,SDSS J002554.54+044750.7,0.072
ZTF20acjuzvh,SDSS J003432.67+285456.8,0.078
ZTF20acjxorl,WISEA J020833.59+594410.6,
ZTF20acjqkmg,WISEA J054738.34-253027.9,0.042149
ZTF20acjptet,SDSS J090324.57+520834.8,0.142
ZTF20acjufda,WISEA J002839.26+175235.9,
ZTF20acjdhof,SDSS J023209.91-064857.3,0.087
ZTF20acjxiyo,WISEA J022833.45+324758.1,
ZTF20acjhmym,SDSS J043052.94+811821.3,0.167
ZTF20acjwiey,WISEA J003038.30+503949.0,
ZTF20acjwgdl,SDSS J004440.49+304544.5,0.143
ZTF20acjutai,SDSS J002607.15+040614.4,0.211
ZTF20acjumag,WISEA J005357.92-191045.2,0.056659
ZTF20acjwxxq,WISEA J020554.96+374346.7,
ZTF20acjcxbx,WISEA J014257.42+833846.5,
ZTF20aciudvs,SDSS J085905.09+305227.9,0.127
ZTF20aciljah,SDSS J051241.92+162531.3,0.203
