oid,host_id,z
ZTF20acudsqu,2MASS J09090623+2944194,0.102663
ZTF20acudkao,IC 2837,0.038306
ZTF20acudbsg,SDSS J091244.57+631111.0,0.104
ZTF20acucbek,SDSS J101327.61+355718.2,0.038913
ZTF20actvmno,SDSS J101503.61+382228.6,0.082
ZTF20acudrgp,WISEA J105624.62+410417.4,0.134816
ZTF20acudssa,SDSS J093425.94+330517.2,
ZTF20acudclc,WISEA J090037.73+295506.5,0.106699
ZTF20actveqm,SDSS J085230.27+152037.0,0.248
ZTF20actvhnz,NGC 2998,0.015958
ZTF20actpbck,SDSS J231919.02+080604.6,0.056
ZTF20acttirv,WISEA J051501.84-025438.0,0.059434
ZTF20actvmne,SDSS J105147.29+400216.3,0.118
ZTF20actkqvt,SDSS J101807.93+004439.0,0.138
