oid,level_0,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF21aaxtkwf,67,WISEA J130538.97-040135.4,196.41239,-4.026669999999999,1.230955941768507,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aaxsywg,68,SDSS J112106.44+610628.5,170.276838829026,61.10792875207461,1.9131927662264692,SDSSDR16,False,0.26338,0.035865,photoz,NULL
ZTF21aaxsoio,69,SDSS J131529.11+200911.1,198.87130194958198,20.1531052727867,1.8779448009243596,SDSSDR16,False,0.140739,0.054475,photoz,NULL
ZTF21aaxsofj,70,SDSS J134005.78+292652.9,205.024077881802,29.4480495081246,1.9720635466746763,SDSSDR16,False,0.31996,0.071254,photoz,NULL
ZTF21aaxsnjg,71,WISEA J144726.71+643013.4,221.86122000000003,64.50368,0.8776132863822079,NED,NULL,NULL,NULL,NULL,NULL
ZTF21aaxsneo,72,SDSS J145851.67+583358.7,224.71527585542003,58.5663198773891,2.1959917673842537,SDSSDR16,False,0.169693,0.027639,photoz,NULL
ZTF21aaxsmwu,73,WISEA J093609.63+710731.1,144.03996,71.12533,2.4459806605896013,NED,NULL,NULL,NULL,NULL,NULL
ZTF18aawxxvy,74,SDSS J122309.66+570732.6,185.79025948326,57.1257295797902,1.0009539535579617,SDSSDR16,True,0.1399019,2.7629959999999995e-05,specz,NULL
ZTF18aawnzne,75,WISEA J111948.06+514324.1,169.95023999999998,51.72339,0.36962711898423456,NED,True,0.079807,NULL,NULL,NULL
ZTF21aaxuywf,76,UGC 11177,274.01108,6.746810000000001,30.294771025849137,NED,True,0.020538,NULL,NULL,1.0
