oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21aclzzca,WISEA J121814.02+394455.7,184.55842,39.74879,1.1414231548822218,NED,True,0.120707,NULL,SPEC
ZTF21aclzane,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aclyylp,WISEA J112440.22+484739.7,171.16769,48.79439,6.181464843298868,NED,True,0.073936,NULL,SPEC
ZTF21aclyyhj,SDSS J121442.65+514750.3,183.677724290466,51.7973290845814,1.1009919937295418,SDSSDR16,False,0.09634,0.027517,photoz
ZTF21aclyxes,SDSS J112841.69+350639.3,172.173700242583,35.1109375168657,6.276367055418466,SDSSDR16,False,0.038186,0.010916,photoz
ZTF21aclytys,WISEA J093546.79-102704.6,143.94512,-10.45129,0.6533802913735779,NED,NULL,NULL,NULL,NULL
ZTF21aclysnk,WISEA J092615.82-082737.0,141.56567,-8.46063,2.589880277437353,NED,NULL,NULL,NULL,NULL
ZTF21aclyprb,WISEA J064734.20+154558.2,101.89254,15.76619,0.8196050819159344,NED,NULL,NULL,NULL,NULL
ZTF21aclsvco,WISEA J054543.87+592147.4,86.4325,59.36311,0.7987433844813847,NED,False,0.128279,NULL,PHOT
ZTF21aclsqvb,SDSS J035435.23-045711.9,58.6468032699942,-4.95331500374215,0.17205120546954608,SDSSDR16,False,0.216697,0.04257,photoz
ZTF21aclsqsd,WISEA J040506.78-131226.1,61.27834,-13.20733,2.3535620842716316,NED,NULL,NULL,NULL,NULL
ZTF21aclslmh,WISEA J030621.02+011333.2,46.58738,1.2261,0.7058776243288633,NED,True,0.087902,NULL,SPEC
ZTF21aclsggw,SDSS J050538.76+825137.1,76.4115151113073,82.8603192683253,1.8102987264509047,SDSSDR16,False,0.117865,0.044141,photoz
ZTF21aclrkgs,WISEA J005310.87-250903.8,13.29525,-25.15117,0.7124445268554495,NED,True,0.108515,NULL,
ZTF21aclrkdk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF21aclrjst,WISEA J034855.25-200833.5,57.23011,-20.1427,0.8574694562479606,NED,NULL,NULL,NULL,NULL
ZTF21aclqmwi,SDSS J035413.11+112031.6,58.5546408320989,11.3421246108535,0.4450154675114706,SDSSDR16,False,0.111477,0.035443,photoz
ZTF21aclqfkm,SDSS J021444.14-002000.5,33.6839193960463,-0.333479081956766,0.20901054081264647,SDSSDR16,False,0.203072,0.024693,photoz
ZTF21aclpumz,WISEA J021600.93+102044.3,34.00388,10.34599,2.643646321939019,NED,NULL,NULL,NULL,NULL
ZTF21aclnvyr,SDSS J000815.97-092904.3,2.06654293918035,-9.48454168191174,0.5155382403443441,SDSSDR16,True,0.1748062,3.760227e-05,specz
ZTF21aclnuxa,SDSS J002732.37+171823.0,6.8848934346787,17.3064007509697,0.647554245743073,SDSSDR16,False,0.307963,0.05147,photoz
ZTF21aclnklu,WISEA J022727.84+421257.4,36.86654,42.21656,4.5259329125273915,NED,False,0.063217,NULL,PHOT
ZTF21aclnivv,WISEA J020012.08+555002.0,30.05045,55.83398,0.6421727634844627,NED,NULL,NULL,NULL,NULL
ZTF21aclnhuf,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
