oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF21acojncf,SDSS J130002.34+040700.0,195.00977,4.11667,0.9189777239626843,NED,NULL,NULL,NULL,NULL
ZTF21acojhgu,SDSS J102246.26+303418.2,155.692732499688,30.5717353465353,0.3886119309764325,SDSSDR16,False,0.314047,0.037589,photoz
ZTF21acojfwk,WISEA J090832.11-132116.8,137.13343,-13.35513,1.250373256351824,NED,NULL,NULL,NULL,NULL
ZTF21acoifig,SDSS J132037.42+284830.1,200.155924759189,28.8083628691178,3.6755215485855963,SDSSDR16,False,0.156184,0.043671,photoz
ZTF21acoifaw,WISEA J111832.95-183636.1,169.63726,-18.61006,1.1963040208595064,NED,NULL,NULL,NULL,NULL
ZTF21acoieac,SDSS J132259.83+282424.4,200.749275847549,28.4067936276149,1.827458392214386,SDSSDR16,False,0.136853,0.031076,photoz
ZTF21acngcup,SDSS J111824.78+083414.6,169.603254400168,8.57074330372991,1.4535620901331674,SDSSDR16,False,0.134262,0.034477,photoz
ZTF21acnftbt,WISEA J095311.53+012251.4,148.29808,1.38097,2.4607905148449865,NED,True,0.114116,NULL,SPEC
ZTF21acmrbwp,WISEA J095545.39-141432.8,148.93931,-14.24241,0.899019045762133,NED,NULL,NULL,NULL,NULL
