oid,host_name,host_ra,host_dec,host_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type,index
ZTF22aafbaui,LEDA 214845,337.78131,39.4283,3.9649556724062593,NED,NULL,NULL,NULL,NULL,
ZTF22aafaxiz,SDSS J171809.03+090321.8,259.537608014423,9.05606997124176,0.47402991110174353,SDSSDR16,False,0.101987,0.036635,photoz,
ZTF22aafapzb,SDSS J173757.46+605300.8,264.489412737307,60.8835800818172,8.1638571034114,SDSSDR16,False,0.027147,0.007546,photoz,
ZTF22aafapyb,SDSS J170718.51+433955.5,256.827109723343,43.6654155648547,1.5398047506643686,SDSSDR16,False,0.125543,0.029127,photoz,
ZTF22aafaouj,SDSS J172755.55+272252.7,261.981454386669,27.381307509797,3.16128844283036,SDSSDR16,False,0.094516,0.03448,photoz,
ZTF22aafaosm,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
ZTF22aafalol,SDSS J133803.84+633815.7,204.51600416666662,63.63771111111111,0.4382153561501311,Simbad,True,0.06805,9.999999747378752e-06,C,
ZTF22aaezlhs,SDSS J145752.07+353156.5,224.466949495331,35.5323723511547,0.7822619504004346,SDSSDR16,False,0.249586,0.094305,photoz,
ZTF22aaezkwy,WISEA J160617.30-064516.3,241.57196,-6.75473,7.058781099490986,NED,NULL,NULL,NULL,NULL,
ZTF22aaezkgb,SDSS J161132.38+070559.6,242.884918154129,7.09991493513725,2.0854012239810418,SDSSDR16,False,0.187884,0.029936,photoz,
ZTF22aaezghw,SDSS J124229.65+544621.9,190.623555385764,54.7727539987597,1.292111819544975,SDSSDR16,False,0.248044,0.059668,photoz,
ZTF22aaezdtd,WISEA J124337.51+012304.1,190.9063,1.38446,0.4815944598900306,NED,True,0.088808,NULL,SPEC,
ZTF22aaezaxu,SDSS J123921.62-175239.4,189.840092671423,-17.8776351498879,0.9334556207758824,SDSSDR16,False,0.154276,0.036251,photoz,0.0
ZTF22aaeyltx,SDSS J125633.55+391759.9,194.139782025904,39.2999726994539,0.4633255656391737,SDSSDR16,True,0.126792,1.824145e-05,specz,1.0
ZTF22aaexutg,SDSS J120312.58+214453.1,180.802427592709,21.7481026060407,4.622505381015404,SDSSDR16,False,0.085385,0.026507,photoz,2.0
ZTF22aaetrty,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.0
ZTF22aaetqzk,SDSS J174604.85+421634.6,266.520208700751,42.2762873049752,0.0597061386117889,SDSSDR16,False,0.077887,0.019555,photoz,4.0
ZTF22aaetmsa,SDSS J163526.13+560445.6,248.858870962062,56.0793512585449,2.519335724101917,SDSSDR16,False,0.083421,0.025495,photoz,5.0
ZTF22aaetksl,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6.0
ZTF22aaetjts,WISEA J195027.53+751436.4,297.61473,75.24346,0.9635663918387364,NED,NULL,NULL,NULL,NULL,7.0
ZTF22aaesqkg,SDSS J155727.47+392219.3,239.364438026974,39.3720439415843,0.3118225049276873,SDSSDR16,False,0.762339,0.210471,photoz,8.0
ZTF22aaeregc,WISEA J133438.84+112936.2,203.66184,11.49335,0.4536072211250775,NED,True,0.191022,NULL,SPEC,9.0
ZTF22aadrioi,SDSS J145825.46+220004.0,224.606101984354,22.0011216924525,0.2460023053154519,SDSSDR16,False,0.612818,0.099605,photoz,10.0
ZTF22aadpgmo,WISEA J115525.71+543400.1,178.85714,54.56667,7.757097334944394,NED,True,0.078896,NULL,SPEC,11.0
ZTF22aadfaeu,SDSS J133154.00+200433.9,202.97499572812,20.0760819936602,0.2487181815943236,SDSSDR16,False,0.153506,0.024677,photoz,12.0
ZTF22aadetdt,WISEA J154438.73+412215.7,236.16143,41.37106,1.183036019710845,NED,True,0.062473,NULL,SPEC,13.0
ZTF22aaddozu,SDSS J115135.36+184713.8,177.897348032276,18.787182660412,1.1613471457516675,SDSSDR16,False,0.169769,0.029168,photoz,14.0
ZTF22aaddmvs,SDSS J123308.92+090958.9,188.287183327253,9.16636911086814,1.5268283479573037,SDSSDR16,False,0.068741,0.014168,photoz,15.0
ZTF22aabvgww,SDSS J130258.57+534110.7,195.744027758216,53.6863265108098,1.2240560513813812,SDSSDR16,False,0.228173,0.050654,photoz,16.0
ZTF18aaruams,SDSS J165556.70+355744.4,253.986262400469,35.9623464708184,0.7720604227219527,SDSSDR16,False,0.108416,0.014364,photoz,17.0
