oid,host_id,z
ZTF20acpfpkz,WISEA J100915.74-002435.8,0.11453
ZTF20acpeyoo,WISEA J093628.89+475451.2,0.055022
ZTF20acpboln,WISEA J201128.49+563831.2,
ZTF20acpevli,VII Zw 373,0.039641
ZTF20acpejpk,WISEA J040713.74-273522.9,0.258
ZTF20acpdlvk,WISEA J000106.55-163319.2,
ZTF20acmgrda,WISEA J115901.88+281513.5,0.028836
ZTF20acoyrlm,WISEA J015337.76-073559.5,0.077097
ZTF20acoygnb,WISEA J214540.01-155534.6,
ZTF20acopmey,SDSS J222246.77-013728.1,0.204
ZTF20acoyfpk,WISEA J230100.68+405434.7,
ZTF20acoyvdg,SDSS J011404.73+301518.6,0.091
ZTF20acpbwvo,SDSS J235749.60+065737.9,0.098
ZTF20acpcwwg,WISEA J010708.27-130146.6,
ZTF20acpcuwx,SDSS J020914.21+330235.0,0.040
ZTF20acoykif,SDSS J231345.65+145506.9,0.121
ZTF20acpazbp,SDSS J122023.07+505616.5,0.109
ZTF20acpdenr,GALEXASC J223357.65-231254.7,
ZTF20acowddo,SDSS J015405.95+070859.8,0.051
ZTF20acoxxkg,WISEA J183909.78+382241.4,
ZTF20acoyxvn,SDSS J002443.28+370909.7,0.274
ZTF20acpbnzr,SDSS J204009.12-141054.8,0.101
ZTF20acoygnk,WISEA J215546.58-180654.9,
ZTF20acoxuvx,WISEA J182901.11+575140.4,
