oid,index,host_name,host_ra,host_dec,host_offset,host_offset_bestguess,bestguess_offset,host_source,host_redshift_spec,host_redshift,host_redshift_error,host_redshift_type
ZTF24aaciqhs,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaciofn,1,WISEA J121327.06-083452.8,183.36279,-8.58136,1.8476922754316225,0.4388793778302545,2.1867866516297263,NED,False,0.109457,NULL,PUN
ZTF24aacinph,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaciifq,3,WISEA J110509.87-213740.8,166.29063,-21.628,6.306941338154241,0.4014589939563258,6.70642784977837,NED,False,0.084184,NULL,PUN
ZTF24aacgusg,4,SDSS J115205.73+045022.3,178.023868859082,4.8395372095117,0.8814356030728321,0.2750903351388454,0.9323129664400124,SDSSDR16,False,0.15863,0.072414,photoz
ZTF24aacgudn,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aacgdrd,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aaceash,7,LEDA  152699,127.47986916666665,-13.165300555555556,9.904830319946472,1.7154157230583151,11.53461386177299,Simbad,True,0.05751,NULL,D
ZTF24aacdxbk,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aacavfx,9,SDSS J124325.73-035848.8,190.857196597651,-3.98023600096522,1.870340513362034,0.6272385212958955,1.2451908557759055,SDSSDR16,False,0.14218,0.026284,photoz
ZTF24aacapqx,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aacaosi,11,MCG -01-34-013,198.54054,-5.59853,7.326857898459482,1.1250944601138464,7.551129917608969,NED,False,0.017852,NULL,S1L
ZTF24aacancp,12,SDSS J120010.09+201800.1,180.042023311277,20.3000280520897,0.860675470703052,0.9907683716525082,0.8145279291239346,SDSSDR16,False,0.071465,0.015159,photoz
ZTF24aabzrbz,13,SDSS J082251.80+103426.8,125.71582791666664,10.574139166666669,2.921809034701933,0.5461297946194329,3.4651314824476422,Simbad,True,0.10474,1.9999999494757503e-05,C
ZTF24aabxnem,14,SDSS J093608.15+601801.4,144.033945591283,60.300402316805,0.2795100115346846,0.2382043043460034,0.1773275806752003,SDSSDR16,False,0.217933,0.102385,photoz
ZTF24aabvtdh,15,WISEA J140751.29-100338.3,211.96414,-10.06077,3.49864266439942,1.8359611870058168,4.740241942279848,NED,False,NULL,NULL,NULL
ZTF24aabvpvi,16,WISEA J114524.51-050523.2,176.3519,-5.09002,3.359464696106257,1.1504879661522187,2.491675568152333,NED,False,NULL,NULL,NULL
ZTF24aabvlvq,17,SDSS J095805.29+180428.2,149.522026370407,18.0745216117418,3.2602339551865684,0.4175636543244954,2.8514262514066004,SDSSDR16,True,0.05356232,9.826445e-06,specz
ZTF24aabvgpr,18,SDSS J112234.16+184115.8,170.642339248866,18.6877470538958,0.2834525601298996,0.1766016424535715,0.2353176369407049,SDSSDR16,False,0.165521,0.043416,photoz
ZTF24aabvede,19,2MASX J12050256+0110351,181.26085916666668,1.176568888888889,3.424272467746692,0.4002304847144731,3.3826231778918503,Simbad,True,0.06565,1.9999999494757503e-05,C
ZTF24aabuaij,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF24aabpeqg,21,SDSS J112330.64+282124.1,170.877660885941,28.3567143990946,0.8002081710949398,0.1191682737039272,0.7163690524045822,SDSSDR16,True,0.1267105,1.198481e-05,specz
ZTF24aabpeat,22,SDSS J114204.43+421719.6,175.518447630283,42.2887800729267,4.663416873572578,0.65740546721924,4.156465116690748,SDSSDR16,False,0.080182,0.026656,photoz
ZTF24aaaiocv,23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ZTF23aadpohs,24,WISEA J110451.39-243714.4,166.21419,-24.62063,0.0790232186207249,0.1742533740171027,0.1166933829955362,NED,False,NULL,NULL,NULL
ZTF19acvevgj,25,SDSS J135506.25+202904.8,208.776053666647,20.4846700990856,0.9124795430688412,0.7266833257584018,0.1882407386615882,SDSSDR16,True,0.07050474,1.493869e-05,specz
