object,nobs,first_detection,last_detection,count,report_type,last_date,first_date,source,alerce_link
ZTF21acfajyf,2,2021-10-01T11:58:02.004Z,2021-10-01T12:47:13.998Z,2,TOM,2021-10-02T15:01:50.145980Z,2021-10-01T14:41:41.144235Z,,https://alerce.online/object/ZTF21acfajyf
ZTF21acfabut,2,2021-10-01T11:47:47.000Z,2021-10-01T12:48:17.001Z,2,TOM,2021-10-02T15:01:46.621498Z,2021-10-01T14:41:12.093543Z,,https://alerce.online/object/ZTF21acfabut
ZTF21aceyrff,2,2021-10-01T10:33:41.003Z,2021-10-01T11:35:20.003Z,2,TOM,2021-10-02T15:01:41.747892Z,2021-10-01T14:46:18.319387Z,,https://alerce.online/object/ZTF21aceyrff
ZTF21aceyqpr,2,2021-10-01T09:36:12.001Z,2021-10-01T10:24:45.003Z,2,TOM,2021-10-02T15:01:38.547405Z,2021-10-01T14:45:18.612633Z,,https://alerce.online/object/ZTF21aceyqpr
ZTF21aceqcwu,2,2021-10-01T09:33:28.999Z,2021-10-01T10:27:27.003Z,2,TOM,2021-10-02T15:01:35.620425Z,2021-10-01T14:44:57.317081Z,,https://alerce.online/object/ZTF21aceqcwu
ZTF21aceypaq,2,2021-10-01T09:19:46.998Z,2021-10-01T10:26:45.997Z,2,TOM,2021-10-02T15:01:32.607509Z,2021-10-01T14:45:37.489297Z,,https://alerce.online/object/ZTF21aceypaq
ZTF21acexcsf,2,2021-10-01T08:10:01.998Z,2021-10-01T08:53:16.996Z,2,TOM,2021-10-02T15:01:25.948556Z,2021-10-01T14:45:55.423044Z,,https://alerce.online/object/ZTF21acexcsf
ZTF21acecwpo,2,2021-10-01T08:02:32.001Z,2021-10-01T09:04:27.002Z,2,TOM,2021-10-02T15:01:21.485451Z,2021-10-01T14:43:59.942204Z,,https://alerce.online/object/ZTF21acecwpo
ZTF21aceligv,2,2021-10-01T07:59:01.997Z,2021-10-01T08:34:54.998Z,2,TOM,2021-10-02T15:01:13.940167Z,2021-10-01T14:28:57.956673Z,,https://alerce.online/object/ZTF21aceligv
ZTF21aceqrju,2,2021-10-01T07:56:19.003Z,2021-10-01T09:05:48.002Z,2,TOM,2021-10-02T15:01:11.068568Z,2021-10-01T14:40:36.057256Z,,https://alerce.online/object/ZTF21aceqrju
ZTF21acewhgm,2,2021-10-01T06:59:10.997Z,2021-10-01T07:43:01.998Z,2,TOM,2021-10-02T15:01:07.815348Z,2021-10-01T14:44:16.973943Z,,https://alerce.online/object/ZTF21acewhgm
ZTF21aceveqy,2,2021-10-01T06:56:28.003Z,2021-10-01T07:06:57.997Z,1,TOM,2021-10-02T15:01:04.730177Z,2021-10-02T15:01:04.730177Z,,https://alerce.online/object/ZTF21aceveqy
ZTF21acdupol,2,2021-10-01T06:54:25.004Z,2021-10-01T07:07:39.003Z,2,TOM,2021-10-02T15:01:01.968727Z,2021-10-01T14:43:08.367032Z,,https://alerce.online/object/ZTF21acdupol
ZTF21aceldja,2,2021-10-01T06:54:25.004Z,2021-10-01T07:07:39.003Z,2,TOM,2021-10-02T15:00:59.599022Z,2021-10-01T14:38:08.577182Z,,https://alerce.online/object/ZTF21aceldja
ZTF21acevtxz,2,2021-10-01T06:53:45.001Z,2021-10-01T07:32:50.001Z,1,TOM,2021-10-02T15:00:56.007748Z,2021-10-02T15:00:56.007748Z,,https://alerce.online/object/ZTF21acevtxz
ZTF21acewqpr,2,2021-10-01T06:51:39.004Z,2021-10-01T07:59:43.002Z,1,TOM,2021-10-02T15:00:51.683284Z,2021-10-02T15:00:51.683284Z,,https://alerce.online/object/ZTF21acewqpr
ZTF21aceuqrv,2,2021-10-01T06:41:21.002Z,2021-10-01T07:52:47.004Z,2,TOM,2021-10-02T15:00:48.218875Z,2021-10-01T14:27:58.448939Z,,https://alerce.online/object/ZTF21aceuqrv
ZTF21acexgzu,2,2021-10-01T06:40:39.996Z,2021-10-01T08:16:54.998Z,2,TOM,2021-10-02T15:00:44.271791Z,2021-10-01T14:44:37.989643Z,,https://alerce.online/object/ZTF21acexgzu
ZTF21aceoaqe,2,2021-10-01T06:33:09.999Z,2021-10-01T07:34:11.001Z,2,TOM,2021-10-02T15:00:41.138254Z,2021-10-01T14:28:42.664553Z,,https://alerce.online/object/ZTF21aceoaqe
ZTF21aceujob,2,2021-10-01T06:27:35.001Z,2021-10-01T07:05:36.997Z,2,TOM,2021-10-02T15:00:38.057907Z,2021-10-01T14:42:02.140319Z,,https://alerce.online/object/ZTF21aceujob
ZTF21acekwrh,2,2021-10-01T06:24:08.997Z,2021-10-01T07:38:56.000Z,2,TOM,2021-10-02T15:00:33.955015Z,2021-10-01T14:40:54.176180Z,,https://alerce.online/object/ZTF21acekwrh
ZTF21acdzlhz,2,2021-10-01T06:23:28.000Z,2021-10-01T07:28:39.000Z,2,TOM,2021-10-02T15:00:27.618188Z,2021-10-01T14:37:12.965055Z,,https://alerce.online/object/ZTF21acdzlhz
ZTF21acephge,2,2021-10-01T06:20:05.004Z,2021-10-01T07:09:49.000Z,2,TOM,2021-10-02T15:00:24.029383Z,2021-10-01T14:46:33.161971Z,,https://alerce.online/object/ZTF21acephge
ZTF21acfjouk,2,2021-09-30T11:23:38.003Z,2021-10-02T12:05:10.003Z,2,TOM,2021-10-02T14:59:58.620600Z,2021-10-02T14:48:39.052062Z,,https://alerce.online/object/ZTF21acfjouk
ZTF21acermld,2,2021-09-30T11:14:47.999Z,2021-09-30T11:57:30.001Z,1,TOM,2021-10-02T14:59:48.048444Z,2021-10-02T14:59:48.048444Z,,https://alerce.online/object/ZTF21acermld
ZTF21acertwe,2,2021-09-30T11:10:01.004Z,2021-09-30T12:07:01.001Z,1,TOM,2021-10-02T14:59:42.800607Z,2021-10-02T14:59:42.800607Z,,https://alerce.online/object/ZTF21acertwe
ZTF21acertfl,2,2021-09-30T10:45:08.997Z,2021-09-30T11:58:57.999Z,1,TOM,2021-10-02T14:59:34.550622Z,2021-10-02T14:59:34.550622Z,,https://alerce.online/object/ZTF21acertfl
ZTF21acfjllc,2,2021-09-30T10:36:49.000Z,2021-10-02T11:51:00.000Z,2,TOM,2021-10-02T14:59:28.562939Z,2021-10-02T14:52:11.390132Z,,https://alerce.online/object/ZTF21acfjllc
ZTF21acffyxy,2,2021-09-30T10:06:40.000Z,2021-10-02T09:08:37.000Z,2,TOM,2021-10-02T14:59:23.993410Z,2021-10-02T14:49:03.846514Z,,https://alerce.online/object/ZTF21acffyxy
ZTF21acffxso,2,2021-09-30T10:05:59.004Z,2021-10-02T09:07:56.004Z,2,TOM,2021-10-02T14:59:19.627785Z,2021-10-02T14:55:36.519072Z,,https://alerce.online/object/ZTF21acffxso
ZTF21acffzhp,2,2021-09-30T10:01:53.999Z,2021-10-02T09:12:41.003Z,2,TOM,2021-10-02T14:59:14.472630Z,2021-10-02T14:54:49.208188Z,,https://alerce.online/object/ZTF21acffzhp
ZTF21aceqpfc,2,2021-09-30T09:35:15.996Z,2021-10-02T09:01:07.003Z,1,TOM,2021-10-02T14:59:09.913383Z,2021-10-02T14:59:09.913383Z,,https://alerce.online/object/ZTF21aceqpfc
ZTF21acfcgnk,2,2021-09-30T05:03:23.003Z,2021-10-02T06:04:32.998Z,2,TOM,2021-10-02T14:59:06.016417Z,2021-10-02T14:52:40.279251Z,,https://alerce.online/object/ZTF21acfcgnk
ZTF21acfbpcp,2,2021-09-30T04:16:36.998Z,2021-10-02T04:41:51.003Z,2,TOM,2021-10-02T14:59:01.897326Z,2021-10-02T14:50:20.710348Z,,https://alerce.online/object/ZTF21acfbpcp
ZTF21acdvxzd,2,2021-09-30T03:11:02.999Z,2021-10-02T03:38:16.996Z,1,TOM,2021-10-02T14:58:58.804853Z,2021-10-02T14:58:58.804853Z,,https://alerce.online/object/ZTF21acdvxzd
ZTF21acexqmr,2,2021-09-29T07:21:02.998Z,2021-10-01T08:24:32.003Z,2,TOM,2021-10-02T14:58:55.689777Z,2021-10-01T15:06:42.342105Z,,https://alerce.online/object/ZTF21acexqmr
ZTF21acfcerq,2,2021-09-29T06:28:52.000Z,2021-10-02T05:56:49.998Z,2,TOM,2021-10-02T14:58:52.263584Z,2021-10-02T14:50:59.283270Z,,https://alerce.online/object/ZTF21acfcerq
ZTF21acdyrmh,7,2021-09-26T05:56:09.001Z,2021-10-02T06:34:10.004Z,1,TOM,2021-10-02T14:58:47.779991Z,2021-10-02T14:58:47.779991Z,,https://alerce.online/object/ZTF21acdyrmh
ZTF21acdzxfq,2,2021-09-28T06:33:07.001Z,2021-10-02T05:35:24.003Z,2,TOM,2021-10-02T14:58:47.231734Z,2021-10-02T14:51:24.989351Z,,https://alerce.online/object/ZTF21acdzxfq
ZTF21acemtse,2,2021-09-28T06:18:09.996Z,2021-09-30T05:23:54.004Z,1,TOM,2021-10-02T14:58:44.594509Z,2021-10-02T14:58:44.594509Z,,https://alerce.online/object/ZTF21acemtse
ZTF21acesusi,2,2021-09-28T05:48:09.999Z,2021-10-01T04:43:34.000Z,1,TOM,2021-10-02T14:58:38.683086Z,2021-10-02T14:58:38.683086Z,,https://alerce.online/object/ZTF21acesusi
ZTF21aceqbmo,2,2021-09-27T09:11:19.000Z,2021-09-30T08:35:16.996Z,1,TOM,2021-10-02T14:58:24.491147Z,2021-10-02T14:58:24.491147Z,,https://alerce.online/object/ZTF21aceqbmo
