object,nobs,first_detection,last_detection,count,report_type,last_date,first_date,source,alerce_link
ZTF21aclhhkv,2,2021-11-04T10:51:49.997Z,2021-11-04T11:18:14.003Z,1,TOM,2021-11-06T16:04:22.321351Z,2021-11-06T16:04:22.321351Z,,https://alerce.online/object/ZTF21aclhhkv
ZTF21aclnvyr,2,2021-11-05T04:36:08.997Z,2021-11-05T05:29:14.004Z,2,TOM,2021-11-06T16:04:17.573105Z,2021-11-05T15:57:53.053484Z,,https://alerce.online/object/ZTF21aclnvyr
ZTF21aclirsz,2,2021-11-04T12:03:14.003Z,2021-11-05T11:32:30.002Z,1,TOM,2021-11-06T16:04:06.075172Z,2021-11-06T16:04:06.075172Z,,https://alerce.online/object/ZTF21aclirsz
ZTF21ackthuy,2,2021-11-03T08:39:46.996Z,2021-11-05T08:03:23.996Z,2,TOM,2021-11-06T16:04:03.176540Z,2021-11-05T16:55:28.941471Z,,https://alerce.online/object/ZTF21ackthuy
ZTF21acjzctd,2,2021-10-31T08:50:38.003Z,2021-10-31T11:53:36.004Z,1,TOM,2021-11-06T16:04:00.414563Z,2021-11-06T16:04:00.414563Z,,https://alerce.online/object/ZTF21acjzctd
ZTF21ackadbv,2,2021-10-31T08:43:07.997Z,2021-10-31T12:16:36.002Z,1,TOM,2021-11-06T16:03:57.278953Z,2021-11-06T16:03:57.278953Z,,https://alerce.online/object/ZTF21ackadbv
ZTF21ackkbrl,2,2021-11-02T11:14:10.000Z,2021-11-04T12:25:22.999Z,1,TOM,2021-11-06T16:03:16.921357Z,2021-11-06T16:03:16.921357Z,,https://alerce.online/object/ZTF21ackkbrl
ZTF21acjosnw,2,2021-10-31T10:52:53.000Z,2021-10-31T12:33:07.001Z,1,TOM,2021-11-06T16:03:12.947266Z,2021-11-06T16:03:12.947266Z,,https://alerce.online/object/ZTF21acjosnw
ZTF21acjysho,2,2021-10-31T10:39:48.997Z,2021-10-31T11:38:52.996Z,1,TOM,2021-11-06T16:03:09.678000Z,2021-11-06T16:03:09.678000Z,,https://alerce.online/object/ZTF21acjysho
ZTF20aafejjm,2,2021-11-04T10:57:17.004Z,2021-11-06T12:11:39.002Z,1,TOM,2021-11-06T16:02:58.332976Z,2021-11-06T16:02:58.332976Z,,https://alerce.online/object/ZTF20aafejjm
