oid,host_id,z
ZTF21aadatil,WISEA J160443.68+172550.1,0.135393
ZTF21aadrure,WISEA J151612.24-092905.1,
ZTF21aadrmok,WISEA J172412.70+464936.4,
ZTF21aadrkvr,SDSS J140317.37+485224.8,0.099
ZTF21aadqyis,WISEA J090946.61+161739.2,0.089232
ZTF21aadppto,2MASS J08025957-1253117,
ZTF21aadezmh,WISEA J081757.01+334558.7,0.062128
ZTF21aadmcdg,WISEA J010752.05+365625.9,
ZTF21aadlxps,SDSS J021707.76+030618.5,0.439
ZTF21aadrtcs,LEDA 1022096,
ZTF21aadrmxr,WISEA J152854.53-061003.6,
ZTF21aadatiw,SDSS J154336.56+153857.9,0.122
ZTF21aadatic,WISEA J160316.28+174747.4,0.037586
ZTF21aadasrj,WISEA J143150.03+435724.9,0.094152
ZTF21aadqzlr,SDSS J092711.90+164414.3,0.398
ZTF21aadagzx,SDSS J111611.51+000919.7,0.161
ZTF21aacwpnr,WISEA J035021.60-251842.1,
ZTF21aacusce,SDSS J012136.95-223613.9,0.070
ZTF21aadrqqj,SDSS J142618.25-020339.8,0.186
ZTF21aadrtqz,WISEA J135448.80-133631.2,
ZTF21aadrslp,SDSS J141506.66-142049.3,0.115
ZTF21aadrgdb,WISEA J113327.85+052808.2,0.068548
ZTF21aadrfgy,WISEA J110617.50-142911.6,
ZTF21aaciibf,WISEA J093245.46-055852.4,
ZTF21aacswzd,SDSS J074511.09+392341.8,0.180
ZTF21aacugzu,SDSS J141311.24+575356.7,
ZTF21aadrmle,SDSS J153258.89+462530.2,0.154
ZTF21aadqiij,SDSS J094059.94+152708.8,0.167
ZTF21aadmkrm,WISEA J051817.75+582656.5,
ZTF21aadljmj,SDSS J012719.34+122724.1,0.073
