object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21accqlag,2,2021-09-13T11:56:37.003Z,2021-09-16T11:34:15.997Z,1,TOM,2021-09-17T16:48:11.243Z,2021-09-17T16:48:11.243Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqlag
ZTF21accirkq,2,2021-09-15T09:53:18.000Z,2021-09-17T06:37:11.003Z,3,TOM,2021-09-15T12:15:31.914Z,2021-09-17T16:47:27.081Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accirkq
ZTF21accwovq,2,2021-09-11T11:37:25.999Z,2021-09-17T10:36:31.003Z,1,TOM,2021-09-17T16:47:20.266Z,2021-09-17T16:47:20.266Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accwovq
ZTF21accelhl,2,2021-09-14T11:18:41.996Z,2021-09-17T10:48:05.002Z,2,TOM,2021-09-14T14:09:02.215Z,2021-09-17T16:47:03.798Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accelhl
ZTF18aarujtm,2,2021-09-16T03:29:16.002Z,2021-09-16T04:51:53.003Z,4,TOM,2021-09-16T08:54:27.089Z,2021-09-17T16:46:58.574Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF18aarujtm
ZTF21abxnuxc,2,2021-09-13T11:14:04.004Z,2021-09-15T10:56:14.000Z,2,TOM,2021-09-15T14:50:21.741Z,2021-09-17T16:46:53.321Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abxnuxc
ZTF21acbfcki,2,2021-09-14T03:28:57.996Z,2021-09-16T04:21:39.000Z,3,TOM,2021-09-14T10:26:07.759Z,2021-09-17T16:46:47.394Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbfcki
ZTF21accvyrr,2,2021-09-12T11:34:33.000Z,2021-09-17T10:11:46.003Z,1,TOM,2021-09-17T16:46:42.489Z,2021-09-17T16:46:42.489Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accvyrr
ZTF21accqysj,2,2021-09-15T12:19:56.000Z,2021-09-16T12:27:51.001Z,2,TOM,2021-09-16T14:51:31.620Z,2021-09-17T16:46:28.741Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqysj
ZTF21accgooh,2,2021-09-13T08:37:50.001Z,2021-09-15T08:37:31.002Z,2,TOM,2021-09-15T14:46:09.552Z,2021-09-17T16:46:12.962Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accgooh
ZTF21acclizu,2,2021-09-16T03:55:49.002Z,2021-09-16T04:11:53.001Z,3,TOM,2021-09-16T13:39:19.377Z,2021-09-17T16:46:06.641Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acclizu
ZTF21accuexh,2,2021-09-17T07:52:42.000Z,2021-09-17T09:38:36.003Z,2,TOM,2021-09-17T14:36:00.466Z,2021-09-17T16:46:00.131Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accuexh
ZTF21accohtt,2,2021-09-15T09:51:13.999Z,2021-09-17T09:57:54.999Z,1,TOM,2021-09-17T16:45:55.329Z,2021-09-17T16:45:55.329Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accohtt
ZTF21acchbmn,2,2021-09-16T09:04:39.996Z,2021-09-16T10:09:22.000Z,3,TOM,2021-09-16T11:50:17.014Z,2021-09-17T16:45:43.286Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acchbmn
ZTF21acbxsba,2,2021-09-16T11:18:44.000Z,2021-09-16T11:50:11.002Z,4,TOM,2021-09-16T11:54:32.619Z,2021-09-17T16:45:33.161Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbxsba
ZTF21acaalua,2,2021-09-13T05:31:56.003Z,2021-09-13T06:03:15.998Z,3,TOM,2021-09-13T13:36:23.024Z,2021-09-17T16:45:27.722Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acaalua
ZTF21accqita,2,2021-09-16T11:22:48.002Z,2021-09-16T11:54:15.998Z,4,TOM,2021-09-16T13:38:13.941Z,2021-09-17T16:45:22.658Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqita
ZTF21accxeqv,2,2021-09-14T11:02:19.999Z,2021-09-17T11:04:52.003Z,1,TOM,2021-09-17T16:45:08.620Z,2021-09-17T16:45:08.620Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accxeqv
ZTF21acbymyw,2,2021-09-13T11:46:58.002Z,2021-09-15T11:47:49.004Z,3,TOM,2021-09-13T13:36:05.531Z,2021-09-17T16:45:02.197Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbymyw
ZTF21abyslhz,2,2021-09-16T11:24:09.002Z,2021-09-16T11:52:53.996Z,2,TOM,2021-09-16T14:26:31.868Z,2021-09-17T16:44:48.839Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abyslhz
ZTF21acbxtir,2,2021-09-16T11:22:06.997Z,2021-09-16T11:54:57.003Z,4,TOM,2021-09-16T11:51:32.537Z,2021-09-17T16:44:42.219Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbxtir
ZTF21acbezyz,2,2021-09-16T03:44:04.997Z,2021-09-16T04:18:55.998Z,4,TOM,2021-09-16T08:51:50.838Z,2021-09-17T16:44:35.639Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbezyz
ZTF21accdetl,3,2021-09-12T09:20:25.998Z,2021-09-14T10:20:08.998Z,2,TOM,2021-09-14T14:16:57.877Z,2021-09-17T16:44:31.210Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accdetl
ZTF21acafxqw,3,2021-09-14T11:21:24.998Z,2021-09-17T10:52:09.998Z,2,TOM,2021-09-14T14:10:41.628Z,2021-09-17T16:44:21.873Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acafxqw
ZTF21acafwof,3,2021-09-14T11:21:24.998Z,2021-09-17T10:52:09.998Z,4,TOM,2021-09-14T13:41:53.562Z,2021-09-17T16:44:16.026Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acafwof
ZTF21acbynpl,3,2021-09-15T10:54:11.001Z,2021-09-17T10:51:29.001Z,3,TOM,2021-09-15T12:16:16.339Z,2021-09-17T16:44:11.539Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbynpl
ZTF21acclnnu,3,2021-09-13T05:11:18.003Z,2021-09-16T04:40:53.996Z,1,TOM,2021-09-17T16:44:07.324Z,2021-09-17T16:44:07.324Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acclnnu
ZTF21acbystx,3,2021-09-13T12:04:09.998Z,2021-09-13T12:11:09.003Z,2,TOM,2021-09-13T13:54:19.928Z,2021-09-17T16:44:02.279Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbystx
ZTF21acbpydh,3,2021-09-11T03:36:14.999Z,2021-09-16T03:37:56.000Z,2,TOM,2021-09-13T14:26:32.573Z,2021-09-17T16:43:58.183Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbpydh
ZTF21accoegv,3,2021-09-14T06:00:21.997Z,2021-09-16T08:45:06.001Z,2,TOM,2021-09-16T14:48:40.950Z,2021-09-17T16:43:52.674Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accoegv
ZTF21accdiqz,3,2021-09-12T09:44:34.995Z,2021-09-17T10:15:10.002Z,2,TOM,2021-09-14T14:20:32.875Z,2021-09-17T16:43:48.362Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accdiqz
ZTF21acckcjh,3,2021-09-13T11:14:45.000Z,2021-09-15T11:47:49.004Z,1,TOM,2021-09-17T16:43:40.860Z,2021-09-17T16:43:40.860Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acckcjh
ZTF21acbpdlz,3,2021-09-13T04:01:55.001Z,2021-09-14T04:59:12.001Z,3,TOM,2021-09-13T13:38:38.110Z,2021-09-17T16:43:35.329Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbpdlz
ZTF21acbqjsz,3,2021-09-13T05:38:14.997Z,2021-09-17T05:45:34.004Z,1,TOM,2021-09-17T16:43:29.206Z,2021-09-17T16:43:29.206Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbqjsz
ZTF21accwlfk,3,2021-09-14T11:02:19.999Z,2021-09-17T11:04:52.003Z,1,TOM,2021-09-17T16:43:20.057Z,2021-09-17T16:43:20.057Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accwlfk
ZTF21accpvir,3,2021-09-14T05:11:14.003Z,2021-09-16T11:57:54.996Z,2,TOM,2021-09-16T14:47:59.767Z,2021-09-17T16:43:14.083Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accpvir
ZTF21accqros,3,2021-09-16T12:07:55.001Z,2021-09-16T12:18:52.997Z,4,TOM,2021-09-16T13:38:46.383Z,2021-09-17T16:43:07.583Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqros
ZTF21accddgr,3,2021-09-12T08:40:17.002Z,2021-09-14T10:17:18.003Z,2,TOM,2021-09-14T14:14:49.508Z,2021-09-17T16:42:56.542Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accddgr
ZTF21acbxkgh,4,2021-09-13T10:35:33.996Z,2021-09-15T11:47:09.000Z,2,TOM,2021-09-13T14:27:39.074Z,2021-09-17T16:42:48.641Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbxkgh
ZTF21acbwdjf,4,2021-09-11T08:31:41.998Z,2021-09-13T09:46:37.001Z,2,TOM,2021-09-13T14:15:41.928Z,2021-09-17T16:42:29.866Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbwdjf
ZTF21acbxtqq,4,2021-09-13T11:09:15.998Z,2021-09-17T10:48:44.997Z,2,TOM,2021-09-13T14:06:59.200Z,2021-09-17T16:42:10.154Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbxtqq
ZTF21acbrsur,4,2021-09-13T06:04:38.000Z,2021-09-16T08:38:59.000Z,2,TOM,2021-09-16T14:46:25.540Z,2021-09-17T16:41:53.998Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbrsur
ZTF21acbvyyx,4,2021-09-11T09:25:45.998Z,2021-09-13T09:40:25.999Z,2,TOM,2021-09-13T14:14:18.140Z,2021-09-17T16:41:49.725Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbvyyx
ZTF21accqsey,4,2021-09-16T12:04:15.000Z,2021-09-16T12:15:12.997Z,4,TOM,2021-09-16T13:39:48.803Z,2021-09-17T16:41:37.745Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqsey
ZTF21accqryf,4,2021-09-15T12:09:29.998Z,2021-09-16T12:09:17.997Z,1,TOM,2021-09-17T16:41:29.364Z,2021-09-17T16:41:29.364Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accqryf
ZTF21acchlai,4,2021-09-11T10:04:50.998Z,2021-09-15T09:00:09.002Z,2,TOM,2021-09-15T14:42:20.557Z,2021-09-17T16:41:20.094Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acchlai
ZTF20abkqmeq,4,2021-09-14T03:50:24.000Z,2021-09-16T04:50:32.003Z,4,TOM,2021-09-14T10:22:39.406Z,2021-09-17T16:41:10.673Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF20abkqmeq
ZTF21acbgcma,4,2021-09-13T03:42:23.996Z,2021-09-16T04:55:17.002Z,3,TOM,2021-09-13T13:36:28.627Z,2021-09-17T16:41:03.424Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbgcma
ZTF21accvtqw,4,2021-09-11T10:27:35.003Z,2021-09-17T09:56:28.996Z,1,TOM,2021-09-17T16:40:58.175Z,2021-09-17T16:40:58.175Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accvtqw
ZTF21acclgcx,4,2021-09-13T04:23:05.003Z,2021-09-16T03:57:10.002Z,2,TOM,2021-09-16T14:44:54.026Z,2021-09-17T16:40:51.522Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acclgcx
ZTF21acbxujd,5,2021-09-13T11:14:45.000Z,2021-09-17T10:52:51.997Z,2,TOM,2021-09-13T13:57:17.357Z,2021-09-17T16:40:41.444Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbxujd
ZTF21acchmlj,5,2021-09-13T09:05:14.003Z,2021-09-17T10:07:01.004Z,1,TOM,2021-09-17T16:40:36.946Z,2021-09-17T16:40:36.946Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acchmlj
ZTF21acceurr,5,2021-09-11T11:03:00.996Z,2021-09-17T11:07:34.996Z,2,TOM,2021-09-14T14:16:21.239Z,2021-09-17T16:40:30.196Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acceurr
ZTF21accvpum,5,2021-09-12T09:09:28.002Z,2021-09-17T09:40:39.002Z,1,TOM,2021-09-17T16:40:25.565Z,2021-09-17T16:40:25.565Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accvpum
ZTF21accxjbf,5,2021-09-12T09:48:03.003Z,2021-09-17T11:10:58.995Z,1,TOM,2021-09-17T16:40:20.981Z,2021-09-17T16:40:20.981Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accxjbf
ZTF21accvsdl,5,2021-09-13T10:35:33.996Z,2021-09-17T09:49:20.997Z,1,TOM,2021-09-17T16:40:13.803Z,2021-09-17T16:40:13.803Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accvsdl
ZTF21acbrcvv,5,2021-09-12T06:11:56.999Z,2021-09-16T10:09:22.000Z,2,TOM,2021-09-16T14:43:19.487Z,2021-09-17T16:39:58.997Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbrcvv
ZTF21acbffkq,5,2021-09-11T04:25:03.000Z,2021-09-16T05:44:04.001Z,2,TOM,2021-09-13T14:17:06.567Z,2021-09-17T16:39:42.782Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acbffkq
ZTF21acafqtj,5,2021-09-13T11:08:33.999Z,2021-09-17T10:46:43.000Z,3,TOM,2021-09-13T13:35:55.617Z,2021-09-17T16:39:15.607Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acafqtj
ZTF21accoftt,6,2021-09-12T06:15:23.002Z,2021-09-16T10:15:27.999Z,2,TOM,2021-09-16T14:42:35.829Z,2021-09-17T16:39:06.956Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21accoftt
