object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21acdoydr,2,2021-09-22T03:23:53.998Z,2021-09-23T03:27:45.999Z,3,TOM,2021-09-23T22:43:44.189Z,2021-09-26T15:09:24.668Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdoydr
ZTF21acdiobz,2,2021-09-21T03:38:43.002Z,2021-09-21T04:06:40.000Z,1,TOM,2021-09-26T15:09:19.507Z,2021-09-26T15:09:19.507Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdiobz
ZTF21acdcxfz,2,2021-09-20T09:36:40.996Z,2021-09-22T09:06:45.000Z,2,TOM,2021-09-23T22:43:08.656Z,2021-09-26T15:09:12.698Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdcxfz
ZTF21acdsnpa,3,2021-09-23T12:15:35.997Z,2021-09-23T12:22:43.003Z,3,TOM,2021-09-23T22:13:25.233Z,2021-09-26T15:09:08.693Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdsnpa
ZTF21acdqdge,3,2021-09-21T05:35:13.997Z,2021-09-23T07:05:59.003Z,3,TOM,2021-09-23T22:40:53.766Z,2021-09-26T15:09:03.724Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdqdge
ZTF21acdozee,3,2021-09-21T03:42:08.997Z,2021-09-23T03:27:45.999Z,2,TOM,2021-09-23T22:40:18.232Z,2021-09-26T15:08:59.815Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdozee
ZTF21acdkxks,3,2021-09-21T03:41:26.998Z,2021-09-23T03:20:10.999Z,3,TOM,2021-09-23T22:38:58.593Z,2021-09-26T15:08:53.563Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdkxks
ZTF21acdnnfg,3,2021-09-20T11:34:57.996Z,2021-09-26T10:32:40.004Z,2,TOM,2021-09-23T22:42:49.565Z,2021-09-26T15:08:48.797Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdnnfg
ZTF21acdjbre,4,2021-09-21T06:34:37.004Z,2021-09-23T07:44:01.000Z,2,TOM,2021-09-23T22:38:09.916Z,2021-09-26T15:08:37.309Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdjbre
ZTF21acddrbu,4,2021-09-20T08:20:18.997Z,2021-09-22T09:55:03.002Z,2,TOM,2021-09-21T14:06:05.885Z,2021-09-26T15:08:32.731Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acddrbu
ZTF21acdezwk,9,2021-09-20T05:32:07.002Z,2021-09-26T05:47:02.996Z,3,TOM,2021-09-21T12:03:32.962Z,2021-09-26T15:08:19.507Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdezwk
ZTF21acdsodh,10,2021-09-20T12:08:46.996Z,2021-09-23T12:23:23.999Z,2,TOM,2021-09-23T22:34:00.313Z,2021-09-26T15:08:12.431Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdsodh
ZTF21acdosdb,13,2021-09-21T12:31:28.997Z,2021-09-26T12:43:29.997Z,2,TOM,2021-09-23T22:34:54.243Z,2021-09-26T15:08:07.912Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdosdb
ZTF21acdvnri,1,2021-09-26T12:24:49.000Z,2021-09-26T12:24:49.000Z,5,TOM,2021-09-26T13:07:55.457Z,2021-09-26T15:07:48.033Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdvnri
ZTF21acdvlhv,4,2021-09-26T12:14:10.996Z,2021-09-26T12:28:22.002Z,4,TOM,2021-09-26T13:55:36.387Z,2021-09-26T15:07:42.096Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdvlhv
ZTF21acdvkcj,1,2021-09-26T12:05:37.003Z,2021-09-26T12:05:37.003Z,6,TOM,2021-09-26T13:08:37.462Z,2021-09-26T15:07:38.126Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdvkcj
ZTF21acdskkp,1,2021-09-26T11:40:37.997Z,2021-09-26T11:40:37.997Z,5,TOM,2021-09-26T13:08:58.827Z,2021-09-26T15:07:32.160Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdskkp
ZTF21acduyfb,1,2021-09-26T08:18:53.997Z,2021-09-26T08:18:53.997Z,1,TOM,2021-09-26T15:07:27.184Z,2021-09-26T15:07:27.184Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acduyfb
ZTF21acdvaks,1,2021-09-26T08:06:21.003Z,2021-09-26T08:06:21.003Z,1,TOM,2021-09-26T14:45:10.457Z,2021-09-26T14:45:10.457Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdvaks
ZTF21acdtipf,1,2021-09-26T05:47:02.996Z,2021-09-26T05:47:02.996Z,3,TOM,2021-09-26T13:08:17.943Z,2021-09-26T14:43:33.736Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdtipf
ZTF21acdvakp,1,2021-09-26T08:06:21.003Z,2021-09-26T08:06:21.003Z,3,TOM,2021-09-26T13:08:05.861Z,2021-09-26T14:43:15.727Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdvakp
ZTF21acdomzo,8,2021-09-22T12:07:44.002Z,2021-09-23T12:22:43.003Z,3,TOM,2021-09-23T19:29:54.710Z,2021-09-26T14:05:48.286Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21acdomzo
