oid,host_id,z
ZTF20abrnoaj,SDSS J001515.18+163438.6,0.129
ZTF20abrntap,2MASX J00225330-0859569,0.10641
ZTF20abrkcgf,WISEA J174748.80+041149.4,
ZTF20abrowlh,SDSS J022330.00+044756.1,0.077
ZTF20abrnjkj,SDSS J004749.55-102200.1,0.110
ZTF20abrorpe,SDSS J011847.56-103933.3,0.138
ZTF20abrnpud,SDSS J234444.90+010452.9,0.213
ZTF20abrnklh,WISEA J005615.85-131801.9,
ZTF20abrnkgj,SDSS J004304.77-104033.3,0.403
ZTF20abrntfj,SDSS J001020.26-074112.4,0.115
ZTF18abqyaix,WISEA J012311.89+010011.1,0.058169
ZTF20abroshv,VIII Zw 020 NED02,0.03505
ZTF20abrmmah,SDSS J223949.25-062616.3,0.475
ZTF20abrmbdl,WISEA J184912.98+742005.9,
ZTF20abrkqgi,SDSS J192315.41-045125.4,0.074
