oid,host_id,z
ZTF20aauozrp,WISEA J072343.99+182738.8,
ZTF20aaupbuq,WISEA J065844.71+602710.2,
ZTF20aaupkac,WISEA J075108.93+224426.9,0.028827
ZTF20aaupkul,SDSS J082216.79+182021.9,0.084
ZTF20aauqdhi,SDSS J115912.19+341708.4,0.433
ZTF18aajivpr,WISEA J115647.17+522903.7,0.051518
ZTF20aauqlwv,WISEA J153215.95-200509.9,
ZTF20aauqnar,WISEA J125838.01+750419.1,
ZTF20aauqhka,WISEA J122946.18+424356.1,0.038671
ZTF20aauqtcp,WISEA J195356.53+020405.3,0.025234
ZTF20aauqtpy,WISEA J194955.73+584856.1,
ZTF20aauqwyt,WISEA J194830.50+723956.7,
ZTF20aaupolv,SDSS J120130.85+591911.9,0.174
ZTF20aatwyot,SDSS J075541.24+273901.1,0.146
ZTF20aauqmwf,SDSS J151820.17+494622.1,0.308
ZTF20aaugqrl,SDSS J143916.60+395642.9,0.072
ZTF20aauoogx,SDSS J172401.66+450447.5,0.076
ZTF20aauombk,WISEA J145554.38+173621.3,0.03895
