object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21abmdgfo,2,2021-07-15T10:25:04.002Z,2021-07-17T10:04:35.999Z,2,TOM,2021-07-15T14:12:00.381Z,2021-07-17T16:37:31.206Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmdgfo
ZTF21abmqvaj,2,2021-07-15T10:25:04.002Z,2021-07-17T10:04:35.999Z,2,TOM,2021-07-17T15:51:11.494Z,2021-07-17T16:37:24.338Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqvaj
ZTF21abkiszc,2,2021-07-13T05:04:44.002Z,2021-07-17T05:36:23.999Z,2,TOM,2021-07-17T15:53:45.257Z,2021-07-17T16:36:46.848Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abkiszc
ZTF21abmrcdg,2,2021-07-11T11:05:11.996Z,2021-07-17T10:21:09.996Z,2,TOM,2021-07-17T15:51:42.378Z,2021-07-17T16:36:32.622Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmrcdg
ZTF21abmqpja,3,2021-07-15T09:58:09.998Z,2021-07-17T09:52:41.998Z,2,TOM,2021-07-17T15:50:43.084Z,2021-07-17T16:36:10.448Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqpja
ZTF21abmfrad,3,2021-07-15T09:34:10.004Z,2021-07-17T09:04:51.003Z,2,TOM,2021-07-17T15:48:55.894Z,2021-07-17T16:36:01.977Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmfrad
ZTF21abmqecu,3,2021-07-15T08:50:30.001Z,2021-07-17T09:35:50.997Z,2,TOM,2021-07-17T15:48:35.125Z,2021-07-17T16:35:58.587Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqecu
ZTF21abmpfnk,3,2021-07-13T07:35:28.000Z,2021-07-17T08:38:13.001Z,2,TOM,2021-07-17T15:50:00.251Z,2021-07-17T16:35:47.804Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmpfnk
ZTF21abmccvd,3,2021-07-11T10:50:50.000Z,2021-07-17T09:46:30.002Z,2,TOM,2021-07-17T15:47:59.492Z,2021-07-17T16:35:37.571Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmccvd
ZTF21ablykce,3,2021-07-11T05:53:21.998Z,2021-07-17T05:20:32.000Z,2,TOM,2021-07-17T15:56:39.854Z,2021-07-17T16:35:26.394Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21ablykce
ZTF21abmngcy,3,2021-07-11T04:57:37.998Z,2021-07-17T05:52:57.996Z,2,TOM,2021-07-17T15:48:18.187Z,2021-07-17T16:35:11.563Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmngcy
ZTF21abmfciw,4,2021-07-15T05:48:46.002Z,2021-07-17T08:50:46.996Z,2,TOM,2021-07-17T15:45:39.149Z,2021-07-17T16:35:06.095Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmfciw
ZTF21abmnhhm,4,2021-07-14T05:09:14.002Z,2021-07-17T05:59:08.998Z,2,TOM,2021-07-17T15:46:13.199Z,2021-07-17T16:34:53.860Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmnhhm
ZTF21abmpvsd,4,2021-07-13T07:45:43.004Z,2021-07-17T09:19:46.004Z,2,TOM,2021-07-17T15:44:55.311Z,2021-07-17T16:34:48.798Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmpvsd
ZTF21abmrjec,5,2021-07-13T10:34:51.003Z,2021-07-17T10:59:55.996Z,2,TOM,2021-07-17T15:44:13.590Z,2021-07-17T16:34:27.631Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmrjec
ZTF21abmojfy,5,2021-07-11T05:19:03.000Z,2021-07-17T07:51:17.000Z,2,TOM,2021-07-17T15:43:52.928Z,2021-07-17T16:34:15.460Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmojfy
ZTF21abmqzav,1,2021-07-17T10:10:02.003Z,2021-07-17T10:10:02.003Z,2,TOM,2021-07-17T15:35:26.024Z,2021-07-17T16:33:20.366Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqzav
ZTF21abmqxby,1,2021-07-17T10:07:17.999Z,2021-07-17T10:07:17.999Z,2,TOM,2021-07-17T15:32:49.641Z,2021-07-17T16:33:16.117Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqxby
ZTF21abmqxfi,1,2021-07-17T10:04:35.999Z,2021-07-17T10:04:35.999Z,2,TOM,2021-07-17T15:33:29.258Z,2021-07-17T16:33:08.440Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqxfi
ZTF21abmrztu,2,2021-07-17T10:04:35.999Z,2021-07-17T11:02:48.001Z,2,TOM,2021-07-17T15:30:03.120Z,2021-07-17T16:33:03.885Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmrztu
ZTF21abmqubi,1,2021-07-17T10:03:13.996Z,2021-07-17T10:03:13.996Z,2,TOM,2021-07-17T15:35:11.084Z,2021-07-17T16:33:00.445Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqubi
ZTF21abmqtwk,1,2021-07-17T10:03:13.996Z,2021-07-17T10:03:13.996Z,2,TOM,2021-07-17T15:35:00.700Z,2021-07-17T16:32:56.963Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqtwk
ZTF21abmqtte,1,2021-07-17T10:03:13.996Z,2021-07-17T10:03:13.996Z,2,TOM,2021-07-17T15:33:41.050Z,2021-07-17T16:32:53.404Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqtte
ZTF21abmqtsk,2,2021-07-17T10:02:34.002Z,2021-07-17T11:01:25.999Z,2,TOM,2021-07-17T15:32:15.678Z,2021-07-17T16:32:49.781Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abmqtsk
