oid,host_id,z
ZTF21aaelcll,WISEA J183828.10+252911.7,
ZTF21aaelcls,WISEA J181115.10+155549.5,
ZTF21aaekmqn,SDSS J143700.91+073505.3,
ZTF21aadruor,SDSS J161302.85+041659.5,0.181
ZTF21aadrmpu,SDSS J172139.67+345206.1,0.084
ZTF21aadrmpk,WISEA J172049.25+310646.3,0.0951
ZTF21aaekmoy,WISEA J145408.04+025845.7,0.080003
ZTF21aaeklos,SDSS J154430.87+010912.3,0.083
ZTF21aaekido,WISEA J141459.49+442529.4,0.136946
ZTF21aaejeyu,WISEA J103722.38-072158.6,
ZTF21aaehppq,WISEA J100653.24-090907.7,
ZTF21aaehpyj,GALEXASC J100949.18-055622.5,0.1486
ZTF21aaegqtu,WISEA J082547.34-214449.0,
ZTF21aadhlsy,SDSS J080647.53+001505.5,0.119
ZTF21aaefmlt,SDSS J074007.48+345427.7,0.314
ZTF21aaeeqxx,WISEA J032707.06-052019.8,
ZTF21aaeczqr,WISEA J051101.12-162041.1,0.042906
ZTF21aaecacb,SDSS J034208.54-115625.8,0.063
ZTF21aadtkki,WISEA J001531.45+465749.5,
ZTF21aaekkvb,WISEA J171409.17+511323.3,
ZTF21aaeknki,WISEA J144836.55-135904.9,0.09657
ZTF21aaeknmd,WISEA J142716.29-151324.5,
ZTF21aaehrnw,SDSS J110358.06-001357.5,0.538
ZTF21aaehjyg,SDSS J102922.20+242126.3,0.110
ZTF21aaeimls,SDSS J103325.85+485354.7,0.161
ZTF21aaehcma,SDSS J101732.86+261913.9,0.150
ZTF21aaegvev,WISEA J084029.21-060547.8,
ZTF21aaehdxr,WISEA J092022.12-264818.9,
ZTF21aaehejo,WISEA J091238.94-273407.8,
ZTF21aadugqf,WISEA J080317.56+640528.7,
ZTF21aaegpcs,WISEA J084152.70-152432.3,
ZTF21aaedplu,WISEA J065720.74-240047.4,
ZTF21aaebvcg,WISEA J054328.74+513130.8,0.039794
ZTF21aadrrjd,SDSS J163336.00+381823.0,0.156
ZTF21aaekftt,WISEA J142111.18-070116.6,
ZTF21aaekhcv,SDSS J131544.68+060001.9,0.084
ZTF21aaedxom,WISEA J082628.98+371720.1,0.163051
ZTF21aacvupj,SDSS J021033.78+325500.9,0.056
ZTF21aaejczu,WISEA J130155.82-161028.2,
ZTF21aadrrtg,SDSS J145051.32+175757.6,
ZTF21aaeidqt,SDSS J091253.29+161249.2,0.171
ZTF21aaegqaf,WISEA J084535.61-190455.8,0.057363
ZTF21aacinrj,SDSS J102435.69+264043.4,0.170
ZTF21aaehrqp,WISEA J104719.43-022108.0,0.120922
ZTF21aaehrov,WISEA J100300.16-094342.2,
ZTF21aaeimwd,SDSS J101518.45+324040.0,0.569
ZTF21aaekeei,SDSS J102557.13+495850.1,0.150
ZTF21aaehesn,WISEA J091411.67-124614.3,
ZTF21aaebkmj,WISEA J042038.92-263816.1,
ZTF21aaeczii,WISEA J052704.55-145141.2,
ZTF21aaeeqip,WISEA J052013.93-125710.5,
ZTF21aaecawl,2MASS J04465287-2635194,
