oid,host_id,z
ZTF20abyrygt,SDSS J161420.94+504043.2,0.068
ZTF20abyvqvf,WISEA J232427.42-245616.6,0.1351
ZTF20abyvtds,SDSS J010609.33-035039.3,0.061
ZTF20abyvbeq,WISEA J211321.18-154021.7,
ZTF20abyvbcu,SDSS J213231.85-082900.5,0.105
ZTF20abytxir,WISEA J204651.37-080604.2,
ZTF20abysxbk,UGC 11296,0.0254
ZTF20abysqmd,WISEA J201641.39-192441.1,
ZTF20abysqxw,WISEA J201031.10-165138.8,
ZTF20abyozwy,WISEA J162015.92+604505.1,
ZTF20abyhqgz,SDSS J164425.27+521636.5,0.073
ZTF20abysgkm,SDSS J164602.50+515205.8,0.127
ZTF20abyrxir,WISEA J163610.10+243030.1,0.114321
ZTF20abyrzsj,SDSS J164816.61+345108.8,0.083
ZTF20abyrxie,SDSS J161844.51+223650.4,0.533
ZTF20abyvbgz,WISEA J210813.36-183059.0,0.031378
ZTF19abdhkjf,WISEA J195157.88-192005.0,
ZTF20abytfrf,WISEA J184038.38+581805.8,
ZTF20abytaie,WISEA J182329.46+315437.2,
ZTF20abyoyrp,WISEA J164151.58+410123.0,0.096109
ZTF20abytgzu,2MASX J19534405+5044204,0.02701
ZTF20abywpkl,WISEA J055610.64+754314.2,
ZTF20abyhrdd,WISEA J163106.12+255719.5,0.05963
