oid,host_id,z
ZTF20acbpxol,WISEA J224709.41+442024.3,
ZTF20acbnoqi,SDSS J003643.60+330622.5,0.087
ZTF20acbqtca,WISEA J015940.68+125619.4,
ZTF20acbqtpg,SDSS J015440.67+103234.6,0.161
ZTF20acbksxl,WISEA J182053.46+641937.0,0.11155
ZTF20acbxohb,WISEA J051706.66+064443.8,
ZTF20acburik,SDSS J025434.84-020959.3,0.130
ZTF20acaznai,WISEA J175204.36+340645.7,
ZTF20acboigi,WISEA J235923.29+384721.5,
ZTF20acaznoa,WISEA J173120.57+413712.9,
ZTF20acbpnof,SDSS J234459.29+252403.0,0.065
ZTF20abzqrnx,WISEA J002641.95+440151.3,
ZTF20acbqzwp,SDSS J021635.58+315514.9,0.163
ZTF20acbnovl,SDSS J000439.16-192439.2,0.174
