object,nobs,first_detection,last_detection,count,report_type,first_date,last_date,source,alerce_link
ZTF21abahrdo,2,2021-05-07T08:53:40.004Z,2021-05-09T09:28:42.997Z,3,TOM,2021-05-09T15:25:19.881Z,2021-05-09T16:16:12.122Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abahrdo
ZTF21aazrfcv,2,2021-05-07T07:40:53.996Z,2021-05-09T06:45:32.996Z,3,TOM,2021-05-09T15:25:41.744Z,2021-05-09T16:16:09.058Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazrfcv
ZTF21abadfmr,2,2021-05-07T07:18:53.000Z,2021-05-09T05:17:47.996Z,3,TOM,2021-05-09T15:26:04.858Z,2021-05-09T16:16:05.700Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abadfmr
ZTF21aazqwxv,2,2021-05-07T07:06:40.000Z,2021-05-09T06:30:31.999Z,4,TOM,2021-05-07T07:31:32.520Z,2021-05-09T16:16:02.523Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazqwxv
ZTF21aazbadd,2,2021-05-06T08:21:07.001Z,2021-05-08T08:24:17.997Z,3,TOM,2021-05-08T15:37:46.402Z,2021-05-09T16:15:47.914Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazbadd
ZTF21aazwxki,2,2021-05-06T08:03:46.002Z,2021-05-08T06:33:23.996Z,2,TOM,2021-05-08T15:58:19.983Z,2021-05-09T16:15:43.815Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazwxki
ZTF21abaahdj,2,2021-05-05T11:26:48.998Z,2021-05-08T10:43:58.995Z,2,TOM,2021-05-08T15:59:07.704Z,2021-05-09T16:15:24.175Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abaahdj
ZTF21abaaiar,2,2021-05-05T10:17:42.999Z,2021-05-08T10:48:01.995Z,2,TOM,2021-05-08T15:37:57.178Z,2021-05-09T16:15:16.229Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abaaiar
ZTF21aazzlbs,2,2021-05-05T07:58:34.996Z,2021-05-09T07:51:40.000Z,2,TOM,2021-05-09T15:23:45.451Z,2021-05-09T16:14:42.394Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazzlbs
ZTF21aazyghr,2,2021-05-05T07:49:37.001Z,2021-05-09T06:57:14.002Z,2,TOM,2021-05-09T15:24:54.229Z,2021-05-09T16:14:38.531Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazyghr
ZTF21aazkruu,2,2021-05-04T09:03:02.001Z,2021-05-06T07:32:35.001Z,3,TOM,2021-05-06T14:56:56.310Z,2021-05-09T16:14:14.939Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazkruu
ZTF21aazhefu,2,2021-05-04T04:21:45.999Z,2021-05-06T04:22:27.998Z,3,TOM,2021-05-06T15:04:56.265Z,2021-05-09T16:14:08.837Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazhefu
ZTF21aazsmfw,3,2021-05-07T10:27:39.003Z,2021-05-09T09:22:59.998Z,5,TOM,2021-05-07T13:52:00.136Z,2021-05-09T16:13:53.755Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazsmfw
ZTF21abahyyj,3,2021-05-07T10:09:51.998Z,2021-05-09T09:38:32.997Z,4,TOM,2021-05-09T14:16:19.077Z,2021-05-09T16:13:49.431Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abahyyj
ZTF21aazpyza,3,2021-05-07T06:34:45.998Z,2021-05-09T07:31:53.996Z,2,TOM,2021-05-07T14:05:32.716Z,2021-05-09T16:13:44.337Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazpyza
ZTF21abaagah,3,2021-05-05T11:28:09.998Z,2021-05-08T11:06:32.002Z,3,TOM,2021-05-08T15:35:31.821Z,2021-05-09T16:13:22.790Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abaagah
ZTF21aazgkjf,3,2021-05-05T11:26:48.998Z,2021-05-08T11:15:17.003Z,3,TOM,2021-05-05T12:59:25.194Z,2021-05-09T16:13:18.037Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazgkjf
ZTF19aambsna,3,2021-05-05T09:21:49.996Z,2021-05-07T10:26:57.998Z,3,TOM,2021-05-07T14:44:46.541Z,2021-05-09T16:12:40.872Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF19aambsna
ZTF21aazchum,3,2021-05-05T07:39:28.002Z,2021-05-07T07:38:11.002Z,3,TOM,2021-05-05T14:49:50.870Z,2021-05-09T16:12:34.792Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazchum
ZTF21abaakwd,4,2021-05-07T08:19:05.998Z,2021-05-09T08:15:00.000Z,2,TOM,2021-05-09T15:18:51.057Z,2021-05-09T16:12:10.327Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abaakwd
ZTF21aazmjby,4,2021-05-06T10:06:45.002Z,2021-05-08T11:10:34.000Z,3,TOM,2021-05-06T14:31:12.357Z,2021-05-09T16:12:01.432Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazmjby
ZTF21abahpuy,4,2021-05-05T09:19:49.002Z,2021-05-09T09:24:20.998Z,1,TOM,2021-05-09T16:11:41.543Z,2021-05-09T16:11:41.543Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abahpuy
ZTF21aazefjq,4,2021-05-05T08:58:36.001Z,2021-05-09T07:57:47.001Z,3,TOM,2021-05-07T14:55:40.131Z,2021-05-09T16:11:36.133Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21aazefjq
ZTF21abahiow,4,2021-05-05T08:06:09.002Z,2021-05-09T08:57:01.998Z,2,TOM,2021-05-09T15:18:25.545Z,2021-05-09T16:11:22.640Z,SN Hunter 1.0.0,https://alerce.online/object/ZTF21abahiow
