oid,host_id,z
ZTF20aavecqx,WISEA J090120.20-090029.9,
ZTF20aavdxxf,WISEA J062902.40+282229.7,
ZTF20aavfogu,WISEA J113349.89-204851.7,0.058737
ZTF20aavfnxu,GALEXASC J093606.71-080759.2,
ZTF20aavecnw,WISEA J071633.61+055317.0,
ZTF20aavgacb,WISEA J132704.60-183507.3,0.044314
ZTF20aavjlcp,SDSS J154859.56+042323.2,0.085
ZTF20aavfqfx,WISEA J112259.89-132814.7,
ZTF20aaveajf,WISEA J071848.34+110425.8,
ZTF20aaurtud,WISEA J084827.13+132709.2,0.094677
ZTF20aavhuci,WISEA J142650.02-160512.3,
ZTF20aavhunx,SDSS J140156.60-093449.6,0.125
ZTF20aavhtsi,WISEA J142828.20-153209.5,
ZTF20aavfvbg,GALEXASC J111412.66+831823.4,
ZTF20aatvzuo,WISEA J074133.56+765418.4,
ZTF20aavgnml,SDSS J111900.67-105826.8,0.075
ZTF20aavknip,SDSS J175410.93+245304.1,0.096
ZTF20aavedmf,WISEA J075832.55+032153.6,
ZTF20aavjljw,WISEA J154927.72+080810.8,0.136889
ZTF20aavecmu,WISEA J071010.90+113126.1,
ZTF20aavfqan,WISEA J105701.85-120556.6,
ZTF20aavhyel,WISEA J141809.63+052532.1,0.025284
ZTF20aavewuj,WISEA J075013.12+040242.9,
ZTF20aaveiqr,WISEA J044941.53+775638.8,
ZTF20aavgdwc,WISEA J120840.38-160143.7,
ZTF20aavhgmu,SDSS J135353.35-024616.3,0.433
ZTF20aavgdeu,WISEA J122839.65-203430.4,0.097454
ZTF20aavhvdq,WISEA J141044.64-070516.3,
ZTF20aavebmm,WISEA J085325.79-124513.5,
ZTF20aavhpml,2MASX J13430373-2007235,0.032683
ZTF20aavdpzq,SDSS J075647.67+000949.6,0.148
ZTF20aavdvxg,WISEA J054855.61+445100.2,
ZTF20aavgcnu,2MFGC 10649,0.017749
ZTF20aavdzah,WISEA J065727.70+222342.5,
ZTF20aavhqjn,WISEA J134222.75-270906.0,
ZTF20aavgmpx,WISEA J102959.08-200134.9,
ZTF20aavgpat,WISEA J114956.76-145313.3,
ZTF20aavfezi,WISEA J085324.52-105417.3,
ZTF20aavhire,WISEA J135328.00+075434.7,0.037444
ZTF20aavdpuc,SDSS J080802.42-015913.4,0.106
