oid,host_id,z
ZTF20acpzjfb,SDSS J130728.99+615648.7,0.215
ZTF20acpziet,MSPM 08028,0.11435
ZTF20acpzhcy,WISEA J101445.03+314157.9,0.122584
ZTF20acpzeyy,WISEA J100912.62+021100.2,0.186041
ZTF20acpzbnc,WISEA J105153.22+085147.8,0.052399
ZTF20acpzaoa,MSPM 00900,0.0295
ZTF20acpyzjj,SDSS J114113.11+490628.1,0.102
ZTF20acpywlx,SDSS J100744.99+424125.4,0.164
ZTF20acpyntz,WISEA J094407.16+113529.8,0.146511
ZTF20acpylns,WISEA J094122.57+155741.1,0.076388
ZTF20acpyndh,SDSS J093916.04+173203.8,0.075
ZTF20acpydzd,SDSS J125717.56+481554.1,0.101
ZTF20acpydbp,SDSS J114330.97+263448.1,
ZTF20acpzkca,SDSS J112708.33+195224.7,0.121
ZTF20acnvtxy,WISEA J111832.30+064427.3,0.028508
ZTF20acpzend,WISEA J103732.40-035256.0,
ZTF20acpyafd,WISEA J101625.17-105854.8,0.052393
ZTF20acpyaeq,WISEA J101121.99-184835.7,
ZTF20acpxwly,WISEA J094034.20+244253.6,0.055308
ZTF20acpyfsq,SDSS J095711.41+363226.0,0.044
ZTF20acpxusn,2MASS J11152855+3147597,0.118459
ZTF20acpxuvg,WISEA J112405.66+343332.4,0.105166
ZTF20acpxvez,WISEA J115217.35+431713.4,0.050826
ZTF20acpxuet,SDSS J121958.01+492811.2,0.152
ZTF20acpxsvz,WISEA J120904.72+571138.1,0.063185
ZTF18aaqkxxo,SDSS J120507.29+515744.1,0.117
ZTF20acpyyxl,WISEA J122026.96+765548.4,
ZTF20acpxakg,WISEA J083334.03+072847.5,0.105899
ZTF20acpxaxn,SDSS J082404.20+160705.1,0.168
ZTF20acpwzvm,SDSS J083818.32+192209.9,0.174
ZTF20acpwuem,WISEA J084617.26+434438.8,0.104589
ZTF20acphcnt,WISEA J074829.15+451305.8,0.147849
ZTF20acpwxbg,WISEA J074508.32+382415.3,0.102708
ZTF20acpwqam,SDSS J083403.73+255209.9,0.117
ZTF20acpwsvc,SDSS J083344.86+264717.6,0.156
ZTF20acpxicj,WISEA J082336.44+245440.3,0.093622
ZTF20acpwmui,WISEA J081831.49-042139.0,
ZTF20acpwnjv,SDSS J075118.73-020733.4,0.108
ZTF20acpwljl,SDSS J081931.32-060114.7,0.129
ZTF20acpwlvw,SDSS J082324.66-041439.8,0.093
ZTF20acpyswb,WISEA J083746.67-103907.5,
ZTF20acpwjus,SDSS J092633.20-013900.3,0.075
ZTF20acpocys,SBS 1035+610,0.030749
ZTF20acpnwft,SDSS J074746.09+405056.7,0.162
ZTF20acphdbu,KUG 1000+455,0.041408
ZTF20acphilk,WISEA J091747.56+492702.5,0.1131
ZTF20acpvjrx,WISEA J081654.30+674322.2,
ZTF20acpuztg,WISEA J071619.64+020550.6,
ZTF20acphitd,SDSS J084058.36+501812.7,0.121
ZTF20acpumut,SDSS J071953.95+373330.4,0.077
ZTF20acpujxl,WISEA J050808.37+102302.7,
ZTF20acpxwew,WISEA J094932.59+271122.0,0.12257
ZTF20acpttzs,WISEA J040948.97-082939.9,
ZTF20acptgfl,WISEA J052200.10-071132.9,0.036882
ZTF20acptyge,WISEA J044931.90-033155.4,
ZTF20acpmgdz,NGC 1575,0.031141
ZTF20acptdsk,WISEA J043618.93-211259.3,
ZTF20acptayg,WISEA J034830.78-262903.4,
ZTF20acpsjjb,WISEA J032657.41-131542.6,
ZTF20acpniss,SDSS J032343.77+033126.0,0.279
ZTF20acplqek,WISEA J033039.25+030552.7,
ZTF20acpmhno,SDSS J025956.51+020758.2,0.198
ZTF20acprzrz,WISEA J013200.00-242313.0,
ZTF20acprmuv,NGC 0976,0.014327
ZTF20acppvxx,WISEA J231350.63-093028.2,0.0821
ZTF20acpqbue,WISEA J024859.34+263039.6,0.057997
ZTF20acpqbfu,WISEA J030806.11+230231.1,
ZTF20acprfiz,SDSS J020047.05-022317.6,0.089
ZTF20acpqagp,WISEA J015637.51-054842.2,0.087971
ZTF20acppzxx,SDSS J015543.15-050830.1,0.239
ZTF20acpprdy,SDSS J234656.63-184803.3,0.143
ZTF20acppqnt,SDSS J000802.99-083455.3,0.146
ZTF20acpqzku,SDSS J004037.96-232017.6,0.260
ZTF20acpolgu,WISEA J223138.31-101913.4,
ZTF20acpptks,WISEA J222847.44-222841.0,
ZTF20acpprng,SDSS J225636.69-193315.8,0.150
ZTF20acpyxug,SDSS J105701.30+520517.1,0.378
ZTF20acpqxef,WISEA J012313.05-161126.2,
ZTF20acpycmz,[RGD2013] J112323.160+192021.481,0.16726
ZTF20acpzcdz,SDSS J102016.47+022231.7,0.101
ZTF20acpycjc,WISEA J114127.57+235050.5,0.126623
ZTF20acpyrrn,WISEA J083430.95-054025.7,
ZTF20acphjna,WISEA J101506.89+344414.5,0.10034
ZTF20acpqgve,SDSS J003136.30-173454.4,0.132
ZTF20acphiyt,WISEA J094007.94+740335.5,
ZTF20acpwahh,SDSS J072336.42+005045.3,0.101
ZTF20acpvtbp,WISEA J074348.22+030903.0,
ZTF20acpsqlh,SDSS J025908.97-083636.9,0.432
ZTF20acpmgpp,WISEA J035157.97-171940.2,
ZTF20acppruo,SDSS J232206.10-061247.5,0.118
ZTF20acpoirx,WISEA J220438.19-173143.8,
ZTF20acpomqu,SDSS J215902.91-074832.9,0.086
ZTF20acprazr,SDSS J233237.96-070944.6,0.068
ZTF20acpqxcj,WISEA J012144.76-194221.2,
ZTF20acpppyu,SDSS J002849.83-174022.4,0.048
ZTF20acphjgz,WISEA J122523.92+612940.6,0.069432
ZTF20acphicr,WISEA J104555.99-130022.6,
ZTF20acpijfo,WISEA J130654.86+561505.0,0.089363
ZTF20acndxyq,WISEA J103436.78-090859.0,
ZTF20acpulws,SDSS J065503.26+164015.4,0.054
ZTF20acpgzif,WISEA J075416.90+400728.9,0.068864
ZTF20acpzjkz,WISEA J125518.05+571604.7,0.107155
ZTF20acpyebk,SDSS J130627.92+500404.9,0.105
ZTF20acpiiud,WISEA J131832.14+604057.2,0.076255
ZTF20acndyqr,WISEA J105530.39-124931.5,
