oid,host_id,z
ZTF20aadtata,WISEA J095013.99-183653.5,
ZTF20aadtagj,WISEA J090729.01-071855.6,
ZTF19adcbanf,WISEA J075447.90+184113.9,0.145736
ZTF20aadvjvq,WISEA J071713.17+235721.2,
ZTF20aadvlaj,WISEA J081812.29+163636.7,0.111835
ZTF20aadvsdj,WISEA J085933.58-104152.2,
ZTF20aadwzgp,WISEA J102203.47-143046.8,
ZTF20aadxrsu,WISEA J120224.70+061620.6,0.127704
ZTF20aadxtze,WISEA J125854.31-130929.6,
ZTF20aadxwkc,WISEA J130149.84+025526.5,0.105748
ZTF20aadylyh,SDSS J150238.93+294633.3,0.212
ZTF20aadymod,2MASX J14213018+1827400,0.076594
ZTF20aadvpyk,WISEA J090125.14-112150.3,
ZTF20aadyllz,SDSS J153939.22+491015.7,0.346
