oid,host_id,z
ZTF20aasjnjq,WISEA J170812.56+523925.9,
ZTF20aasjmor,WISEA J185140.49+423008.1,
ZTF20aakshpp,WISEA J131136.34+580801.6,0.071088
ZTF20aasfhia,SDSS J121939.13+330223.4,0.160
ZTF20aasjazf,WISEA J145135.21-074818.4,
ZTF20aasixjz,WISEA J180439.31+712529.2,
ZTF20aasjlgg,WISEA J182249.18+433334.4,
ZTF20aasjkxv,WISEA J182313.31+265604.2,
ZTF20aarttix,WISEA J174352.97+104019.4,
ZTF20aasivoo,WISEA J173956.37+055653.5,
ZTF20aasivcq,WISEA J165928.61-050704.0,0.072247
ZTF20aasivcl,WISEA J165014.05-050518.5,
ZTF20aasiuos,WISEA J160603.51-113014.7,
ZTF20aasiuwa,WISEA J153538.34-003338.6,0.162247
ZTF20aasitrr,WISEA J153030.68-123612.4,0.021158
ZTF20aasilgx,LCRS B143138.2-063929,0.034961
ZTF20aasikkh,WISEA J143954.12-074114.1,
ZTF20aasijew,NGC 5671,0.030074
ZTF20aasiass,SDSS J141256.41-132339.3,0.135
ZTF20aashzfg,WISEA J133539.65-092410.7,
ZTF20aashria,SDSS J113443.58+175142.6,0.379
ZTF20aasffjj,SDSS J111956.53+203507.4,0.158
ZTF20aasfaxj,WISEA J104042.69+020500.6,0.0516
ZTF20aasegqz,WISEA J090113.52-060400.0,0.044477
ZTF20aasdxgz,LEDA 1509549,0.06231
ZTF20aasdtzg,SDSS J074903.66+122323.3,0.107
ZTF20aasdjax,WISEA J073828.45+532550.5,
ZTF20aasdpxi,UGC 04074,0.02397
ZTF20aascwar,WISEA J155825.37+325807.7,0.047987
ZTF20aascydu,WISEA J160657.71+323145.5,
ZTF20aasdiab,WISEA J081504.43+380137.8,0.422612
ZTF20aasfafd,2MASX J08211041+0805599,0.078763
ZTF20aasitjs,WISEA J152609.26-082941.1,0.093752
ZTF20aasivpe,2MASS J17420088+0311573,
